,ID,geometry,Author,Shakun_id,Marcott_id,Location,Proxy Type,Lat ,Lon ,Elev/Depth (m a.s.l),Avg. Resolution,Season_int,Reference,Notes,Temperature Calibration Used,Calibration Equation,Additional Age Model Reference,Uploader,name,t0,t100,t200,t300,t400,t500,t600,t700,t800,t900,t1000,t1100,t1200,t1300,t1400,t1500,t1600,t1700,t1800,t1900,t2000,t2100,t2200,t2300,t2400,t2500,t2600,t2700,t2800,t2900,t3000,t3100,t3200,t3300,t3400,t3500,t3600,t3700,t3800,t3900,t4000,t4100,t4200,t4300,t4400,t4500,t4600,t4700,t4800,t4900,t5000,t5100,t5200,t5300,t5400,t5500,t5600,t5700,t5800,t5900,t6000,t6100,t6200,t6300,t6400,t6500,t6600,t6700,t6800,t6900,t7000,t7100,t7200,t7300,t7400,t7500,t7600,t7700,t7800,t7900,t8000,t8100,t8200,t8300,t8400,t8500,t8600,t8700,t8800,t8900,t9000,t9100,t9200,t9300,t9400,t9500,t9600,t9700,t9800,t9900,t10000,t10100,t10200,t10300,t10400,t10500,t10600,t10700,t10800,t10900,t11000,t11100,t11200,t11300,t11400,t11500,t11600,t11700,t11800,t11900,t12000,t12100,t12200,t12300,t12400,t12500,t12600,t12700,t12800,t12900,t13000,t13100,t13200,t13300,t13400,t13500,t13600,t13700,t13800,t13900,t14000,t14100,t14200,t14300,t14400,t14500,t14600,t14700,t14800,t14900,t15000,t15100,t15200,t15300,t15400,t15500,t15600,t15700,t15800,t15900,t16000,t16100,t16200,t16300,t16400,t16500,t16600,t16700,t16800,t16900,t17000,t17100,t17200,t17300,t17400,t17500,t17600,t17700,t17800,t17900,t18000,t18100,t18200,t18300,t18400,t18500,t18600,t18700,t18800,t18900,t19000,t19100,t19200,t19300,t19400,t19500,t19600,t19700,t19800,t19900,t20000,t20100,t20200,t20300,t20400,t20500,t20600,t20700,t20800,t20900,t21000,t21100,t21200,t21300,t21400,t21500,t21600,t21700,t21800,t21900,t22000
1,1,Point,Thornalley,0,0,RAPiD-10-1P,Mg/Ca - N. Pachy,62.975,-17.5894,-1237,111,Summer,"Thornalley et al., 2011",NA,"Elderfield and Ganssen, 2000",Mg/Ca = 0.52 exp (0.1 _ T),"Thornalley et al., 2010a,b",Jones,1.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224563269,0.085140192,0.082080292,0.101219048,0.205572885,0.335380577,0.504376942,0.690979813,0.52734345,0.130214263,-0.436006945,-0.820297406,-0.946011692,-0.277870564,-0.406684123,-0.535497683,-0.686879039,-0.330316539,0.153120961,-0.195629039,-1.214379039,-0.199379039,-0.235004039,0.158745961,0.086870961,-0.450629039,-0.369379039,-0.138754039,0.279995961,0.239370961,0.044995961,0.238745961,0.363745961,0.419995961,0.470620961,0.308745961,-0.347504039,-0.684379039,-0.759379039,0.290620961,-0.261045705,-0.158139722,-0.252156816,-0.888994423,-1.038567073,-0.779637659,-0.546515791,-0.587541432,-0.579250833,-1.408310662,-1.002498697,-0.39566109,-0.157712372,-0.622654901,-1.586601261,-1.802327756,-1.699763654,-1.517285021,-1.320703825,-1.167712372,-1.143780748,-1.258542129,-1.224207365,-1.189872601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,Point,Thornalley,0,0,RAPiD-15-4P,Mg/Ca - N. Pachy,62.2931,-17.1334,-2133,162,Summer,"Thornalley et al., 2011",NA,"Elderfield and Ganssen, 2000",Mg/Ca = 0.52 exp (0.1 _ T),"Thornalley et al., 2010a,b",Jones,2.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334660068,0.445451435,0.020991004,0.477106112,0.871926255,0.102142083,-0.381294668,0.101830332,-0.409836334,-0.834943861,-0.351644845,-0.376387581,-0.802980379,-1.229573177,-1.665296105,-2.274491507,-2.587939783,-2.243112197,-2.028885921,-1.130488508,-1.399542217,-1.428586334,-1.274419668,-1.120253001,-0.844310019,-0.554836334,-1.216808165,-2.659836334,-1.453141419,-0.706192267,-1.320938029,-0.636836334,-0.359720055,-0.151503001,-0.818169668,-1.49041773,-1.558169668,-1.008836334,-1.608836334,-1.625067548,-1.31292882,-1.470010753,-1.561929358,-1.178208427,-1.170443271,-1.586628242,-1.505534009,-1.260154254,-1.526050207,-1.770475869,-1.962336334,-1.712061768,-1.128246739,-1.440185172,-1.869022381,-1.903906102,-2.015009745,-2.240443271,-2.626464241,-3.09158052,-3.175240959,-3.213324707,-3.160999125,-3.186802627,-3.290735211,-3.394667795,-3.498600379,-3.285679031,-3.052532964,-2.819386896,-2.713371546,-2.814779996,-2.916188447,-3.017596898,-2.894948694,-2.726409368,-2.557870042,-2.428768919,-2.406297009,-2.383825098,-2.361353188,-2.406690267,-2.479723975,-2.552757683,-2.627476784,-2.711746447,-2.79601611,-2.880285773,-2.934723975,-2.96843184,-3.002139705,-3.027399715,-2.779512391,-2.531625067,-2.283737743,-2.247870042,-2.441690267,-2.635510492,-2.829330716,-2.883600379,-2.925735211,-2.967870042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,Point,Thornalley,0,0,RAPiD-15-4P,Mg/Ca - G. Bulloides,62.2931,-17.1334,-2133,162,NA,"Thornalley et al., 2011",NA,"Thornalley et al., 2009",Mg/Ca = 0.794 exp (0.1 _ T),"Thornalley et al., 2010a,b",Jones,3.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,Point,Thornalley,0,0,RAPiD-15-4P,Mg/Ca - G. Inflata,62.2931,-17.1334,-2133,162,Subsurface,"Thornalley et al., 2011",Intermediate depth foram,"Thornalley et al., 2009",Mg/Ca = 0.76 exp (0.1 _ T),"Thornalley et al., 2010a,b",Jones,4.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,Point,Max,0,0,SO201-2-114KL,UK'37,59.2307,166.9888,-1394,90,Summer-Fall,Max et al. 2012,NA,NA,NA,NA,Marcott,5.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.520875627,-0.820875627,-1.015320071,-1.010875627,-0.970875627,-0.970875627,-0.050875627,-0.410875627,-0.620875627,-0.950875627,-1.110875627,0.351346596,0.229124373,-0.120875627,0.529124373,-0.870875627,-0.310875627,-1.380875627,2.114838659,1.971981516,1.999124373,2.099124373,0.49579104,0.162457707,1.829124373,1.903198448,1.977272522,0.89579104,-1.307717732,-1.149822995,-1.342304198,-1.620875627,-1.470875627,-0.570875627,-2.320875627,-1.528018484,-1.695875627,-2.370875627,-2.370875627,-1.370875627,-2.120875627,-1.370875627,1.629124373,-0.955491011,0.813739758,2.10604745,1.490662835,0.87527822,1.09579104,1.873568818,2.651346596,2.071432066,1.340662835,0.479124373,-0.687542293,0.229124373,0.181505326,0.133886278,-1.052125627,-1.970875627,-2.570875627,-2.237542293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,Point,Praetorius,0,0,EW0408-66JC,UK_37,58.87,-137.1,-426,100,Summer,"Praetorius et al., 2016",NA,"Prahl et al., 1988",NA,NA,Jones,6.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.702973865,1.623608786,1.544243707,1.464878627,1.385513548,1.306148469,1.226783389,1.238846881,1.261069103,1.283291326,1.305513548,1.32793779,1.350665063,1.373392336,1.396119609,1.418846881,1.352180215,1.285513548,1.218846881,1.152180215,1.174402437,1.285513548,1.396624659,1.50773577,1.618846881,1.475989738,1.333132596,1.190275453,1.04741831,0.926163954,0.999334686,1.072505418,1.14567615,1.218846881,1.129294642,1.039742404,0.950190165,0.860637926,0.771085687,0.681533448,0.618846881,0.618846881,0.618846881,0.618846881,0.609090784,0.560310296,0.511529808,0.46274932,0.426539189,0.503462266,0.652180215,0.718846881,1.05730842,1.762846881,1.202846881,0.642846881,0.218846881,-0.013585551,-0.094666632,-0.175747713,-0.256828794,-0.281153119,-0.281153119,-0.281153119,-0.281153119,-0.401153119,-0.521153119,-0.427306965,-0.231153119,-0.481153119,-0.897819785,-0.854837329,-0.696942592,-2.047819785,-2.281153119,-2.347819785,-2.214486452,-2.243653119,-2.597819785,-2.861153119,-3.093653119,-3.047819785,-3.547819785,-2.981153119,-2.981153119,-1.847819785,-2.381153119,-2.431153119,-2.331153119,-1.381153119,-2.081153119,-2.281153119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,Point,Max,0,0,SO201-2-85,UK'37,57.505,170.4132,-975,200,Summer-Fall,Max et al. 2012,NA,NA,NA,NA,Marcott,7.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.639345412,-0.534082254,-0.413345412,-0.153345412,0.106654588,0.366654588,0.626654588,0.910654588,1.410654588,1.910654588,2.295654588,1.645654588,1.040654588,0.850654588,0.860654588,1.543987921,-0.622678746,-0.521698353,-0.16661814,0.139964933,-0.066931619,-0.273828171,-0.439345412,-0.439345412,-0.348436321,-0.143345412,0.096654588,0.336654588,-1.529345412,-1.239345412,-0.892286589,-2.421698353,-3.29744065,-3.192678746,-3.087916841,-2.983154936,-2.878393031,-2.773631127,-2.668869222,-2.564107317,-2.459345412,-2.354583507,-2.249821603,-1.725059698,-1.153631127,-0.620595412,-0.433095412,-1.839345412,-1.239345412,0.453987921,-1.079345412,-1.605383148,-1.699722771,-1.794062393,-1.888402016,-1.982741639,-1.348436321,-0.349345412,-1.267916841,-2.039345412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,8,Point,Riethdorf,0,0,SO201-2-85,Mg/Ca - N. pachy sin.,57.505,170.4132,-975,455,NA,Riethdorf et al. 2013,NA,NA,NA,NA,Hupp,8.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.762827636,-0.657564478,-0.351459215,0.088540785,0.528540785,0.968540785,1.408540785,1.164540785,0.464540785,-0.235459215,-0.335459215,-0.035459215,0.084540785,0.084540785,0.084540785,0.084540785,0.084540785,0.084540785,-0.324550124,-0.249941974,-0.043045422,0.16385113,0.343364314,0.164540785,-1.030843831,-0.607766907,-0.184689984,-0.103694509,-0.250753333,-0.397812156,-0.401173501,0.170255071,0.741683642,1.313112213,1.609253429,1.787414348,1.965575268,2.143736187,2.321897107,2.500058026,2.678218946,2.856379865,3.034540785,1.469323394,-0.095893998,0.703290785,2.343751311,2.435856574,2.527961837,2.620067101,2.420904421,1.542116542,0.663328664,-0.215459215,0.546445547,1.308350309,1.338386939,1.287104887,1.235822836,1.184540785,0.384540785,-0.415459215,0.513112213,1.090255071,1.433112213,1.775969356,1.946445547,0.565493166,-0.815459215,-1.244030644,-1.274282745,-1.038988627,-0.803694509,-0.568400392,-0.333106274,-0.425136635,-0.844491473,-1.263846312,-0.755459215,1.144540785,2.269156169,2.230694631,2.192233093,2.153771554,2.115310016,1.871637559,0.80712143,-0.257394699,-1.040459215,0.709540785,2.267233093,2.094156169,1.921079246,1.748002323,1.5749254,1.401848477,0.629702075,-0.209007602,-1.04771728,0.024540785,1.574540785,1.884540785,1.884540785,1.884540785,1.884540785,1.884540785,1.497444011,0.85228272,0.20712143,0.447040785,1.572040785,2.556119732,2.271909206,1.98769868,1.703488153,1.419277627,1.135067101,0.850856574,0.566646048,0.282435522,-0.001775005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,Point,Praetorius,0,0,EW0408-26TCJC,UK_37,56.96,-136.43,-1623,64,Summer,"Praetorius et al., 2016",NA,"Prahl et al., 1988",NA,NA,Jones,9.csv,NA,NA,NA,NA,0.610982012,0.613065345,0.615148678,0.617232012,0.619315345,0.621398678,0.623482012,0.625565345,0.627648678,0.629732012,0.631815345,0.633898678,0.635982012,0.638065345,0.640148678,0.642232012,0.644315345,0.646398678,0.648482012,0.650565345,0.652648678,0.654732012,0.656815345,0.658898678,0.660982012,0.663065345,0.665148678,0.667232012,0.669315345,0.671398678,0.673482012,0.675565345,0.677648678,0.679732012,0.681815345,0.683898678,0.685982012,0.688065345,0.690148678,0.692232012,0.694315345,0.696398678,0.698482012,0.700565345,0.702648678,0.704732012,0.706815345,0.708898678,0.710982012,0.704732012,0.698482012,0.692232012,0.685982012,0.679732012,0.673482012,0.667232012,0.660982012,0.654732012,0.648482012,0.642232012,0.635982012,0.629732012,0.623482012,0.617232012,0.610982012,0.604732012,0.598482012,0.592232012,0.585982012,0.579732012,0.573482012,0.567232012,0.560982012,0.554732012,0.548482012,0.542232012,0.535982012,0.529732012,0.523482012,0.517232012,0.510982012,0.490148678,0.469315345,0.448482012,0.427648678,0.406815345,0.385982012,0.365148678,0.344315345,0.323482012,0.302648678,0.281815345,0.260982012,0.240148678,0.219315345,0.198482012,0.177648678,0.156815345,0.135982012,0.115148678,0.094315345,0.073482012,0.052648678,0.031815345,0.010982012,-0.140180779,-0.29134357,-0.44250636,-0.593669151,-0.744831942,-0.895994732,-1.047157523,-1.198320314,-0.831875131,-0.327479527,-0.622351322,-1.495267988,-1.526517988,-1.557767988,-1.589017988,-1.973633373,-2.162702199,-2.267965357,-1.779927079,-1.27083617,-1.089017988,-1.016290716,-0.989017988,-0.989017988,-0.989017988,-1.26044656,-1.879494179,-1.789017988,-0.589017988,-0.839017988,-2.839017988,-3.389017988,-2.355684655,-2.764017988,-2.122351322,-2.389017988,-1.389017988,-1.789017988,-2.989017988,-3.009017988,-3.977906877,-3.009017988,-3.155684655,-3.549017988,-3.709017988,-3.539017988,-3.089017988,-4.189017988,-3.549017988,-4.069017988,-3.789017988,-3.052654352,-4.689017988,-3.649017988,-4.179017988,-4.099017988,-4.209017988,-4.35055645,-3.965941065,-3.581325681,-3.455684655,-3.589017988,-2.289017988,-3.589017988,-4.289017988,-4.789017988,-3.922351322,-4.589017988,-3.355684655,-1.839017988,-2.275684655,-2.214017988,-3.389017988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10,Point,Max,0,0,SO201-2-77,UK'37,56.3303,170.6988,-2130,250,Summer-Fall,Max et al. 2012,NA,NA,NA,NA,Marcott,10.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.235747046,-0.435747046,-0.635747046,-0.835747046,-0.935747046,-0.935747046,-0.935747046,-1.02059553,-1.126656136,-1.232716743,-1.338777349,-1.444837955,-1.550898561,-1.630747046,-1.605747046,-1.580747046,-1.555747046,-1.557969268,-1.669080379,-1.78019149,-1.82059553,-1.7902925,-1.75998947,-1.72968644,-1.699383409,-1.669080379,-1.638777349,-1.590747046,-1.540747046,-1.490747046,-1.440747046,-1.235747046,-1.013524823,-0.868582866,-1.032761971,-1.196941075,-1.36112018,-1.525299284,-1.689478389,-1.853657493,-1.848247046,-1.673247046,-1.498247046,-1.323247046,-1.254977815,-1.293439353,-1.331900892,-1.389478389,-1.449179881,-1.508881374,-1.568582866,-1.628284359,-1.687985852,-1.695747046,-1.495747046,-1.295747046,-1.095747046,-0.989593199,-1.258823969,-1.528054738,-1.592889903,-1.521461331,-1.45003276,-1.378604188,-1.307175617,-1.235747046,-1.307175617,-1.095747046,-0.959747046,-0.999747046,-0.982413712,-0.449080379,-0.369080379,-0.435747046,-0.435747046,-0.369080379,-0.035747046,-0.246858157,-0.271747046,-0.191747046,0.064252954,0.730919621,0.544252954,0.830919621,1.289252954,1.697586288,2.030919621,0.714252954,0.451752954,0.326752954,0.764252954,1.764252954,0.692824383,0.297586288,0.353141843,0.408697399,0.464252954,0.015977092,-0.43229877,-0.764318474,-0.373842284,-0.469080379,-0.775747046,-1.223247046,-0.976923516,-0.859276457,-0.326656136,-0.635747046,-0.857969268,-1.035747046,-1.007175617,-1.491302601,-2.602413712,-2.235747046,-1.935747046,-1.6402925,-1.344837955,-1.049383409,-0.753928864,-0.228604188,0.44996724,1.128538669,0.716884533,0.032674007,-0.301656136,-0.597110682,-0.892565227,-1.188019773,-0.835747046,0.164252954,0.857586288,0.324252954,-0.296273361,-0.954168098,-1.612062835,-2.269957572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
