ID,geometry,Author,Shakun_id,Marcott_id,Location,Proxy Type,Lat (°),Lon (°),Elev/Depth (m a.s.l),Avg. Resolution,Season_int,Reference,Notes,Temperature Calibration Used,Calibration Equation,Additional Age Model Reference,Uploader
76,Point,Capelli,0,0,SO18471,Mg/Ca - G. ruber,-9.36645,29.983,-485,1000,Annual?,"Capelli et al., 2016",,"Anand et al., 2003",T = ln(MgCa/0.38)/0.09 [sic],,McDowell
77,Point,Johnson,0,0,MAL05-1,Tex86,-11.29389,34.43722,378,368,Annual,"Johnson et al., 2016",,"Casteneda et al., 2015",ALST = 49.032(TEX ) − 10.989,"Scholz et al., 2007",Jones
78,Point,Wang,0,0,GIK16160-3,UK'37,-18.2412,37.8685,-1339,209,Summer,"Wang et al., 2013",,"Sonzogni et al., 1997",SST= (UK'37 - 0.013)/0.023,,Jones
79,Point,Wang,0,0,GIK16160-3,Mg/Ca - G.ruber w.,-18.2412,37.8685,-1339,241,Winter,"Wang et al., 2013",,"Anand et al., 2003",T = ln(MgCa/0.38)/0.09,,Jones
80,Point,Dauner,0,0,NAP 63-1,UK'37,-24.8384,-44.318733,-842,931,Winter/Subsurface,"Dauner et al., 2019",,"Muller et al., 1998",SST=(UK'37-0.069)/0.033,,Jones
81,Point,Dauner,0,0,NAP 63-1,Tex86,-24.8384,-44.318733,-842,931,Annual,"Dauner et al., 2019",,"Kim et al., 2010","SST=38.6+(68.4*TexH86), where TexH86= log10TexH86",,Jones
82,Point,Dauner,0,0,NAP 63-1,LDI,-24.8384,-44.318733,-842,931,Annual/Summer,"Dauner et al., 2019",,"Rampen et al., 2012",SST= (LDI -0.095)/0.033,,Jones
83,Point,Dyez,0,0,MD02-2594,Mg/Ca - G.ruber w.,-34.71,17.338,-2440,363,Annual,"Dyez et al., 2014",,Anand et al. 2003,,,Jones
84,Point,Lopes Dos Santos,0,0,MD03-2607,UK'37,-36.9607,137.4065,-865,421,Annual,"Lopos Dos Santos et al., 2013",,"Muller et al., 1998",T = (UK'37 - 0.044)/(0.033),,Jones
85,Point,Lopes Dos Santos,0,0,MD03-2607,Tex86,-36.9607,137.4065,-865,421,Winter,"Lopos Dos Santos et al., 2013",,"Kim et al., 2010;",SST=68.4*(Log10(TEXH 86))+38.6,,Jones
86,Point,Lopes Dos Santos,0,0,MD03-2607,LDI,-36.9607,137.4065,-865,421,Summer,"Lopos Dos Santos et al., 2013",,"Rampen et al., 2012",SST=(LDI-0.095)/0.033,,Jones
87,Point,Sikes,0,0,RR0503-87JPC,UK'37,-37.26,176.64,-663,210,Summer,"Sikes et al., 2019",,"Prahl et al., 1988",,,Jones
88,Point,Sikes,0,0,RR0503-87JPC,Mg/Ca - G. Bulloides,-37.26,176.64,-663,210,Spring,"Sikes et al., 2019",,"Mashiota, 1999",,,Jones
89,Point,Sikes,0,0,RR0503-87TC,UK'37,-37.26,176.64,-663,187,Summer,"Sikes et al., 2019",,"Prahl et al., 1988",,,Jones
90,Point,Haddam,0,0,MD07-3100,Foram Assemblage,-41.6,-74.95,-1609,200 (deglacial),Summer,"Haddam et al., 2018",,"Haddam et al., 2016",,,Jones
91,Point,Anderson,0,0,TN057-06-PC4,UK'37,-42.91,8.9,-3571,400,,"Anderson, 2014",,"Prahl et al., 1988",,,Jones
92,Point,Haddam,0,0,MD07-3088,UK’37,-46.067,-75.683,-1536,90,Spring,"Haddam et al., 2018",,"Prahl et al., 1988; Muller et al., 1998",Prahl: T = (UK'37 - 0.039)/(0.034); Muller: T = (UK'37 - 0.044)/(0.033),"Siani et al., 2013",Jones
93,Point,Haddam,0,0,MD07-3088,Foram Assemblage,-46.067,-75.683,-1536,90,Summer,"Haddam et al., 2018",,"Haddam et al., 2016",,"Siani et al., 2013",Jones
94,Point,Haddam,0,0,MD07-3082,Foram Assemblage,-49.167,-76.567,-1792,210 (deglacial),Summer,"Haddam et al., 2018",,"Haddam et al., 2016",,,Jones
95,Point,Caniupan,0,0,NBP05-05JPC42,UK'37,-49.917,-74.383,-904,110,Summer,"Caniupan et al., 2011",Holocene,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,Jones
96,Point,Caniupan,0,0,MD07-3124,UK'37,-50.516,-74.972167,-564,100,Summer,"Caniupan et al., 2014",Holocene,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,Jones
97,Point,Caniupan,0,0,MD07-3128,UK'37,-52.6595,-75.56616,-1032,150 (deglacial),Summer,"Caniupan et al., 2011",,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,Jones
98,Point,Caniupan,0,0,CHURR,UK'37,-53.033,-73.9,-80,200,Summer,"Caniupan et al., 2014",Holocene,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,Jones
99,Point,Wang,0,0,SZY,GDGT,26.767,119.033,1007,400,Summer,"Wang et al., 2017",,"Weijers et al., 2007a",,,Jones
100,Point,Zhang,0,0,TCK1,Chironomid,26.634389,99.716667,3900,84,Summer (July),"Zhang et al., 2017",,"Zhang et al., 2017 (separate paper)",,,Jones
