,Depth,Age,Temperature
1,213,3080,20.7
2,253,3700,20.7
3,273,4020,20.8
4,283,4170,21.2
5,303,4490,20.9
6,313,4650,21.2
7,323,4800,20
8,333,4960,22
9,343,5090,22
10,353,5210,21
11,363,5320,20.8
12,373,5430,22.3
13,383,5540,20.3
14,393,5650,22.5
15,403,5760,20.4
16,413,5870,22.3
17,433,6090,21.3
18,443,6200,20.4
19,463,6420,22.4
20,473,6530,22.9
21,483,6640,21.7
22,493,6750,22.6
23,503,6860,22.2
24,513,6960,25.5
25,523,7040,22.2
26,533,7130,25.6
27,543,7220,21.4
28,553,7310,23.7
29,563,7390,22.2
30,573,7480,23.9
31,583,7570,21.6
32,593,7660,24.3
33,603,7750,21.2
34,613,7850,21.5
35,623,7950,21.2
36,633,8050,24.4
37,643,8150,21.3
38,653,8250,23.6
39,663,8350,22
40,673,8450,24.3
41,683,8550,21.2
42,703,8750,21.6
43,713,8850,22.7
44,723,8950,22.2
45,733,9050,22.8
46,743,9150,21.2
47,753,9250,23.3
48,763,9350,21.5
49,773,9460,21.7
50,783,9580,21.7
51,793,9690,23.7
52,803,9800,22.2
53,813,9920,23
54,823,10030,21.8
55,833,10140,22.7
56,843,10260,22.6
57,853,10370,22.9
58,863,10490,21.7
59,873,10600,23.1
60,883,10710,22.7
61,903,10970,21.8
62,913,11110,24.8
63,923,11250,22
64,933,11390,23
65,943,11530,23.2
66,953,11670,23.9
67,963,11810,24
68,973,11950,21
69,983,12100,20.8
70,993,12240,22.8
71,1003,12380,21.7
72,1013,12520,21.6
73,1023,12660,21.4
74,1033,12800,23.2
75,1043,12940,21.9
76,1053,13080,22.6
