,Depth,Age,Temperature
1,9.5,6825.4,17.90
2,18.5,6879.7,18.44
3,28.5,6940.1,17.99
4,43.5,7030.7,17.56
5,43.5,7030.7,17.72
6,48.5,7060.9,18.16
7,53.5,7091.1,19.27
8,58.5,7121.3,18.87
9,63.5,7151.5,17.34
10,68.5,7181.7,20.66
11,78.5,7242.1,17.10
12,83.5,7272.2,17.50
13,88.5,7302.4,20.27
14,93.5,7332.6,16.68
15,93.5,7332.6,16.68
16,103.5,7393.0,16.44
17,103.5,7393.0,16.93
18,108.5,7423.2,20.83
19,113.5,7453.4,17.88
20,118.5,7483.6,18.20
21,123.5,7513.8,15.76
22,133.5,7574.2,19.14
23,143.5,7634.5,18.62
24,157.5,7719.1,18.69
25,162.5,7749.3,17.44
26,162.5,7749.3,16.62
27,167.5,7779.5,17.67
28,172.5,7809.7,16.79
29,182.5,7870.0,16.12
30,187.5,7900.2,18.49
31,192.5,7930.4,17.55
32,197.5,7960.6,18.89
33,207.5,8021.0,17.56
34,212.5,8051.2,16.08
35,227.5,8141.8,18.90
36,232.5,8172.0,18.46
37,237.5,8202.2,14.71
38,242.5,8240.7,16.84
39,259.5,8371.8,16.72
40,279.5,8549.1,17.77
41,304.5,8766.4,18.11
42,324.5,8929.0,17.90
43,327.5,8953.4,13.83
44,344.5,9098.9,16.78
45,358.5,9200.1,17.62
46,384.5,9349.9,18.22
47,404.5,9527.2,16.17
48,424.5,9704.6,16.79
49,492.5,9873.1,16.46
50,502.5,9952.4,18.28
51,522.5,10111.0,16.32
52,547.5,10248.9,19.59
53,552.5,10277.0,19.00
54,558.5,10310.6,18.22
55,567.5,10361.1,17.26
56,573.5,10392.5,17.87
57,577.5,10413.5,18.77
58,582.5,10441.9,18.44
59,587.5,10470.2,18.60
60,597.5,10527.0,17.67
61,602.5,10555.3,19.53
62,606.5,10578.0,18.65
63,617.5,10640.5,18.33
64,627.5,10697.2,17.66
65,637.5,10748.6,18.20
66,960.5,10850.4,17.40
67,972.5,10918.5,20.05
68,972.5,10918.5,17.27
69,977.5,10946.9,17.81
70,982.5,10975.2,16.93
71,992.5,11032.0,17.96
72,1002.5,11088.7,18.75
73,1007.5,11117.1,18.54
74,1007.5,11117.1,17.15
75,1012.5,11145.5,18.19
76,1017.5,11173.8,16.03
77,1022.5,11202.2,17.73
78,1032.5,11259.0,18.74
79,1039.5,11309.0,15.83
80,1042.5,11330.5,17.67
81,1053.5,11438.2,18.04
82,1053.5,11438.2,18.33
83,1057.5,11475.7,15.55
84,1062.5,11522.6,16.19
85,1072.5,11616.3,14.06
86,1077.5,11663.1,15.81
87,1082.5,11710.0,15.68
88,1087.5,11756.8,15.47
89,1092.5,11803.7,14.91
90,1097.5,11850.6,16.79
91,1102.5,11897.4,17.33
92,1112.5,11991.1,15.59
93,1122.5,12084.8,17.08
94,1132.5,12178.5,15.09
95,1132.5,12178.5,14.65
96,1142.5,12272.2,21.63
97,1152.5,12365.9,15.98
98,1152.5,12365.9,16.47
99,1157.5,12412.8,16.39
100,1162.5,12459.6,16.69
101,1167.5,12506.5,17.17
102,1172.5,12553.4,15.55
103,1175.5,12581.5,15.83
104,1177.5,12600.2,15.42
105,1187.5,12693.9,16.68
106,1192.5,12740.8,14.70
107,1197.5,12787.3,16.68
108,1203.5,12842.0,15.21
109,1207.5,12879.5,16.39
110,1226.5,13057.5,15.11
111,1248.5,13259.0,14.84
112,1307.5,13816.5,14.86
113,1347.5,14181.5,14.42
114,1365.5,14352.4,16.73
115,1387.5,14557.3,17.13
116,1407.5,14743.6,14.13
117,1427.5,14929.9,13.73
118,1448.5,15125.5,13.19
119,1468.5,15311.8,15.63
120,1488.5,15498.1,14.93
121,1506.5,15670.5,12.82
122,1527.5,15860.5,13.52
123,1547.5,16018.9,14.56
124,1547.5,16018.9,14.09
125,1547.5,16018.9,13.21
126,1567.5,16205.2,14.75
127,1587.5,16391.5,12.38
128,1607.5,16577.8,13.64
129,1627.5,16764.1,14.86
130,1647.5,16916.3,13.56
131,1667.5,16989.1,13.12
132,1687.5,17057.4,12.21
133,1708.5,17132.7,12.93
134,1727.5,17201.9,13.03
135,1748.5,17278.2,11.64
136,1768.5,17351.0,15.43
137,1788.5,17423.7,14.05
138,1887.5,17507.4,13.28
139,2008.5,17658.7,12.45
140,2028.5,17731.5,13.24
141,2091.5,17872.2,10.65
142,2130.5,17900.4,11.30
143,2288.5,17977.7,12.54
144,2307.5,18046.8,12.86
145,2327.5,18119.6,11.20
146,2347.5,18192.3,11.92
147,2365.5,18257.8,12.74
148,2407.5,18410.5,11.68
149,2407.5,18410.5,11.37
150,2427.5,18483.3,13.24
151,2448.5,18559.7,13.02
152,2488.5,18705.2,14.59
153,2508.5,18776.1,13.49
154,2528.5,18848.8,12.52
155,2542.5,18899.8,13.89
156,2548.5,18921.6,12.45
157,2568.5,18999.3,13.56
158,2589.5,19080.8,13.19
159,2608.5,19157.0,13.41
160,2628.5,19237.1,12.65
161,2648.5,19317.3,11.69
162,2668.5,19389.3,14.17
163,2691.5,19472.1,13.74
164,2708.5,19533.3,13.03
165,2728.5,19613.5,13.08
166,2748.5,19693.6,12.77
167,2768.5,19773.8,12.26
168,2785.5,19826.9,13.49
169,2807.5,19922.8,13.17
170,2828.5,20014.3,13.22
171,2847.5,20090.5,13.42
172,2868.5,20158.3,14.20
173,2896.5,20248.7,14.43
174,2915.5,20310.1,15.01
175,2928.5,20360.4,12.83
176,2945.5,20426.2,12.24
177,2968.5,20515.2,12.80
178,2987.5,20588.7,14.31
179,3008.5,20672.8,13.95
180,3040.5,20731.8,13.70
181,3109.5,20869.2,13.43
182,3128.5,20945.4,12.20
183,3148.5,21049.1,13.31
184,3166.5,21142.4,12.37
185,3207.5,21186.4,16.31
186,3209.5,21193.4,13.18
187,3257.5,21423.4,15.34
188,3257.5,21423.4,13.66
189,3262.5,21453.4,13.76
190,3267.5,21483.4,14.48
