,Depth,Age,Temperature
1,4,1220,24.19
2,6,1570,24.11
3,8,1930,24.24
4,10,2290,24.52
5,22,4430,23.82
6,26,5150,24.07
7,28,5510,24.59
8,30,5860,24.03
9,32.5,6310,23.93
10,36,6940,23.95
11,38,7290,24.5
12,40,7650,24.01
13,42,7990,24
14,44,8310,23.95
15,48,8950,23.44
16,52.5,9670,23.49
17,58,10550,23.76
18,62,11190,23.65
19,66,11840,23.4
20,68,12160,23.09
21,69.5,12400,22.86
22,71,12640,23.37
23,72.5,12880,22.92
24,74,13120,22.49
25,76,13440,22.7
26,77,13600,22.55
27,79,13920,22.65
28,82,14400,22.77
29,84,14720,22.53
30,86,15040,22.83
31,88,15360,22.48
32,90,15680,23.25
33,92,15990,21.91
34,94,16290,22.16
35,96,16590,21.98
36,98,16890,22.19
37,99,17040,22.05
38,100.5,17260,21.93
39,101.5,17410,22.12
40,104,17790,22.29
41,106,18080,23.05
42,108,18380,22.24
43,110,18680,21.92
44,112,18980,22.26
45,114,19280,22.4
46,116,19580,23.01
47,122,20470,22.93
48,132,21920,23.07
49,142,23360,22.6
50,152,24810,22.3
51,171.5,28650,22.52
52,174,29200,23.43
53,176,29610,23.64
54,177.5,29920,23.36
55,179.5,30330,23.64
56,182,30840,23.3
57,184,31240,23.38
58,186,31650,23.69
59,188,32060,23.41
60,190,32470,23.71
61,193,33080,23.45
62,195,33490,23.64
63,197,33900,23.53
64,201.5,34820,23.91
65,204,35330,23.8
66,206,35730,23.99
67,208,36140,22.89
68,210,36550,23.71
69,211,36760,23.26
70,214,37370,23
71,217,37980,22.73
72,221,38800,23.18
73,224,39410,22.72
74,227,40020,22.96
75,231,40840,23.51
76,234,41450,23.01
77,237,42060,22.72
78,241,42880,22.54
79,244,43490,22.57
80,247,44100,22.58
81,251,44920,22.93
82,254,45530,23.1
83,257,46140,22.56
84,261,46960,23.23
85,264,47570,23.24
86,267,48180,23.67
87,271,49000,22.69
88,274,49500,23.25
89,277,50000,22.82
90,281,50670,23.07
91,284,51170,23.53
92,287,51670,23.24
93,291,52330,23.31
94,294,52830,23.41
95,297,53330,23.58
96,301,54000,22.75
97,304,54700,22.75
98,307,55400,23.52
99,311,56330,24.01
100,314,57030,24.23
101,317,57730,23.67
102,320,58430,24.25
103,324,59370,23.96
104,327,60070,23.45
105,331,61000,22.96
106,334,61690,22.98
107,337,62380,23.4
108,341,63300,23.02
109,344,63990,23.43
110,347,64680,22.93
111,351,65600,22.91
112,354,66290,23.21
113,357,66980,23.59
114,360,67670,23.55
115,364,68590,23.38
116,367,69280,23.45
117,371,70200,23.52
118,374,70890,23.73
119,377,71580,24.15
120,381,72500,24.12
121,384,73190,23.75
122,387,73880,24.15
123,391,74800,24.1
124,394,75490,24.25
125,397,76180,24.13
126,401,77100,24.26
127,404,77790,24.38
128,407,78480,24.22
129,411,79400,24.83
130,414,80090,24.77
131,417,80780,25.72
132,421,81700,25.7
133,424,82390,25.18
134,427,83080,25.94
135,431,84000,25.37
136,434,84860,25.4
137,437,85710,25.02
138,441,86860,25.15
139,444,87710,25.59
140,447,88570,25.15
141,451,89710,24.93
142,454,90570,25.72
143,457,91430,25.67
144,461,92570,25.34
145,464,93430,24.62
146,467,94290,25.03
147,471,95430,24.98
148,474,96290,25.22
149,477,97140,25
150,481,98290,24.95
151,484,99140,25.27
