,Depth,Age,Temperature
1,1.25,-18,27.8
2,6.5,45,27.4
3,11.5,120,26.7
4,14.5,203.5,27.6
5,17.5,288.5,27.8
6,19.5,341.5,27.6
7,21.5,389,27.7
8,25.5,474.5,27.4
9,28.5,539,27.2
10,34.5,634,27.6
11,38.5,690,28
12,48.5,771,28.6
13,58.5,890,28.4
14,68.5,1080,28.1
15,71.5,1151,27.5
16,103.5,1854,28.2
17,128.5,2274,27.3
18,148.5,2730,27.6
19,164.5,3183,28.2
20,170.5,3331,28.4
21,178.5,3527,28.4
22,180.5,3574,28.5
23,192.5,3914,27.8
24,196.5,4032,27.5
25,200.5,4140,27.9
26,210.5,4393,27.9
27,220.5,4643,28.2
28,224.5,4732,27.9
29,228.5,4822,28.1
30,232.5,4912,28.1
31,236.5,5004,27.4
32,240.5,5096,27.6
33,250.5,5325,27.6
34,260.5,5546,28.1
35,270.5,5724,28.2
36,280.5,5913,28
37,288.5,6065,28.7
38,296.5,6217,28.3
39,320.5,6674,28.2
40,340.5,7051,27.8
41,360.5,7734,28.1
42,380.5,8441,27.7
43,400.5,9146,28
44,412.5,9566,28
45,420.5,9831,27.8
46,428.5,10003,27.6
47,434.5,10134,27.9
48,440.5,10266,27.5
49,460.5,10687,26.8
50,470.5,11050,27.2
51,484.5,11568,26.3
52,488.5,11717,25.9
53,492.5,11865,25.1
54,496.5,12014,25.8
55,500.5,12161,24.7
56,510.5,12532,25.1
57,520.5,12883,26.5
58,530.5,13203,26.5
59,540.5,13535,26.5
60,550.5,13863,24.8
61,560.5,14165,25
62,564.5,14564,25.5
63,568.5,14985,25.6
64,572.5,15407,25.3
65,576.5,15825,26.6
66,590.5,16979,24.3
67,610.5,18134,24.2
68,620.5,18509,25.3
69,640.5,19241,26.2
70,660.5,21911,24.8
71,680.5,24548,25.7
72,690.5,25535,25.1
73,710.5,27009,25.4
74,720.5,27522,25.9
75,730.5,28041,25.3
76,740.5,28558,25.4
77,750.5,29075,25.4
78,770.5,30115,26.6
79,780.5,30635,26.1
80,800.5,31488,25.8
81,810.5,31928,26.7
82,820.5,32370,27.4
83,840.5,33264,26.6
84,850.5,33872,25.6
85,870.5,35132,25
86,880.5,35764,25.7
87,890.5,36388,25.4
88,910.5,37413,26
