,Depth,Age,Temperature
1,15.5,1450,22.98
2,20.5,2150,26.20
3,25.5,2610,24.29
4,30.5,3070,25.51
5,35.5,3530,25.32
6,40.5,3990,24.46
7,45.5,4450,23.99
8,50.5,4910,25.48
9,55.5,5380,24.05
10,60.5,5840,25.44
11,65.5,6300,25.71
12,70.5,6810,25.40
13,75.5,7370,25.03
14,80.5,7930,25.46
15,85.5,8500,25.92
16,90.5,9060,24.59
17,95.5,9620,24.82
18,100.5,10090,24.89
19,105.5,10480,25.48
20,110.5,10870,25.29
21,115.5,11250,26.61
22,120.5,11640,24.39
23,123,11830,23.98
24,125.5,11900,23.33
25,130.5,12040,23.98
26,135.5,12180,24.08
27,140.5,12320,23.53
28,145.5,12450,23.99
29,150.5,12590,23.47
30,155.5,12730,24.47
31,160.5,12870,23.28
32,163,12940,24.53
33,165.5,13400,23.23
34,168,13860,24.65
35,173,14620,24.24
36,178,14710,24.02
37,180.5,14760,22.70
38,183,14810,24.51
39,185.5,14850,23.46
40,188,14900,23.81
41,193,14990,23.89
42,198,15090,24.24
43,203,15190,24.60
44,208,15280,23.37
45,213,15370,23.92
46,218,15460,23.26
47,223,15560,23.50
48,228,15650,23.29
49,233,15740,23.16
50,238,15950,22.63
51,243,16150,22.99
52,248,16400,23.77
53,253,16640,23.06
54,258,16890,23.72
55,263,17140,23.97
56,268,17390,22.93
57,273,17630,22.61
58,278,17880,23.31
59,283,18130,24.14
60,288,18380,22.77
61,293,18630,23.18
62,298,18940,22.88
63,303,19250,23.96
64,308,19550,23.82
65,313,19860,23.88
66,318,20350,24.13
67,323,20840,24.01
68,328,21320,23.56
69,333,21810,24.27
70,338,22300,23.51
71,343,22790,24.46
72,348,23150,24.22
73,353,23510,23.40
74,358,23870,23.36
75,363,24230,24.39
76,378,25300,23.46
77,383,25660,23.77
78,388,26020,24.31
79,393,26320,24.98
80,398,26610,24.58
81,400.5,26760,23.09
82,405.5,27060,22.48
83,410.5,27360,22.55
84,415.5,27660,22.14
85,420.5,27950,23.03
86,425.5,28250,23.23
87,430.5,28550,25.16
88,435.5,28850,22.79
89,440.5,29140,24.10
90,445.5,29440,23.22
91,450.5,29740,23.97
92,455.5,30030,22.78
93,460.5,30330,24.22
94,465.5,30630,22.08
95,470.5,30930,24.15
96,475.5,31220,23.24
97,480.5,31520,24.10
98,485.5,31810,24.73
99,490.5,32100,23.80
100,495.5,32380,23.62
101,500.5,32660,23.16
102,505.5,32950,23.19
103,510.5,33230,23.87
104,520.5,33770,23.36
105,530.5,34300,24.31
106,540.5,34820,24.52
107,545.5,35090,23.41
108,550.5,35350,23.91
109,555.5,35620,24.32
110,560.5,35880,24.95
111,565.5,36150,24.2
112,570.5,36410,24.41
113,575.5,36670,23.23
114,580.5,36940,25.73
115,590.5,37670,23.58
116,595.5,38080,24.15
117,600.5,38480,23.05
118,603,38680,24.26
119,608,38940,24.62
120,613,39200,24.19
121,618,39460,23.03
122,623,39720,22.92
123,628,39980,22.39
124,633,40240,23.07
125,635.5,40360,23.82
126,638,40490,24.21
127,643,40750,24.28
128,648,41010,24.01
129,650.5,41140,25.62
130,653,41270,24.3
131,655.5,41400,24.97
132,660.5,41660,24.62
133,665.5,41950,23.92
134,670.5,42260,24.08
135,675.5,42580,23.5
136,680.5,42890,24.24
137,685.5,43210,25.11
138,690.5,43530,23.43
139,695.5,43840,23.24
140,700.5,44160,24.48
141,705.5,44470,24.35
142,710.5,44790,25.38
143,715.5,45100,24.1
144,720.5,45420,23.43
145,725.5,45730,24.44
146,730.5,46050,25.51
147,735.5,46370,23.73
148,740.5,46680,24.42
149,745.5,47000,24.07
150,750.5,47310,24.29
151,755.5,47600,23.84
152,760.5,47850,23.36
153,775.5,48600,22.33
154,790.5,49360,23.19
155,795.5,49620,23.51
156,800.5,49870,23.75
157,805.5,50120,23.37
158,810.5,50380,24.09
159,815.5,50630,23.41
160,825.5,51130,24.27
161,830.5,51390,23.6
162,845.5,52150,24.61
163,855.5,52650,24.64
164,865.5,53160,24.26
165,870.5,53410,25.62
166,880.5,53920,24.72
167,885.5,54170,25.31
168,890.5,54420,25.24
169,895.5,54680,25.22
170,900.5,54930,25.12
171,910.5,55440,24.23
172,915.5,55690,24.19
173,920.5,55940,24.01
174,925.5,56160,23.87
175,930.5,56330,23.88
176,940.5,56680,24.85
177,945.5,56860,24.85
178,950.5,57030,24.47
179,955.5,57210,24.47
