,Depth,Age,Temperature
1,0,0,18
2,6.3,146,17.39
3,12.5,293,17.68
4,18.8,439,14.16
5,25.1,585,14.87
6,31.3,731,16.5
7,37.6,878,16.72
8,43.8,1024,17.08
9,50.1,1170,18.62
10,56.4,1316,19.46
11,62.6,1463,17.88
12,68.9,1609,17.05
13,75.2,1755,18.08
14,77.2,1804,18.26
15,81.4,1902,19.45
16,87.7,2048,19.87
17,93.9,2194,19.93
18,106.5,2487,18.64
19,112.7,2633,18.79
20,120,2802,18.99
21,126.2,2948,16.25
22,132.5,3094,18.08
23,138.7,3240,15.37
24,145,3386,15.47
25,151.2,3531,15.09
26,157.4,3677,11.22
27,163.7,3823,13.98
28,169.9,3969,15.71
29,176.2,4114,14.79
30,182.4,4260,12.14
31,188.7,4406,12.71
32,194.9,4552,16.93
33,201.1,4697,15.07
34,207.4,4843,17.67
35,213.6,4989,20.39
36,219.9,5135,16.7
37,226.1,5281,16.1
38,232.3,5426,20.88
39,238.6,5572,21.18
40,244.8,5718,20.78
41,251.1,5864,20.94
42,257.3,6009,22.77
43,263.6,6155,23.37
44,269.8,6301,21.19
45,276,6446,22.37
46,287,6703,23.33
47,299,6983,21.26
48,305.3,7130,21.6
49,311.6,7277,20.56
50,317.9,7424,20.8
51,324.2,7571,19.98
52,330.5,7718,21.96
53,336.8,7865,21.12
54,343,8012,21.11
55,349.3,8159,21.29
56,355.6,8305,19.54
57,361.9,8452,19.54
58,368.2,8599,20.42
59,374.5,8746,18.6
60,380.8,8893,16.23
61,386,9015,15.54
62,392.4,9165,16.71
63,398.8,9315,17.5
64,405.3,9465,21.06
65,406.2,9620,19.44
66,409.4,9695,20.97
67,412.6,9769,19.94
68,415.8,9844,19.5
69,419,9919,18.74
70,422.2,9994,19.57
71,425.4,10069,17.68
72,428.6,10143,22.27
73,431.8,10218,21.44
74,435,10293,21.08
75,438.2,10368,22.36
76,441.4,10443,23.59
77,444.6,10517,24.62
78,447.8,10592,20.82
79,450.5,10655,21.89
80,453.1,10717,22.62
81,455.8,10779,20.28
82,456.8,10803,20.4
83,458.5,10842,19.51
84,461.1,10904,19.28
85,463.8,10966,19.53
86,466.5,11029,19.5
87,469.1,11091,22.12
88,477.1,11278,20.28
89,485.2,11465,22.07
90,493.2,11652,19.76
91,494,12174,19.75
92,494.8,12255,17.4
93,495.7,12336,17.81
94,496.5,12417,18.28
95,497.3,12498,18.67
96,498.1,12579,18.24
97,499,12660,20.99
98,499.8,12740,18.65
99,500.6,12830,18.06
100,503,12862,18.35
101,505.4,12926,16.86
102,506,12943,18.08
103,506.5,12947,17.77
104,507.6,12969,16.52
105,508.6,12990,17.71
106,509.7,13011,16.59
107,510.3,13024,17.58
108,510.8,13033,17.79
109,511.8,13054,20.99
110,512.9,13075,15.36
111,514,13097,15.92
112,515,13118,15.61
113,516.1,13139,15.55
114,516.6,13145,18.87
115,517.2,13161,16.4
116,518.3,13182,16
117,519.3,13203,13.43
118,520.4,13225,17.74
119,521.5,13246,18.43
120,522.5,13267,15.19
121,523.6,13289,16.6
122,524.7,13310,17.71
123,525.7,13331,19.26
124,526.8,13352,16.11
125,527.9,13374,14.7
126,528.4,13388,14.77
127,528.9,13395,17.07
128,530,13416,19.38
129,531.1,13438,19.86
130,532.1,13459,18.87
131,533.2,13480,14.21
132,534.3,13502,19.16
133,534.8,13510,15.16
134,535.3,13523,20.3
135,536.4,13544,18.08
136,537.5,13566,17.32
137,538.5,13587,18.37
138,539.6,13608,13.5
139,540.7,13630,15.46
140,541.2,13631,15.82
141,541.7,13651,19.75
142,542.8,13672,20.06
143,543.9,13694,18.35
144,544.9,13715,19.39
145,546,13736,19.41
146,546.5,13753,14.08
147,547.1,13758,20.23
148,548.1,13779,19.42
149,549.2,13800,18.5
150,550.3,13822,17.91
151,551.3,13843,17.92
152,552.4,13864,15.44
153,553,13874,20.82
154,553.5,13886,15.65
155,554.6,13907,16.07
156,555.6,13928,16.82
157,556.7,13950,17.25
158,558,13996,20.45
159,559.4,14003,16.85
160,562,14056,17.26
161,564.7,14109,19.41
162,566,14117,20.77
163,567.4,14163,19.29
164,570,14216,19.57
165,571,14239,20.57
166,573.2,14280,17.26
167,577,14355,15.77
168,579,14360,20.77
169,581.2,14440,16.45
170,585,14515,15.97
171,587,14550,18.4
172,589.2,14600,17.01
173,591,14670,16.26
174,593,14675,17.72
175,597.3,14760,17.8
176,601,14834,15.99
177,603,14910,17.11
178,605.3,14920,17.23
179,609,14994,17.86
180,668,15030,12.31
181,674,15150,8.2
182,680,15269,10.36
183,692,15509,12.28
184,698,15629,22.42
