Depth,Age,Temperature
1,120,28.18
3,290,28.08
5.5,510,28.76
6.5,600,27.65
7.5,680,28.64
8.5,770,29.24
9.5,860,27.89
10.5,950,27.81
11.5,1030,27.93
12.5,1120,28.55
13.5,1210,27.87
14.5,1300,28.77
15.5,1380,29.13
16.5,1470,28.2
17.5,1560,28.97
18.5,1650,28.42
19.5,1730,28.34
20.5,1820,28.95
21.5,1910,27.46
22.5,2000,28.49
23.5,2080,28.18
24.5,2170,27.85
25.5,2260,28.72
26.5,2440,28.46
27.5,2630,27.34
28.5,2810,28.12
29.5,3000,28.31
30.5,3180,28.24
31.5,3360,27.73
32.5,3550,28.49
33.5,3730,28.77
34.5,3910,28.41
35.5,4100,28.91
36.5,4280,28.49
37.5,4470,28.46
38.5,4650,27.49
39.5,4830,28.55
40.5,5020,28.42
41.5,5200,28.92
42.5,5380,28.87
43.5,5570,28.71
44.5,5750,28.82
45.5,5940,28.64
46.5,6120,28.15
47.5,6300,29.05
48.5,6490,28.34
49.5,6670,28.45
50.5,6780,28.95
51.5,6890,28.64
52.5,7000,28.83
53.5,7110,28.72
54.5,7230,28.77
55.5,7340,28.57
56.5,7450,28.68
57.5,7560,28.87
58.5,7670,28.63
59.5,7780,29.01
60.5,7890,29.12
61.5,8000,28.83
62.5,8110,28.23
63.5,8230,28.77
64.5,8340,28.83
65.5,8450,29.09
66.5,8560,28.87
67.5,8670,28.67
68.5,8780,28.62
69.5,8890,28.93
70.5,9000,27.82
71.5,9110,28.97
72.5,9230,29
73.5,9340,29.03
74.5,9450,28.3
75.5,9560,28.63
76.5,9670,27.78
77.5,9780,28.25
78.5,9890,28.27
79.5,10000,28.02
80.5,10110,28.27
81.5,10230,28.75
82.5,10340,27.73
83.5,10450,28.82
84.5,10560,28.43
85.5,10670,28.56
86.5,10730,28.86
88.5,10860,28.19
89.5,10930,28.5
90.5,10990,29.48
91.5,11050,28.14
92.5,11120,28.55
93.5,11180,28.65
94.5,11250,28.07
95.5,11310,28.15
96.5,11370,28.2
97.5,11440,29.31
98.5,11500,28.25
99.5,11560,28.16
100.5,11630,27.1
101.5,11690,28.09
102.5,11760,27.69
103.5,11820,27.18
104.5,11880,27.6
105.5,11950,27.67
106.5,12010,28.01
107.5,12080,27.94
108.5,12140,28.1
109.5,12200,27.65
110.5,12270,27.75
111.5,12330,27.62
112.5,12400,26.51
113.5,12460,27.8
114.5,12520,28.3
115.5,12590,27.44
116.5,12650,27.7
117.5,12710,26.71
118.5,12780,27.78
119.5,12840,27.68
120.5,12910,26.6
121.5,12970,27.28
122.5,13030,28.03
123.5,13100,26.95
124.5,13160,27.82
125.5,13230,27.57
126.5,13290,27.22
127.5,13350,27.37
128.5,13420,27.23
129.5,13480,28.15
130.5,13550,27.74
131.5,13610,27.75
132.5,13670,27.59
133.5,13740,27.58
