,Depth,Age,Temperature
1,10,4865.6,28.12
2,20,7891.7,27.21
3,30,10573,27.03
4,40,12910,26.55
5,50,14579,26.59
6,60,15674,26.58
7,70,16760,25.6
8,80,17844,24.66
9,90,18928,25.82
10,100,20011,24.69
11,110,21094,25.7
12,120,22175,25.46
13,130,23251,25.21
14,140,24313,24.6
15,150,25257,24.84
16,160,26048,24.93
17,170,26808,26.39
18,180,27574,25.8
19,190,28363,24.82
20,200,29180,25.26
21,210,30033,26.59
22,220,30911,26.08
23,230,31794,25.06
24,240,32669,26.89
25,250,33525,26.04
26,260,34364,28.07
27,270,35194,25.25
28,280,36015,25.65
29,290,36825,26.97
30,300,37623,26.34
31,310,38409,25.06
32,320,39181,26.16
33,330,39923,26.01
34,340,40623,25.6
35,350,41285,25.68
36,360,41912,25.47
37,370,42510,25.84
38,380,43081,25.87
39,390,43628,25.28
40,400,44155,25.59
41,410,44663,25.32
42,420,45157,24.88
43,430,45637,27.15
44,440,46106,25.97
45,450,46567,25.52
46,460,47021,26.43
47,470,47469,23.78
48,480,47914,25.6
49,490,48357,24.76
50,500,48799,26.26
51,510,49242,25.75
52,520,49687,26.26
53,530,50136,24.96
54,540,50588,25.89
55,550,51046,24.21
56,560,51510,24.86
57,570,51981,24.97
58,580,52460,25.05
59,590,52949,25.82
60,600,53447,24.95
61,610,53955,26.63
62,620,54475,25.71
63,630,55006,25.78
64,640,55549,26.12
65,650,56106,25.16
66,660,56676,25.41
67,670,57261,25.71
68,680,57859,25.39
69,690,58473,25.55
70,700,59103,25.03
71,710,59748,26.06
72,720,60402,26.24
73,730,61057,26.17
74,740,61712,26.77
75,750,62369,26.77
76,760,63028,26.96
77,770,63688,27.7
78,780,64350,25.65
79,790,65014,26.48
80,800,65682,25.31
81,810,66353,25.97
82,820,67030,26.09
83,830,67713,26.19
84,840,68405,25.79
85,850,69109,26.57
86,860,69831,26.36
87,870,70582,28.06
88,880,71379,27.69
89,890,72262,27.42
90,900,73335,28.02
91,910,74676,28.2
92,920,76169,28.87
93,930,77764,26.96
94,940,79432,27.61
95,952,81502,28.2
96,962,83271,26.12
97,972,85068,26.47
98,982,86890,27.3
99,992,88731,26.92
100,1002,90587,27.34
101,1012,92456,27.78
102,1022,94336,27.54
103,1032,96224,28.54
104,1042,98121,27.66
105,1052,100020,28.71
106,1062,101930,27.47
107,1072,103850,28.98
108,1082,105770,27.87
109,1092,107690,28.28
110,1102,109630,28.18
111,1112,111600,28.24
112,1122,113590,28.24
113,1132,115580,28.63
114,1142,117490,27.75
115,1152,119250,29.26
116,1162,120960,29.25
117,1172,122620,28.82
118,1182,124210,29.13
119,1192,125720,29.39
120,1202,127120,28.99
121,1212,128380,29.12
122,1222,129460,29.28
123,1232,130290,29.06
124,1242,130910,29.46
125,1252,131390,28.5
126,1262,131780,28.12
127,1272,132090,28.7
128,1282,132350,28.18
129,1292,132580,28.05
130,1302,132770,28.15
131,1312,132930,28.18
132,1322,133080,28.02
133,1332,133240,27.04
