,Depth,Age,Temperature
1,0.5,177,18.9
2,6.5,528,19.9
3,25.5,1665,19.1
4,30.5,1964,18.6
5,35.5,2263,18.9
6,45.5,2861,18.7
7,55.5,3290,18.9
8,60.5,3635,19
9,75.5,4668,19.1
10,80.5,5012,19
11,90.5,5700,17.7
12,100.5,6388,17.4
13,108.5,6939,18.1
14,110.5,7077,17.6
15,120.5,7621,19
16,122.5,7730,18.4
17,130.5,8164,17.8
18,140.5,8707,17.6
19,150.5,9250,18.6
20,160.5,9812,18.2
21,170.5,10383,19
22,176.5,10720,18.8
23,180.5,10946,19.4
24,184.5,11170,18.6
25,190.5,11508,18.6
26,194.5,11733,18.2
27,200.5,12071,18.3
28,204.5,12296,18.2
29,210.5,12634,18.4
30,213.5,12958,17.7
31,219.5,13606,17.8
32,220.5,13714,17.9
33,221.5,13821,17.6
34,226.5,14361,18
35,230.5,14792,18.6
36,236.5,15439,18.4
37,240.5,15872,18.4
38,244.5,16303,17.9
39,249.5,16872,17.9
40,253.5,17333,17.7
41,259.5,17697,17.1
42,260.5,17730,17.4
43,262.5,17798,17.3
44,267.5,17965,17
45,270.5,18066,17.2
46,271.5,18099,17.3
47,274,18183,18.3
48,277.5,18300,18.9
49,279.5,18367,18
50,281.5,18434,19.3
51,283.5,18501,17.2
52,285.5,18568,16.8
53,287.5,18635,16.7
54,289.5,18702,15.5
55,291.5,18769,17.7
56,293.5,18836,18.3
57,295.5,18903,17.6
58,297.5,19250,17.8
59,301.5,19944,16.2
60,303.5,20291,16.2
61,305.5,20637,17.1
62,307.5,20985,16.9
63,309.5,21331,17.3
64,311.5,21678,16.7
65,313.5,22025,17
66,315.5,22372,17.5
67,317.5,22719,17.2
68,319.5,23066,16.8
69,321.5,23560,17.2
70,323.5,24054,18.1
71,325.5,24548,17.5
72,327.5,25042,17.3
73,329.5,25537,17.9
74,331.5,26030,16.5
75,333.5,26524,17.4
76,335.5,27019,16.4
77,337.5,27513,16.1
78,339.5,28007,16.8
79,341.5,28500,16.6
80,345.5,29489,16.5
81,347.5,29720,19.2
82,349.5,29950,18.1
83,351.5,30181,18.8
84,353.5,30411,17.9
85,355.5,30642,17
86,357.5,30872,17.6
87,359.5,31103,16.7
88,361.5,31334,16.5
89,363.5,31564,16.2
90,365.5,31795,17.8
91,367.5,32025,17.3
92,369.5,32256,17.1
93,371.5,32486,17.5
94,373.5,32717,18.4
95,375.5,33063,17.4
96,379.5,33409,18.6
97,381.5,33639,18.1
98,383.5,33870,17.9
99,385.5,34100,18
100,387.5,34331,18
101,389.5,34562,17.6
102,391.5,34792,17.6
103,393.5,35023,18
104,395.5,35253,17.8
105,397.5,35484,16.5
106,399.5,35714,17.1
107,401.5,35945,18.5
108,403.5,36175,17.9
109,405.5,36406,18.2
110,407.5,36653,17.6
111,409.5,36899,18.2
112,411.5,37146,17.1
113,413.5,37392,17.8
114,415.5,37639,17.6
115,417.5,37886,17.7
116,419.5,38133,17
117,421.5,38379,17.4
118,423.5,38626,18
119,425.5,38873,17.6
120,427.5,39119,17
121,429.5,39365,17.2
122,431.5,39612,16.2
123,433.5,39859,16.5
124,435.5,40106,17.5
125,437.5,40353,16.6
126,439.5,40599,17.2
127,441.5,40846,17.2
128,443.5,41092,17.2
129,445.5,41339,17.6
130,447.5,41585,17.1
131,449.5,41832,17
132,451.5,42078,18
133,453.5,42325,17.1
134,455.5,42571,18
135,457.5,42819,17.7
136,459.5,43065,18
