,Depth,Age,Temperature
1,97.50,3851.01,16.93
2,101.50,4158.33,16.48
3,105.50,4356.87,17.68
4,109.50,4502.45,17.41
5,114.50,4866.21,17.58
6,118.50,5067.79,15.97
7,122.50,5261.52,16.85
8,126.50,5449.25,16.93
9,129.50,5644.79,16.52
10,134.50,5820.59,15.46
11,143.50,6200.19,17.58
12,148.50,6416.38,17.72
13,153.50,6588.32,18.43
14,157.50,6740.34,17.24
15,162.50,6962.17,18.17
16,167.50,7194.15,18.42
17,172.50,7421.65,17.77
18,176.50,7626.80,18.25
19,181.50,7836.16,17.05
20,189.50,7998.54,17.83
21,200.50,8161.24,14.87
22,211.50,8338.77,16.68
23,222.50,8502.29,14.03
24,242.50,8794.82,17.95
25,246.50,9008.08,17.78
26,249.50,9217.36,17.84
27,253.50,9474.79,17.72
28,256.50,9766.70,17.86
29,259.50,10174.66,17.80
30,263.50,10436.39,18.58
31,266.50,10636.96,18.64
32,269.50,10817.61,19.29
33,272.50,10983.88,19.77
34,275.50,11143.63,19.94
35,278.50,11407.74,20.06
36,283.50,11876.57,20.33
37,290.50,12552.58,20.39
38,292.50,12694.49,20.08
39,295.50,12904.39,19.72
40,297.50,13020.17,19.16
41,300.50,13203.99,18.90
42,303.50,13434.15,18.88
43,306.50,13673.55,18.57
44,311.50,14034.22,14.42
45,313.50,14166.33,15.30
46,315.50,14322.27,14.93
47,318.50,14610.18,14.62
48,320.50,14773.86,15.55
49,323.50,14968.31,15.61
50,328.50,15296.44,16.05
51,330.50,15438.93,16.00
52,332.50,15630.09,16.11
53,335.50,15860.53,15.68
54,343.50,16507.83,16.82
55,346.50,16715.66,17.99
56,351.50,17063.30,15.90
57,354.50,17264.42,17.76
58,357.50,17453.74,18.02
59,360.50,17618.18,16.88
60,365.50,17947.63,13.92
61,368.50,18210.60,15.95
62,371.50,18412.26,15.28
63,377.50,18760.88,15.14
64,380.50,18916.03,16.32
65,385.50,19239.52,11.67
66,390.50,19551.16,12.44
67,393.50,19764.56,12.99
68,396.50,19955.38,15.59
69,399.50,20137.25,15.55
70,402.50,20343.35,16.82
71,405.50,20536.84,15.49
72,408.50,20842.96,12.71
73,411.50,21042.82,12.05
