,Depth,Age,Temperature
1,12.5,63,19.5
2,18.5,110,18.8
3,30.5,202,18.5
4,48.5,326,18.3
5,52.1,349,19.5
6,66.4,433,18.4
7,105,611,18.6
8,122.1,692,18.9
9,139.3,793,18.1
10,155.1,912,19.1
11,175.6,1100,18.4
12,202.8,1332,19.3
13,236.9,1544,18.7
14,246,1605,19.6
15,254.5,1670,19.8
16,266.2,1785,18.7
17,296.1,2296,19.3
18,320.8,3044,18.8
19,332.5,3491,19.4
20,346.8,4104,19.9
21,354.1,4440,19.6
22,371.5,5295,19.6
23,378.5,5641,19.8
24,387.8,6065,19.9
25,395.9,6394,19.6
26,402.9,6653,19.7
27,413.4,7003,21.1
28,423.8,7317,20.1
29,436.6,7675,20.1
30,449.4,8022,19.9
31,456.5,8218,18.6
32,463.5,8414,18.5
33,470.6,8616,19.7
34,481.2,8925,19.7
35,488.2,9133,19.4
36,495.3,9346,19.3
37,502.4,9561,19.4
38,509.4,9773,19.5
39,520,10095,19.4
40,532.9,10484,19.1
41,541.2,10731,19.4
42,547.1,10904,19.2
43,557.8,11216,19.9
44,572.3,11636,18.6
45,574.7,11705,18.7
46,579.5,11840,18.6
47,586.7,12038,18.8
48,594,12229,19.1
49,610.8,12616,19.8
50,618.1,12760,20.1
51,625.3,12889,20
52,641,13125,18.4
53,670.5,13434,18.4
54,675.9,13475,17.9
55,697.6,13618,17.1
56,719.3,13765,16.9
57,733.7,13890,17.7
58,757.6,14186,17.4
59,779.7,14558,16.6
60,806.4,15100,17
61,822.7,15468,17.8
62,839,15852,16.8
63,852.8,16181,17.4
64,879.8,16807,16.1
65,904.5,17403,16.4
66,919.1,17795,15.3
67,939.3,18434,15.5
68,948.3,18771,14
69,964.8,19502,15.2
70,984.6,20592,15
71,994.5,21224,14.3
72,1004.4,21914,16.1
73,1011,22407,13.7
74,1020.9,23194,12.4
75,1030.8,24038,12.7
76,1047.3,25574,17.2
77,1060.2,26871,14.2
78,1069.9,27885,12.8
79,1082.8,29263,13.7
80,1095.7,30648,14.8
81,1118.3,33009,13.8
82,1177,38061,16.5
83,1190.8,39004,12.4
84,1221.8,40822,16.6
85,1249.4,42118,14.5
86,1256.8,42419,16.8
87,1288.9,43547,16.3
88,1318.5,44409,16.1
89,1348.1,45203,17
90,1361.3,45554,16.4
91,1392.1,46374,16.8
92,1421.7,47163,15.5
93,1443,47730,15.2
