,Depth,Age,Temperature
1,1,1518,21.9
2,3,2448,22.2
3,5,3369,22.2
4,7,4283,21.8
5,9,5240,20.5
6,11,6269,21.4
7,13,7441,20.9
8,15,8160,20.7
9,17,8901,19.3
10,19,9764,19.3
11,21,10630,19.5
12,23,11426,19.1
13,25,12506,18.6
14,27,13490,19.2
15,29,14538,20.5
16,31,15715,18.8
17,33,16832,18.5
18,35,17751,17.7
19,37,18702,18.4
20,39,19595,18
21,41,20549,18.6
22,43,21534,18.4
23,45,22241,18.5
24,47,22951,16.5
25,49,24346,18.6
26,51,26389,19.2
27,53,28422,19.6
28,55,29266,19.4
29,57,30025,19.4
30,59,30823,19.1
31,61,31715,19.6
32,63,32552,18.7
33,65,33321,19.3
34,67,34184,19.6
35,69,34963,19.6
36,71,35816,19.3
37,73,36677,19.5
38,75,37259,19.2
39,77,37935,19
40,79,38547,18.5
41,81,39014,18.2
42,83,39454,18.6
43,85,39975,18.8
44,87,40479,18.5
45,89,40948,18.7
46,91,41452,19.2
47,93,41944,19.1
48,95,42446,18.3
49,97,42982,19.1
50,99,43421,18.9
51,101,43819,19.1
52,103,44257,19.1
53,105,44674,19.3
54,107,45054,19.2
55,109,45462,19.9
56,111,45909,19.8
57,113,46318,19.5
58,115,46774,19.7
59,117,47221,19.8
60,119,47653,19.9
61,121,48114,19.5
62,123,48539,19.4
63,125,48989,19.2
64,127,49449,19.1
65,129,49866,19.7
66,131,50348,19.9
67,133,50815,19.7
68,135,51395,20
69,137,51962,20.3
70,139,52505,20.2
71,141,53042,19.3
72,143,53574,19.6
73,145,54228,20.7
74,147,54868,20.1
75,149,55517,19.7
76,151,56217,19.5
77,153,56902,20.1
78,155,57527,19.1
79,157,58147,17.9
80,159,58752,19.1
81,161,59327,19.7
82,163,59853,19.4
83,165,60396,17.8
84,167,60918,19.9
85,169,61474,19
86,171,62051,19.3
87,173,62574,19.2
88,175,63129,18.8
89,177,63697,19.6
90,179,64252,19.5
91,181,64830,19.5
92,183,65374,18.5
93,185,65906,18.7
94,187,66430,18
95,189,67007,18.1
96,191,67580,18.3
97,193,68139,18
98,195,68833,18.1
99,197,69568,18.9
100,199,70238,19.2
101,201,70882,20
102,203,71521,19.4
103,205,72234,19.7
104,207,72934,19.8
105,209,73575,20.2
106,211,74259,19.6
107,213,74936,19.9
108,215,75603,19.3
109,217,76269,20.1
110,219,76936,19.1
111,221,77603,20
112,223,78269,19.7
