,Depth,Age,Temperature
1,7,185,17.9
2,9,238,17.9
3,11,290,17.9
4,13,343,18.1
5,15,396,18
6,17,449,17.8
7,19,501,18
8,21,554,18.1
9,23,607,17.9
10,25,660,18.1
11,27,713,18.2
12,29,765,17.8
13,31,818,17.7
14,33,871,17.7
15,35,924,18.2
16,37,977,18
17,39,1029,17.7
18,41,1082,17.6
19,43,1135,18.1
20,45,1188,18.1
21,47,1240,18.1
22,49,1293,17.9
23,51,1346,18.1
24,53,1399,18.3
25,55,1458,18.3
26,57,1525,18.3
27,61,1657,18.1
28,63,1723,18.3
29,65,1790,18.2
30,67,1880,18.3
31,69,1969,18.5
32,71,2059,18.6
33,75,2239,18
34,77,2329,18.1
35,79,2419,18.4
36,81,2509,18.1
37,83,2598,18.1
38,85,2688,17.9
39,87,2778,18.5
40,89,2868,18.6
41,91,2958,18.6
42,93,3048,18.4
43,95,3138,18.7
44,97,3227,18.7
45,99,3317,18.5
46,101,3407,18.3
47,103,3494,18.7
48,105,3576,18.6
49,107,3655,18.6
50,109,3734,18.5
51,111,3814,18.4
52,113,3893,18.6
53,115,3972,18.5
54,117,4051,18.4
55,119,4130,18.5
56,121,4209,18.8
57,123,4288,18.7
58,125,4367,18.5
59,127,4447,18.7
60,129,4526,18.6
61,131,4605,18.8
62,133,4684,18.6
63,135,4763,18.8
64,137,4842,18.7
65,139,4921,18.6
66,141,5001,18.6
67,143,5080,18.6
68,145,5159,18.7
69,147,5238,18.2
70,149,5317,18.5
71,151,5396,18.3
72,153,5475,18.5
73,155,5555,18.6
74,157,5634,18.6
75,159,5713,18.7
76,161,5792,18.4
77,163,5871,18.9
78,165,5950,19
79,167,6029,19.2
80,169,6108,19.1
81,171,6188,18.9
82,173,6267,19
83,175,6346,19.1
84,177,6425,18.8
85,179,6504,19.2
86,181,6583,19.1
87,183,6662,19.1
88,185,6742,18.9
89,187,6821,19.1
90,189,6900,19.3
91,191,6979,18.6
92,193,7058,18.9
93,195,7137,19.2
94,197,7216,18.7
95,199,7295,18.9
96,201,7375,19
97,203,7454,18.3
98,205,7533,18.4
99,207,7612,18.1
100,209,7691,18.5
101,211,7770,18.8
102,213,7845,18.8
103,217,7969,18.7
104,219,8022,19.1
105,221,8075,19.1
106,223,8128,19.3
107,225,8181,19
108,227,8234,19.3
109,229,8287,19.4
110,231,8341,18.9
111,233,8394,18.8
112,235,8447,19.4
113,237,8500,19
114,239,8553,19.5
115,241,8606,19.1
116,243,8659,19
117,245,8713,18.9
118,247,8766,19.2
119,251,8872,19.2
120,253,8925,19.5
121,255,8978,19.7
122,257,9031,19.8
123,259,9084,19.5
124,261,9138,19.3
125,263,9191,19.5
126,265,9244,19.9
127,267,9297,19.9
128,269,9350,19.6
129,271,9403,19.4
130,273,9456,19.4
131,275,9509,19
132,277,9563,19.2
133,279,9616,19.3
134,281,9668,19.4
135,283,9720,19.5
136,285,9772,19.3
137,287,9823,18.9
138,289,9873,19.3
139,291,9923,19.5
140,293,9973,19.2
141,295,10024,19.2
142,297,10074,19.3
143,299,10124,19.2
144,301,10174,19.2
145,305,10275,18.8
146,307,10325,18.7
147,309,10375,18.4
148,311,10426,18.1
149,313,10476,18.4
150,315,10526,18.2
151,317,10576,18.4
152,319,10627,18.1
153,321,10677,18.3
154,323,10727,18.4
155,325,10777,18.4
156,327,10828,18
157,329,10878,17.7
158,331,10928,17.6
159,333,10978,17.7
160,335,11029,17.8
161,337,11079,17.8
162,339,11129,17.7
163,341,11179,17.4
164,343,11230,17.1
165,345,11280,17.1
166,347,11330,16.7
167,349,11381,16.5
168,351,11431,16.1
169,353,11476,15.6
170,355,11521,15.7
171,357,11567,14.8
172,359,11612,14.7
173,361,11657,14.7
174,363,11703,13.7
175,365,11748,13.5
176,367,11781,13.5
177,369,11814,12.8
178,371,11847,13
179,373,11880,13.2
180,375,11913,13
181,377,11946,12.3
182,381,12011,12.4
183,383,12044,12.3
184,387,12110,12.2
185,389,12143,12.4
186,391,12176,12.2
187,393,12209,12.3
188,395,12242,12.2
189,397,12275,12.1
190,399,12308,12.9
191,401,12341,12.1
192,403,12374,12.3
193,405,12407,12.3
194,407,12440,12.3
195,409,12473,12.6
196,411,12506,13.5
197,413,12539,13.2
198,415,12572,14.4
199,417,12604,14.4
200,419,12637,14.6
201,423,12703,15.4
202,425,12736,15.6
203,427,12769,15.7
204,429,12802,15.8
205,433,12868,15.5
206,435,12901,15.1
207,437,12934,15.6
208,439,12967,15.7
209,443,13033,15.6
210,445,13066,15.2
211,447,13099,15.5
212,449,13132,15.2
213,453,13197,14.8
214,455,13230,15.7
215,457,13263,15.8
216,459,13296,15.8
217,461,13329,15.7
218,463,13362,15.8
219,465,13395,15.6
220,467,13428,15.6
221,469,13461,15.6
222,475,13560,15.5
223,477,13593,15.4
224,479,13626,15.6
225,483,13692,15.7
226,485,13725,15.2
227,487,13757,15.4
228,489,13790,15.5
229,491,13823,15.4
230,493,13856,15.3
231,495,13889,15.1
232,497,13922,14.8
233,499,13955,14.9
234,501,13988,14.8
235,503,14025,14.8
236,505,14062,14.8
237,507,14099,14.6
238,509,14136,14.6
239,511,14173,14.7
240,513,14210,14.7
241,515,14246,15.2
242,517,14283,15
243,519,14320,15
244,521,14357,15.3
245,523,14394,15.3
246,525,14431,15.1
247,527,14468,15.4
248,529,14505,15.1
249,531,14542,15.1
250,533,14579,14.7
251,535,14616,14.5
252,537,14653,13.5
253,539,14690,13.3
254,541,14726,13.1
255,543,14763,12.7
256,545,14800,12.1
257,547,14840,11.9
258,549,14879,12.4
259,551,14919,11.8
260,553,14958,12.3
261,555,15000,12.6
262,557,15045,13.3
263,559,15090,12.8
264,561,15135,11.8
265,563,15179,12.9
266,565,15224,12.4
267,567,15269,11.4
268,569,15313,12.4
269,572,15381,12.1
270,574,15425,12.3
271,576,15470,11.5
272,578,15515,12.7
273,580,15559,11.9
274,582,15604,12.7
275,584,15649,12.7
276,586,15694,13.4
277,588,15738,13.5
278,590,15783,13.6
279,592,15828,13.5
280,594,15872,13.6
281,596,15917,14.3
282,598,15962,13.9
283,601,16029,13.5
284,603,16074,13.5
285,605,16118,12.5
286,607,16163,12.3
287,609,16208,12.4
288,611,16252,12.2
289,613,16297,12.1
290,615,16342,11.8
291,617,16387,11.8
292,619,16431,12.2
293,621,16476,12.2
294,623,16521,12
295,625,16565,11.7
296,627,16610,11.2
297,629,16655,11.1
298,631,16700,10.8
299,633,16744,11.2
300,635,16789,10.8
301,637,16834,11.2
302,639,16886,11.2
303,641,16946,11.3
304,643,17006,11.5
305,645,17066,11.8
306,647,17126,11.4
307,649,17186,13.1
308,651,17246,13.3
309,653,17306,13.7
310,655,17366,13.3
311,657,17427,13.3
312,659,17487,13
313,661,17547,13.1
314,663,17607,13.3
315,665,17667,13.2
316,667,17727,13.2
317,669,17787,13.4
318,671,17847,13.6
319,673,17907,13.5
320,675,17967,13.5
321,677,18027,13.6
322,679,18087,13.8
323,681,18147,13.7
324,683,18207,13.6
325,685,18267,13.3
326,687,18327,13.3
327,689,18387,13.1
328,691,18447,13.3
329,693,18507,13.4
330,695,18568,13.3
331,697,18628,13.3
332,699,18688,13.4
333,701,18748,13.5
334,703,18808,13.2
335,705,18868,13.4
336,707,18928,13.3
337,709,18988,13.2
338,711,19048,13
339,713,19108,13.2
340,715,19168,12.7
341,717,19228,13.2
342,719,19288,13.4
343,721,19348,13
344,723,19408,12.5
345,725,19468,13.3
346,727,19528,12.5
347,729,19588,12.9
348,731,19648,13.2
349,733,19709,13.3
350,735,19769,13.4
351,737,19829,13.4
352,739,19889,13.4
353,752,20279,13.3
354,754,20336,13.3
355,756,20390,13.1
356,758,20444,13.1
357,762,20552,13.2
358,764,20607,13.3
359,766,20661,13.5
360,772,20823,12.8
361,774,20877,12.7
362,776,20931,12.7
363,780,21039,13
364,782,21093,12.6
365,784,21147,12.6
366,786,21202,12.5
367,788,21256,12.6
368,790,21310,12.6
369,792,21364,12.5
370,794,21418,12.5
371,796,21472,12.5
372,798,21526,12.4
373,800,21580,12.4
374,802,21634,12.2
375,804,21688,12.2
376,806,21742,12.5
377,808,21796,12.2
378,810,21851,11.8
379,812,21905,12.1
380,814,21959,12
381,816,22013,12.1
382,818,22067,12
383,820,22121,11.7
384,822,22175,12
385,824,22229,12.2
386,826,22283,12.1
387,828,22337,12
388,830,22391,11.9
389,832,22446,12
390,834,22500,11.9
391,836,22554,11.8
392,838,22608,11.7
393,842,22716,11.6
394,844,22770,12
395,846,22824,11.8
396,848,22878,11.8
397,850,22932,11.8
398,852,22986,11.6
399,854,23041,11.7
400,856,23095,12.5
401,858,23149,12.2
402,860,23203,12
403,862,23257,12.1
404,864,23311,11.8
405,866,23365,11.6
406,868,23419,11.9
407,871,23487,11.8
408,872,23527,11.9
409,874,23581,12
410,876,23636,12
411,878,23690,11.9
412,880,23744,11.8
413,882,23798,11.8
414,884,23852,12.2
415,886,23906,11.2
416,888,23960,11.5
417,891,24041,10.7
418,893,24095,11
419,895,24149,11.2
420,898,24230,10.5
421,901,24312,10.4
422,903,24366,10.5
423,905,24420,11.3
424,907,24474,11.2
425,909,24528,11.4
426,911,24582,12.2
427,913,24636,12.6
428,915,24690,12.8
429,917,24744,12.6
430,919,24798,12.2
431,3592,109518,17.8
432,3594,109616,18
433,3596,109714,18.4
434,3598,109812,18
435,3600,109910,15.1
436,3602,110007,13.6
437,3604,110105,14.9
438,3606,110203,16.7
439,3608,110301,16.3
440,3610,110399,14
441,3612,110497,13.2
442,3614,110595,12.6
443,3616,110693,14.3
444,3618,110791,12.8
445,3620,110889,13.4
446,3622,110986,13.1
447,3624,111084,12.6
448,3626,111182,14.1
449,3628,111280,13.6
450,3630,111378,13.9
451,3632,111476,14.7
452,3634,111574,15.5
453,3636,111672,15.8
454,3638,111770,16
455,3640,111868,15.5
456,3642,111965,16.2
457,3644,112063,16.9
458,3646,112161,17.2
459,3648,112259,17.1
460,3650,112357,17.1
461,3652,112455,17.2
462,3654,112553,17.3
463,3656,112651,17.8
464,3658,112749,17.8
465,3660,112847,17.9
466,3662,112944,18
467,3664,113042,18.1
468,3666,113140,17.9
469,3668,113238,18.1
470,3670,113336,17.9
471,3672,113434,18.3
472,3674,113532,18.1
473,3676,113630,17.9
474,3678,113728,18.4
475,3680,113825,18.4
476,3682,113923,18.3
477,3684,114021,18.6
478,3686,114119,18.5
479,3688,114217,18.4
480,3692,114413,18.5
481,3694,114511,18.3
482,3696,114609,18.5
483,3698,114707,18.5
484,3700,114804,18.6
485,3702,114902,18.7
486,3704,115000,18.7
487,3706,115098,18.6
488,3708,115196,18.7
489,3710,115294,18.6
490,3712,115392,18.8
491,3714,115490,18.7
492,3716,115588,18.6
493,3718,115686,18.6
494,3720,115783,18.9
495,3722,115881,18.6
496,3724,115979,18.6
497,3726,116077,18.8
498,3728,116175,18.8
499,3730,116273,18.5
500,3732,116371,18.6
501,3734,116469,18.8
502,3736,116567,18.9
503,3738,116664,18.9
504,3740,116762,18.9
505,3742,116860,18.8
506,3744,116958,18.8
507,3746,117056,18.8
508,3748,117154,18.9
509,3750,117252,19
510,3752,117350,18.9
511,3754,117448,19
512,3756,117546,19.1
513,3758,117643,19.1
514,3760,117741,18.9
515,3762,117839,19
516,3764,117937,19.4
517,3766,118035,19.3
518,3768,118133,19.5
519,3770,118231,19.7
520,3772,118329,19.7
521,3774,118427,19.7
522,3776,118525,19.9
523,3778,118622,19.9
524,3780,118720,20
525,3782,118818,20
526,3784,118916,20
527,3786,119014,20.1
528,3788,119112,20
529,3792,119308,20.3
530,3794,119406,20.2
531,3796,119504,20.3
532,3798,119601,20.3
533,3800,119699,20.5
534,3802,119797,20.3
535,3804,119895,20.5
536,3806,119993,20.3
537,3808,120091,20.4
538,3810,120189,20.6
539,3812,120287,20.4
540,3814,120385,20.6
541,3816,120482,20.4
542,3818,120580,20.4
543,3820,120678,20.4
544,3822,120776,20.7
545,3824,120874,20.6
546,3826,120972,20.6
547,3828,121070,20.6
548,3830,121168,20.6
549,3832,121266,20.6
550,3834,121364,20.8
551,3836,121461,21
552,3838,121559,20.9
553,3840,121657,21.2
554,3842,121755,21.2
555,3844,121853,21.3
556,3846,121951,21
557,3848,122049,21.1
558,3850,122147,21
559,3852,122245,21.2
560,3854,122343,21
561,3856,122440,21.5
562,3858,122538,21.8
563,3860,122636,21.8
564,3862,122734,21.7
565,3864,122832,22
566,3866,122930,22.1
567,3868,123028,22
