,Depth,Age,Temperature
1,3,2448,25.5
2,5,3369,25.3
3,7,4283,25.5
4,9,5240,25.4
5,11,6269,25.3
6,13,7441,25.3
7,17,8901,25.4
8,21,10630,24.7
9,23,11426,24.2
10,25,12506,23.6
11,29,14538,24.3
12,31,15715,23.6
13,33,16832,23.5
14,35,17751,23.2
15,37,18702,23.5
16,41,20549,23.7
17,43,21534,23.9
18,45,22241,23.2
19,49,24346,22.7
20,51,26389,23.2
21,53,28422,21.9
22,55,29266,22.8
23,57,30025,22.2
24,59,30823,22.1
25,61,31715,21.3
26,63,32552,21.8
27,65,33321,21.7
28,67,34184,22.2
29,69,34963,22
30,73,36677,22.8
31,75,37259,22.5
32,77,37935,22.2
33,79,38547,22.3
34,81,39014,21.5
35,83,39454,22.1
36,85,39975,21.8
37,87,40479,22.8
38,91,41452,22.8
39,93,41944,23.1
40,95,42446,22.3
41,97,42982,22.4
42,99,43421,21.8
43,101,43819,21
44,105,44674,21.9
45,107,45054,22.2
46,109,45462,22.8
47,111,45909,22.2
48,115,46774,22.4
49,117,47221,22.5
50,119,47653,22.2
51,121,48114,22.1
52,123,48539,21.1
53,125,48989,21.9
54,129,49866,22.4
55,131,50348,22.7
56,133,50815,23.1
57,135,51395,23.6
58,137,51962,24.1
59,139,52505,23.9
60,143,53574,24.1
61,145,54228,24.7
62,147,54868,23.7
63,149,55517,23.8
64,151,56217,24.4
65,153,56902,24
66,157,58147,23.5
67,159,58752,23.8
68,161,59327,24
69,163,59853,23.9
70,165,60396,23.8
71,167,60918,24
72,169,61474,23.7
73,171,62051,23
74,175,63129,23.5
75,177,63697,23.3
76,179,64252,23.8
77,181,64830,23.5
78,183,65374,23.1
79,185,65906,23.2
80,187,66430,22.7
81,191,67580,23.2
82,193,68139,23.4
83,195,68833,23.2
84,197,69568,23.4
85,199,70238,22.9
86,201,70882,23.5
87,203,71521,23
88,207,72934,22.9
89,209,73575,23.6
90,211,74259,22.8
91,213,74936,23.3
92,215,75603,22.8
93,217,76269,23.5
94,219,76936,23
95,223,78269,23.1
