,Depth,Age,Temperature
1,0.5,8000,11.6
2,2.5,8340,11.16
3,4.5,8680,11.36
4,6.5,9020,11.74
5,8.5,9370,13.38
6,10.5,9710,10.59
7,12.5,10050,8.54
8,14.5,10390,10.96
9,16.5,10730,10.52
10,18.5,11070,12.3
11,22.5,11760,10.92
12,24.5,12100,11.31
13,26.5,12440,11.4
14,28.5,12780,10.69
15,30.5,13040,10.62
16,32.5,13460,11.03
17,34.5,13800,12.07
18,36.5,14140,11.37
19,38.5,14490,11.35
20,40.5,14830,10.74
21,42.5,15170,9.67
22,44.5,15510,10.31
23,46.5,15850,11.08
24,48.5,16190,9.09
25,50.5,16530,8.51
26,52.5,16880,9.07
27,54.5,17220,9.5
28,56.5,17560,9.91
29,58.5,17900,9.38
30,60.5,18370,5.39
31,62.5,18850,8.56
32,64.5,19320,9.8
33,66.5,19790,9.6
34,68.5,20270,10.33
35,70.5,20740,10.68
36,72.5,21210,10.66
37,74.5,21690,10.27
38,76.5,22160,11.92
39,78.5,22630,10.38
40,80.5,23100,10.12
41,82.5,23580,10.77
42,84.5,24050,10.63
43,86.5,24520,10.43
44,88.5,25000,10.8
45,90.5,25470,11.32
46,92.5,25940,11.31
47,94.5,26420,11.26
48,96.5,26890,11.11
49,98.5,27360,11.92
50,100.5,27920,11.89
51,102.5,28560,11.18
52,104.5,29200,9.42
53,106.5,29840,10.32
54,108.5,30480,9.97
55,110.5,31120,9.8
56,112.5,31760,9.38
57,114.5,32400,10.8
58,116.5,33040,9.81
59,118.5,33680,9.39
60,120.5,34320,9.15
61,122.5,34960,9.04
62,124.5,35600,7.11
63,126.5,36240,7.78
64,128.5,36880,8.53
65,130.5,37190,8.1
66,132.5,37490,7.47
67,134.5,37800,7.8
68,136.5,38290,7.85
69,138.5,38780,6.61
70,140.5,39270,7.5
71,142.5,39760,7.12
72,144.5,40250,7.04
73,146.5,40740,7.24
74,148.5,41230,7.01
75,150.5,41720,6.59
76,154.5,42700,6.81
77,156.5,43190,6.56
78,158.5,43680,5.87
79,160.5,44170,5.95
80,162.5,44660,6.98
81,164.5,45150,7.04
82,166.5,45650,6.8
83,168.5,46140,6.85
84,170.5,46630,7.6
85,172.5,47120,7.89
86,174.5,47610,7.51
87,176.5,48100,6.6
88,178.5,48590,5.83
89,180.5,49080,5.87
90,182.5,49570,6.63
91,184.5,50060,6.57
92,186.5,50550,6.62
93,188.5,51040,6.38
94,190.5,51530,8.27
95,192.5,52020,8.91
96,194.5,52510,9.08
97,196.5,53000,9.49
98,198.5,53670,9.06
99,200.5,54340,9.75
100,202.5,55020,9.86
101,204.5,55690,9.65
102,206.5,56360,9.18
103,208.5,57030,9.3
104,210.5,57710,9.39
105,212.5,58380,9.4
106,214.5,59050,9.34
107,216.5,59570,9.71
108,218.5,60090,10.39
109,220.5,60610,10.54
110,222.5,61130,11.24
111,224.5,61640,11.68
112,226.5,62160,11.96
113,228.5,62680,11.81
114,230.5,63200,11.75
115,232.5,63700,11.55
116,234.5,64190,11.41
117,236.5,64690,11.17
118,238.5,65180,11.24
119,240.5,65680,10.71
120,242.5,66170,11.01
121,244.5,66670,10.66
122,246.5,67160,9.78
123,248.5,67660,9.93
124,250.5,68150,10.31
125,252.5,68650,10.01
126,254.5,69140,9.6
127,256.5,69640,9.67
128,258.5,70130,9.54
129,260.5,70630,9.8
130,262.5,71120,9.8
131,264.5,71620,10.13
132,266.5,72110,10.23
133,268.5,72610,10.08
134,270.5,73100,10.28
135,272.5,73600,10.23
136,274.5,74190,10.18
137,276.5,74780,10.97
138,278.5,75380,11.04
139,280.5,75970,11.02
140,282.5,76560,11.27
141,284.5,77150,10.79
142,286.5,77750,10.83
143,288.5,78340,11.07
144,290.5,78930,10.93
145,292.5,79520,11.17
146,294.5,80120,10.44
147,296.5,80710,11.03
148,298.5,81300,11.22
149,300.5,81890,10.89
150,302.5,82480,10.35
151,304.5,83080,11.48
152,306.5,83670,10.12
153,308.5,84260,10.7
154,310.5,84850,9.85
155,312.5,85450,10.46
156,314.5,86040,12.62
157,316.5,86630,10.8
158,318.5,87220,11.17
159,320.5,87820,11.45
160,322.5,88410,11.38
161,324.5,89000,11.63
162,326.5,89390,12.08
163,328.5,89790,11.45
164,330.5,90180,11.91
165,332.5,90570,11.04
166,334.5,90960,10.56
167,336.5,91360,9.86
168,338.5,91750,10.31
169,340.5,92140,9.8
170,342.5,92540,9.88
171,346.5,93320,10.34
172,348.5,93710,10.34
