,Depth,Age,Temperature
1,0,960,6.5
2,1,1000,6.5
3,5,1160,6
4,10,1370,6.4
5,15,1570,6.2
6,20,1770,6.6
7,26,2020,6.6
8,30,2180,7
9,35,2380,7.2
10,40,2580,6.9
11,50,2990,8.2
12,55,3190,7.1
13,60,3400,7.1
14,65,3600,7.1
15,70,3800,7.1
16,75,4010,7
17,80,4210,6.5
18,101,5060,7.1
19,105,5220,5.9
20,120,5830,7.2
21,140,6650,7.7
22,145,6850,7
23,150,7050,7.7
24,155,7250,8.2
25,160,7460,7.8
26,165,7660,8.2
27,170,7860,8
28,175,8070,7.6
29,180,8270,7.8
30,185,8470,9.7
31,190,8680,8
32,195,8880,8
33,200,9080,7.7
34,205,9290,8
35,215,9590,9
36,220,9680,7
37,225,9770,8.4
38,230,9870,8.1
39,235,9960,8
40,240,10050,8.3
41,245,10150,8
42,250,10240,8.7
43,255,10330,7.7
44,260,10420,8
45,265,10520,8
46,270,10610,8.4
47,275,10700,8.3
48,280,10800,9.6
49,285,10890,7.1
50,290,10980,6.3
51,295,11070,8.5
52,300,11100,7.8
53,305,11130,6
54,310,11150,7.3
55,315,11180,7.3
56,320,11200,7
57,325,11230,7.4
58,330,11250,8
59,345,11350,6.8
60,350,11410,6.5
61,355,11470,5.5
62,360,11530,6.7
63,365,11590,4
64,370,11650,5.2
65,375,11710,5
66,380,11770,4.2
67,385,11830,3.7
68,390,11890,4.4
69,395,11950,2.7
70,400,12010,3
71,405,12070,3.3
72,415,12190,3.3
73,420,12250,5.4
74,435,12430,3.4
75,440,12490,3.1
76,450,12610,2.3
77,455,12670,3.4
78,460,12730,4.3
79,465,12790,4.1
80,475,12910,5
81,480,12980,4.7
82,485,13050,3
83,490,13110,5.5
84,495,13180,4.8
85,500,13250,3.7
86,505,13320,8.3
87,510,13390,4.4
88,515,13460,5
89,520,13510,3.6
90,525,13560,3.8
91,530,13600,4
92,535,13650,3
93,540,13690,6
94,545,13740,2.9
95,550,13790,4.6
96,555,13830,6.3
97,560,13870,3
98,565,13910,4.5
99,570,13950,4.9
100,575,13980,3.6
101,580,14020,4.6
102,585,14080,3.5
103,590,14150,4.5
104,595,14220,4.4
105,600,14280,7.8
106,605,14350,2.4
107,610,14420,2.9
108,615,14490,3.6
109,620,14550,2.1
110,625,14620,3.9
111,630,14690,5
112,635,14760,2.7
113,640,14860,1.3
114,645,14960,3.2
