,Depth,Age,Temperature
1,9,7270,20.3
2,19.5,8750,20.7
3,22,9110,20.7
4,29.5,10160,20.4
5,32,10520,20.2
6,39.5,11580,20.1
7,42,11930,19.6
8,46,12490,19.4
9,49.5,12990,19.1
10,52,13340,18.9
11,56,13910,18.8
12,59.5,14400,18.8
13,62,14750,18.8
14,66,15320,19.3
15,68.5,15670,18.8
16,69.5,15810,18.8
17,71.5,16090,18.9
18,73.5,16380,18.7
19,76,16730,18.8
20,78.5,17080,18.7
21,79.5,17220,18.6
22,81.5,17500,18.4
23,82,17580,18.3
24,82.5,17650,18.2
25,83.5,17790,18.3
26,85.5,18070,18.4
27,88.5,18430,18.2
28,89.5,18540,18
29,90.5,18660,17.8
30,92,18820,17.7
31,92.5,18880,17.4
32,93.5,18990,17.5
33,95.5,19210,17.5
34,96.5,19320,17.5
35,98.5,19550,17.5
36,99.5,19660,17.5
37,100.5,19770,17.4
38,102,19940,17.2
39,102.5,19990,17.2
40,103.5,20110,17.2
41,105.5,20330,17.2
42,106.5,20440,17.5
43,107.5,20550,17.5
44,109.5,20770,17.4
45,110.5,20890,17.4
46,111.5,21000,17.4
47,112,21050,17.4
48,112.5,21110,17.1
49,113.5,21220,16.9
50,114.5,21330,16.8
51,115.5,21440,17
52,116.5,21550,17
53,117.5,21670,16.9
54,122.5,22220,17
55,123.5,22330,17.1
56,124.5,22450,17.1
57,126.5,22670,17
58,127.5,22780,17.1
59,129,22950,17.2
60,129.5,23000,17.2
61,131.5,23200,17.2
62,132.5,23290,17.2
63,134.5,23480,17.4
64,135.5,23580,17.3
65,136.5,23680,17.3
66,137.5,23770,17.2
67,138.5,23870,17.3
68,139.5,23970,17.3
69,142,24210,17.2
70,142.5,24250,17.2
71,143.5,24350,17
72,144.5,24450,17.3
73,146,24590,17.2
74,146.5,24640,17.1
75,147.5,24740,17.3
76,148.5,24830,17.1
77,149.5,24930,17
78,150.5,25020,17.3
79,151,25070,17.2
80,152,25170,17.3
81,153.5,25310,17.4
82,154.5,25410,17.3
83,156,25550,18.2
84,156.5,25600,17.4
85,157.5,25650,17.8
86,158.5,25760,17.8
87,159.5,25860,17.8
88,160.5,25970,18
89,162.5,26180,18
90,163.5,26280,18
91,165.5,26490,18.6
92,166.5,26600,19.4
,,,
,,,
,,,
,,,
