,Depth,Age,Temperature
1,8.5,4380,10.4
2,15.5,5010,9.9
3,20.5,5460,10
4,25.5,5900,10.1
5,30.5,6350,9.8
6,35.5,6800,10.3
7,41,7290,9.6
8,45.5,7700,9.9
9,52.5,8370,9.3
10,59.5,8780,9.3
11,65.5,9190,9.1
12,66.5,9320,9.2
13,67.5,9440,9.4
14,68.5,9560,9.4
15,69.5,9690,10.5
16,71.5,9940,9.1
17,72.5,10060,8.7
18,75.5,10430,8.4
19,78.5,10800,8.4
20,80.5,11050,8.1
21,81.5,11180,8.5
22,82.5,11300,8.2
23,83.5,11420,7.7
24,85,11610,8
25,86.5,11620,7.8
26,87.5,11620,7.9
27,88.5,11620,7.4
28,90.5,11630,7.3
29,93,11640,7.2
30,97,11660,7
31,101.5,11680,6.7
32,110,11710,6.6
33,115.5,11720,7
34,121,11730,7.1
35,131,11750,6.7
36,140.5,11770,7.4
37,151,11790,6.4
38,161,11810,6.4
39,171,11830,6.8
40,181,11850,6.2
41,195.5,11880,6.3
42,225.5,11940,6.4
43,270.5,12030,6.5
44,290.5,12070,6.4
45,330.5,12150,6.5
46,360.5,12210,6
47,375.5,12220,6.4
48,395.5,12240,6
49,415.5,12260,6.3
50,456.5,12310,5.7
51,500.5,12350,5.9
52,575.5,12430,5.4
53,625.5,12490,5.6
54,685.5,12550,5.8
55,691,12560,6.8
56,701,12570,6.1
57,710.5,12580,5.4
58,721,12610,5
59,731,12630,5.4
60,741,12660,4.7
61,750.5,12680,5.6
62,759,12700,5.7
63,765.5,12720,5.9
64,775,12750,5.6
65,785.5,12770,5.6
66,795,12800,5.7
67,800.5,12820,5.5
68,805,12830,5.9
69,810.5,12860,6.3
70,821,12920,7.1
71,831,12970,6.2
72,841,13030,6.4
73,851.5,13080,6.2
74,858.5,13120,6.3
75,860.5,13130,6.8
76,865.5,13140,6.3
77,870.5,13150,9
78,870.5,13150,8.9
79,873.5,13160,6.8
80,875.5,13160,7
81,879.5,13170,6.5
82,896.5,13210,6.3
83,930.5,13240,6.8
84,980.5,13270,7.3
85,1025.5,13290,7.4
86,1130.5,13340,6.9
87,1245.5,13400,6.6
88,1305.5,13460,6.5
89,1360.5,13540,6.3
90,1375.5,13570,6.3
91,1379.5,13570,6.9
