,Depth,Age,Temperature
1,0.75,89,20.4
2,3.75,268,18.1
3,6.75,447,20.2
4,9.75,627,18
5,12.75,806,19.2
6,18.75,1165,19.7
7,24.75,1527,18.8
8,30.75,1889,19.1
9,36.75,2251,19.8
10,42.75,2613,19.8
11,48.75,2975,19.1
12,54.75,3337,19.3
13,60.25,3698,19.6
14,66.25,4060,18.8
15,72.25,4422,19.2
16,78.25,4784,19.1
17,84.25,5142,18.9
18,90.25,5488,19.4
19,96.25,5833,19.6
20,102.25,6178,19.3
21,108.25,6523,20.1
22,114.25,6868,19.8
23,120.25,7214,19.7
24,126.25,7559,19.2
25,132.25,7904,19.2
26,138.25,8249,18.9
27,144.25,8594,19
28,150.25,8940,19.4
29,156.25,9285,20
30,162.25,9525,20.2
31,168.25,9731,20.1
32,174,9936,19.6
33,179.75,10141,20.1
34,185.75,10347,19.8
35,191.75,10552,19.6
36,197.75,10716,20.3
37,203.75,10839,19.6
38,209.75,10961,19.4
39,215.75,11084,18.2
40,221.75,11206,18.9
41,227.75,11329,18.4
42,232.75,11451,18.6
43,238.75,11574,17.8
44,241.75,11909,18.2
45,244.75,12074,15.3
46,247.75,12240,17.5
47,249.25,12322,14.3
48,252.25,12488,14.3
49,253.75,12570,15.7
50,255.25,12653,14.6
51,256.75,12691.6,13.2
52,259.75,12768.8,15.8
53,262.75,12846,13.1
54,265.75,12923.2,15.1
55,268.75,13000.4,12.8
56,271.75,13077.6,14.9
57,274.75,13154.8,14.7
58,277.75,13232,17.2
59,280.75,13309.2,14
60,283.75,13386.4,17.5
61,286.75,13463.6,13.8
62,289.5,13540.8,17.3
63,292.25,13618,15.6
64,295.25,13687.3,17.8
65,298.25,13749.8,15.5
66,301.25,13812.4,16.7
67,304.25,13875,15.1
68,307.25,13937.5,15.7
69,310.25,14000.1,16.3
70,313.25,14062.6,15.9
71,316.25,14125.2,17.9
72,319.25,14187.8,14.9
73,325.25,14576.6,12
74,326.75,14768.7,13.2
75,329.75,15152.9,12.4
76,331.25,15345,12.7
77,332.75,15537,12.3
78,337.25,15819.9,13.1
79,340.25,16008.5,12.2
80,343.25,16197.1,12.7
81,346.25,16385.7,13.2
82,348.75,16574.3,12.5
83,351.25,16762.9,11.8
84,354.25,16951.5,12.4
85,357.25,17140.1,14.6
86,360.25,17328.7,10.9
87,363.25,17517.3,10.2
88,366.25,17705.9,10.1
89,369.25,17894.5,11.5
90,372.25,18083.1,13.4
91,375.25,18271.7,13
92,378.25,18460.3,13.7
93,381.25,18648.9,13.6
94,384.25,18837.5,13
95,387.25,19026.1,13.4
96,390.25,19213.5,13.4
97,393.25,19402.1,13.2
