,Depth,Age,Temperature
1,208,4272,19.7
2,223,4531,19.4
3,233,4704,19.3
4,253,5051,18.8
5,283,5570,21
6,293,5743,19.3
7,378,7552,20.9
8,383,7661,19.9
9,393,7879,20.5
10,403,8098,20.2
11,413,8222,20.2
12,423,8347,20.7
13,433,8472,20.3
14,443,8596,20
15,453,8721,19.4
16,463,8846,20.8
17,483,9095,20.1
18,493,9220,19.4
19,503,9345,20.8
20,523,9594,19
21,543,9843,20.1
22,553,9968,22.9
23,563,10093,20.9
24,583,10342,21
25,603,10592,23.2
26,643,11092,20.7
27,653,11217,22.4
28,663,11342,20.8
29,673,11467,21.2
30,678,11531,21
31,693,11720,21
32,713,11974,21.4
33,723,12100,21.1
34,728,12163,21.8
35,743,12353,23.5
36,758,12543,20.4
37,763,12606,19.2
38,768,12670,22.6
39,773,12733,21.9
40,778,12796,20.1
41,783,12859,19.4
42,788,12923,24.1
43,793,12986,21
44,798,13049,18.6
45,803,13112,21.8
46,808,13172,20.9
47,813,13232,21.7
48,818,13277,21.1
49,823,13323,19.9
50,828,13368,22
51,833,13413,20.7
52,838,13459,20.4
53,843,13504,20.9
54,848,13550,20.2
55,853,13595,20.7
56,858,13640,28.3
57,863,13686,19.8
58,873,13776,22
59,878,13822,21.7
60,883,13867,19.1
61,888,13912,21.1
62,893,13958,20.4
63,898,14003,21.4
64,903,14048,19.6
65,908,14094,20.2
66,913,14139,21.5
67,918,14184,21.8
68,923,14230,21.9
69,928,14275,22.1
70,933,14320,20.8
71,943,14411,21.9
72,958,14535,20.9
73,963,14569,19.8
74,968,14602,20.7
75,973,14636,20.7
76,978,14669,20.4
77,983,14702,19.1
78,988,14736,22.1
79,993,14769,22.3
80,998,14803,20.5
81,1003,14836,19.4
82,1008,14870,21.3
83,1013,14903,20.4
84,1018,14937,20.6
85,1028,15004,20.5
86,1033,15030,20
87,1038,15057,19.4
88,1043,15080,20.6
89,1048,15104,20.6
90,1053,15127,19.8
91,1058,15151,20.8
92,1063,15174,19.3
93,1068,15198,20.3
94,1078,15245,21.6
95,1083,15268,21.7
96,1103,15362,21.7
97,1118,15432,20.3
98,1128,15479,21.4
99,1143,15549,19.8
100,1148,15573,21.3
101,1163,15643,21.8
102,1178,15735,19.4
103,1183,15780,20.5
104,1208,16008,20.8
105,1223,16146,22.2
106,1228,16192,21.4
107,1238,16284,22.3
108,1243,16330,19.7
109,1253,16422,18.1
110,1258,16468,19.3
111,1263,16513,20.4
112,1268,16559,18.5
113,1273,16605,19.7
114,1278,16651,19.7
115,1283,16697,19
116,1288,16743,21.1
117,1293,16789,20.8
118,1298,16835,20.5
119,1303,16881,20.6
120,1308,16927,21.2
121,1313,16973,21.6
122,1318,17019,21.7
123,1323,17065,20.4
124,1328,17111,19.5
125,1333,17157,21.2
126,1338,17203,22.2
127,1343,17249,0
128,1348,17295,22
