,time,NH,NM,Tropical,SM,SH,AN,AS,land,sea
48,4800,1.359788421,1.344374452,0.42761659,0.247549112,2.177264738,1.348989934,0.661059603,1.427121346,0.813859
49,4900,1.511099968,1.372901739,0.404800621,0.201027667,2.051658072,1.41428313,0.597591325,1.466626256,0.818004552
50,5000,1.394972808,1.315734105,0.382719177,0.214743879,2.23425996,1.339460948,0.647497325,1.421268271,0.792463219
51,5100,1.176180515,1.070208739,0.373027225,0.155282024,1.75285996,1.101940401,0.497620153,1.19344611,0.66354428
52,5200,1.12045961,1.055829747,0.317105431,0.118991927,1.558628072,1.075182191,0.427485387,1.133623952,0.639063123
53,5300,1.297881855,1.166783488,0.32998624,0.133433761,1.585478127,1.206038931,0.444586125,1.265319506,0.704585598
54,5400,1.194905789,1.109465366,0.322291859,0.109055749,1.635929516,1.135049222,0.436242984,1.18382209,0.674480335
55,5500,1.196955572,1.089032848,0.326583272,0.083100797,1.505528849,1.121348692,0.387906808,1.157153222,0.64306479
56,5600,1.420646978,1.258124781,0.305567891,0.099944458,1.637141794,1.30678962,0.429343887,1.336322054,0.737407868
57,5700,1.428883025,1.198834781,0.341551812,0.120573446,1.534629016,1.267719283,0.423585353,1.291488208,0.728508538
58,5800,1.329455383,1.212702174,0.309552812,0.069866179,1.48605746,1.247662175,0.373335739,1.298655593,0.699823645
59,5900,1.701795949,1.323811404,0.320568748,0.083139679,1.54476796,1.436993217,0.396345739,1.4629331,0.794941284
60,6000,1.743089732,1.285909997,0.331786891,0.112179594,1.447630405,1.422805624,0.398347625,1.441024426,0.800877403
61,6100,1.234452931,1.030799523,0.270615494,0.110883188,1.495220849,1.091780487,0.407526973,1.159339873,0.617537063
62,6200,1.104648515,0.973766811,0.228567923,0.069978076,1.434858072,1.012957378,0.362452361,1.080309402,0.555091942
63,6300,0.999008242,0.884993371,0.197216526,0.020087467,1.422140794,0.919133417,0.320527465,0.999497705,0.489144331
64,6400,1.26154577,1.08588287,0.245096288,0.042131252,1.408098238,1.138482495,0.334838463,1.193690165,0.596411269
65,6500,1.35529177,1.103921469,0.249426748,0.028255149,1.392010516,1.179190542,0.320488442,1.216563792,0.627828023
66,6600,1.409405072,1.139324302,0.246002272,0.062512388,1.457306849,1.220195945,0.361396915,1.258368112,0.661586834
67,6700,1.653777751,1.175465919,0.238908177,0.083683203,1.469854516,1.318689236,0.380719913,1.345123306,0.70309274
68,6800,1.324303695,0.881896729,0.245503621,0.141857503,1.351281405,1.014368872,0.401019768,1.110283552,0.5704244
69,6900,1.147329997,0.82185172,0.229011796,0.089092382,1.322127016,0.919311317,0.353314089,1.013611474,0.498473178
70,7000,1.079769497,0.725488792,0.192430494,0.135704097,1.393445294,0.831572845,0.405220068,0.95560907,0.469044395
71,7100,1.202436298,0.841720073,0.172908526,0.124591327,1.319756183,0.949731146,0.380698082,1.052152425,0.506118403
72,7200,1.206415846,0.856832377,0.18835559,0.167997697,1.368218794,0.961509913,0.425187932,1.059249585,0.514373589
73,7300,0.961290893,0.646850221,0.17073824,0.142185715,1.399673627,0.741004772,0.411647411,0.856544543,0.416066718
74,7400,0.838194383,0.643745505,0.124101606,0.125563091,1.324696183,0.70197031,0.382520182,0.807563683,0.394279644
75,7500,1.261742025,0.736016408,0.178774796,0.085195906,1.26600996,0.893437073,0.338227489,0.983403267,0.485825433
76,7600,1.355490157,0.833664621,0.154279415,0.059423161,1.172045405,0.989917465,0.297842213,1.053003266,0.504941427
77,7700,1.169083157,0.725467355,0.204814701,0.075295176,1.233617294,0.858301465,0.323507058,0.944478287,0.472651348
78,7800,0.895678015,0.693947722,0.16772405,0.062648912,1.05381546,0.754352838,0.275041744,0.814575534,0.42104057
79,7900,0.833924091,0.620789311,0.167705145,0.08462727,1.147328072,0.68460933,0.31234887,0.782182038,0.397283116
80,8000,0.527189129,0.443883998,0.129475002,0.121498591,1.126940738,0.468828472,0.33695048,0.583656944,0.275732749
81,8100,0.074233421,-0.021043799,0.077249748,0.134810155,0.980075405,0.007485538,0.315938423,0.159486643,0.054856174
82,8200,-0.059269636,0.017574771,0.054918383,0.111441582,0.919875516,-0.005435136,0.284677425,0.124793598,0.043497429
83,8300,0.384627195,0.110386079,0.070483177,0.120361642,0.900737627,0.192503475,0.287585068,0.31667062,0.119350735
84,8400,-0.075200362,0.06858888,0.034099399,0.11011813,0.868590794,0.025533344,0.272647987,0.159762203,0.057212069
85,8500,0.037280138,0.027176175,0.065763145,0.131258442,0.955639405,0.030201655,0.307911506,0.191030864,0.061913151
86,8600,0.06932594,0.059801826,0.037813844,0.123599891,0.862689072,0.062653679,0.281976144,0.201061518,0.054989716
87,8700,-0.036370305,0.12395118,0.060745066,0.163369558,0.945300627,0.075945311,0.330926215,0.212294858,0.090982603
88,8800,0.446375912,0.142510495,0.075465764,0.145359476,0.914844849,0.233498444,0.310249199,0.343678456,0.14746815
89,8900,0.322350081,0.159848513,0.073542352,0.144661452,0.758414294,0.208507175,0.276179918,0.313248305,0.125261589
90,9000,0.724009166,0.416555898,0.121637463,0.15114633,0.777564516,0.508618176,0.285378799,0.563541707,0.297332574
91,9100,0.442772364,0.439942049,0.078291383,0.06243367,0.68373496,0.440789544,0.195569661,0.487020828,0.23334498
92,9200,0.861827214,0.513172597,0.117813574,0.142313564,0.655988405,0.617572002,0.252386744,0.629833592,0.346157081
93,9300,0.674755421,0.439123408,0.118680129,0.099790924,0.757293516,0.509679886,0.240684337,0.525784735,0.29608133
94,9400,0.452463949,0.331911445,0.099272272,0.117848152,0.699167849,0.368009087,0.242416658,0.400453813,0.233567787
95,9500,0.721589261,0.522836315,0.121855685,0.07714353,0.631339849,0.582349909,0.195899884,0.574876469,0.300394773
96,9600,0.478587025,0.378353522,0.124514574,0.089513703,0.513935016,0.408366943,0.180461127,0.426648925,0.250863139
97,9700,0.233394298,0.312151569,0.108863844,0.042777467,0.549782349,0.288568883,0.15142137,0.316117239,0.179597549
98,9800,0.67190577,0.43417808,0.11067332,0.089966652,0.33967746,0.505362078,0.143476111,0.479549394,0.283811852
99,9900,0.369839242,0.405175195,0.121090209,0.056447982,0.380943516,0.394594373,0.125982739,0.382041018,0.236320971
100,10000,0.512194864,0.41150272,0.115150304,0.081449018,0.30511196,0.441653475,0.129376792,0.428440882,0.250155404
101,10100,0.396467336,0.315791073,0.122297002,0.105843833,0.23180796,0.339948372,0.132836146,0.341491652,0.216422773
102,10200,0.564158053,0.330760299,0.094281367,0.049493573,0.171182183,0.400647762,0.075569703,0.39739752,0.219822369
103,10300,-0.190281343,0.094694178,0.041140637,0.033615724,0.106423405,0.009362525,0.04921737,-0.012732278,0.021624295
104,10400,0.049035148,0.019712001,0.075657542,-0.001599479,0.101015294,0.028492378,0.020389401,0.022288681,0.036413261
105,10500,0.150089506,0.083236216,0.073861256,0.021490164,-0.042973151,0.103254433,0.007676596,0.073378426,0.089093103
106,10600,-0.186204475,0.077356162,0.023721907,-0.010000348,-0.161900706,-0.001563125,-0.042550425,-0.053208382,-0.001737471
107,10700,-0.277044183,-0.038484312,0.031063653,-0.029567091,-0.233780428,-0.109917493,-0.073327092,-0.13180917,-0.036367208
108,10800,-0.255969626,-0.080071937,-0.01416349,-0.05086917,-0.280167928,-0.132741867,-0.100004618,-0.181024973,-0.052365219
109,10900,0.067665581,-0.129675376,-0.022325394,-0.072076815,-0.398611706,-0.070584581,-0.142048577,-0.131820882,-0.047309387
110,11000,-0.253233871,-0.209462525,-0.05074368,-0.069430588,-0.453591706,-0.222569199,-0.151750827,-0.266634436,-0.110845898
111,11100,-0.221790711,-0.191725841,-0.065092426,-0.146909239,-0.651629706,-0.200728316,-0.255063625,-0.293100275,-0.118523154
112,11200,-0.396923437,-0.28360045,-0.102541537,-0.218084451,-0.599034484,-0.317533322,-0.299716601,-0.386265975,-0.197352508
113,11300,-0.403397937,-0.258556334,-0.137425871,-0.328728216,-0.788127817,-0.301926984,-0.427170988,-0.40572777,-0.246686498
114,11400,-0.198414211,-0.230737876,-0.135161807,-0.171001961,-1.729186706,-0.221059038,-0.504898692,-0.432426388,-0.187012865
115,11500,-0.57964173,-0.369728521,-0.189147109,-0.216338824,-1.77711704,-0.432583889,-0.550791299,-0.64220552,-0.309255896
116,11600,-0.587542579,-0.500797486,-0.197002633,-0.201780582,-1.620949595,-0.526772006,-0.505888227,-0.684002951,-0.365592882
117,11700,-1.164899871,-0.839921793,-0.261492474,-0.194009609,-1.798783484,-0.937231613,-0.537889725,-1.055001932,-0.543836347
118,11800,-1.177535051,-0.972664711,-0.364565918,-0.252102203,-1.798101817,-1.034010067,-0.583387835,-1.128054127,-0.66615115
119,11900,-1.659300532,-1.175348632,-0.396372775,-0.251055542,-1.852669484,-1.320260783,-0.59425853,-1.385306916,-0.784212589
120,12000,-1.509116154,-1.378355047,-0.443386887,-0.314199085,-1.951450817,-1.417509503,-0.665038742,-1.465226917,-0.855018532
121,12100,-1.814203975,-1.81262883,-0.583148077,-0.333230424,-1.923552817,-1.813100484,-0.674013794,-1.867620028,-1.041153329
122,12200,-2.297796268,-1.93608443,-0.565813426,-0.327497494,-1.94283104,-2.044393624,-0.673640397,-2.056310767,-1.161331977
123,12300,-2.35037122,-1.746544478,-0.533435791,-0.362232785,-2.062013373,-1.927351356,-0.726471482,-1.965087092,-1.138595253
124,12400,-2.284499749,-1.63906016,-0.548139744,-0.379071667,-2.079007817,-1.832327381,-0.743343699,-1.919701104,-1.083590087
125,12500,-1.932291626,-1.555786849,-0.509270696,-0.416776736,-2.139385928,-1.668525567,-0.785907277,-1.770649933,-0.997942814
126,12600,-1.386504598,-1.282420538,-0.475283855,-0.412730521,-1.983533817,-1.313586951,-0.749331227,-1.485281591,-0.859225301
127,12700,-1.523059475,-1.273719727,-0.449334807,-0.404249867,-2.161065706,-1.348380782,-0.780710404,-1.519701114,-0.848840423
128,12800,-1.195358003,-1.068437262,-0.390641347,-0.368360279,-2.218118706,-1.106441778,-0.764737085,-1.321165171,-0.720245142
129,12900,-1.032980362,-0.931240822,-0.39336022,-0.514487125,-2.448811373,-0.961705204,-0.928985178,-1.269258175,-0.656372177
130,13000,-1.500413975,-0.804492918,-0.389713442,-0.590582007,-3.251162595,-1.012876059,-1.160706419,-1.358690811,-0.67054485
131,13100,-1.255127645,-0.676691025,-0.396848744,-0.637268518,-3.321115151,-0.849895211,-1.212378511,-1.256494954,-0.607503406
132,13200,-1.487853777,-0.634764204,-0.400659188,-0.632489271,-3.349386817,-0.890209104,-1.214681602,-1.371001491,-0.634656552
133,13300,-1.506857966,-0.661077973,-0.406754363,-0.632838141,-3.568648373,-0.914334129,-1.261940334,-1.390110747,-0.679806603
134,13400,-1.553017739,-0.648594905,-0.367878553,-0.661557089,-3.494729373,-0.919410782,-1.268665435,-1.412040652,-0.643785737
135,13500,-1.78885039,-0.666168412,-0.404373998,-0.64756024,-3.656373151,-1.002338722,-1.292305864,-1.484752527,-0.721083974
136,13600,-1.680938381,-0.796444001,-0.426692172,-0.66366659,-3.838825706,-1.061292601,-1.344057829,-1.543588894,-0.748057336
137,13700,-1.889678022,-0.825426369,-0.41681076,-0.665188561,-3.856105095,-1.144100593,-1.348956389,-1.618948612,-0.780703741
138,13800,-2.112369079,-1.0071987,-0.495718633,-0.675323914,-4.022118262,-1.338125424,-1.392494132,-1.810071628,-0.899472781
139,13900,-2.247181966,-1.344175853,-0.609678728,-0.756096017,-4.279964595,-1.614567514,-1.511210712,-2.038639981,-1.192442945
140,14000,-1.694522286,-1.391973648,-0.771294569,-1.461315548,-5.777230373,-1.482567308,-2.386154439,-2.08948799,-1.47304316
141,14100,-1.185434943,-1.053436049,-0.806332918,-2.086954431,-6.446055706,-1.092961141,-3.021047562,-1.908336171,-1.387088475
142,14200,-0.039384991,-0.19137742,-0.674795871,-2.137118341,-6.245316373,-0.145865563,-3.017446491,-1.150857992,-0.796600508
143,14300,1.763622597,1.004337386,-0.389623474,-1.546995831,-5.409259595,1.231693975,-2.374623781,0.105217357,0.20917238
