id,name,min_yr,max_yr,total_record,resolution,record_holocene,record_deglacier,resolution_holocene,resolution_deglacier
36,AwengCo.Li.2017.lpd.csv,-46,12100,57,213.0877193,50,7,194.28,396.4285714
37,B997_321.Castaneda.2004.lpd.csv,386,7854,31,240.9032258,31,0,240.9032258,0
38,B997_324.Castaneda.2004.lpd.csv,73,12056,42,285.3095238,24,18,391.0833333,174.6111111
39,B997_327.Castaneda.2004.lpd.csv,394,4287,62,62.79032258,62,0,62.79032258,0
40,BaiedeSeineestuary.Garnaud.2003.lpd.csv,105.97,8532.53,26,324.0984615,26,0,324.0984615,0
41,BanksIsland-12.Gajewski.2000.lpd.csv,175,10183,33,303.2727273,32,1,296.65625,735
42,BanksIsland-15.Gajewski.2000.lpd.csv,14,10183,62,164.016129,60,2,164.4333333,233.5
43,BasadelaMoraLake.Tarrats.2018.lpd.csv,-52.49,9895.115,56,177.6358036,56,0,177.6358036,0
44,Basse-Ville.Voeltzel.1987.lpd.csv,377.64,8838.33,114,74.21657895,114,0,74.21657895,0
45,Bastien.Bennett.1987.lpd.csv,0,10833,67,161.6865672,64,3,154.609375,389.6666667
46,BattleGround.Whitlock.1985.lpd.csv,-30,23850.6,105,227.4342857,38,67,256.55,217.0656716
47,Beaverhouse.Ritchie.1976.lpd.csv,-25,10183,53,192.6037736,51,2,193.0196078,226.5
48,BebrukasLake.Shulija.1967.lpd.csv,285.89,14576.71,47,304.06,39,8,246.795641,651.37125
49,BeefPasture.Petersen.1985.lpd.csv,0,6025.2,91,66.21098901,91,0,66.21098901,0
50,Beringia A_shakun.csv,0,25000,251,99.60159363,101,150,99.00990099,100.6666667
51,Beringia B_shakun.csv,0,25000,251,99.60159363,101,150,99.00990099,100.6666667
52,Beringia C_shakun.csv,0,19000,191,99.47643979,101,90,99.00990099,101.1111111
53,Beringia D_shakun.csv,0,22500,226,99.55752212,101,125,99.00990099,100.8
54,Berkut.Ilyashuk.2005.lpd.csv,14,10118,44,229.6363636,43,1,230.8604651,316
55,Berry.Whitehead.1979.lpd.csv,40,14433,42,342.6904762,32,10,308.6875,570.9
56,BI2Lake.Gajewski.1992.lpd.csv,-42,7791,43,182.1627907,43,0,182.1627907,0
57,BiglandTarn.Barber.2013.lpd.csv,12,4806,32,149.8125,32,0,149.8125,0
58,Billys.Jacobson.1975.lpd.csv,0,11474.4,77,149.0181818,70,7,141.1057143,258.5714286
59,BiskupinskieLake.Noryskiewicz.1995.lpd.csv,264.67,14223.61,145,96.26855172,109,36,89.21834862,120.9005556
60,BJ8 13GGC.csv,169.18,10556.54,237,43.82852321,223,14,43.78040359,47.13928571
61,BJ8 70GGC.csv,107,10556.54,96,108.849375,81,15,119.3580247,75.70266667
62,BJ8_03_10GGC.Linsley.2010.lpd.csv,275,12025,60,195.8333333,49,11,196.2857143,211.4545455
63,BJ8_03_13GGC.Linsley.2010.lpd.csv,129,10593,397,26.35768262,371,26,26.58760108,23.76923077
64,BJ8_03_70GGC.Linsley.2010.lpd.csv,107,14300,101,140.5247525,85,16,113.7411765,304.9375
65,Bjornfjell.Brooks.2006.lpd.csv,107.31,11280.43,61,183.1659016,54,7,180.8964815,228.5385714
66,BledowoLake.Binka.1988.lpd.csv,156.23,13393.08,294,45.02329932,253,41,38.67150198,85.64487805
67,BloodPond.Marsicek.2013.lpd.csv,-47.0139,14886.5,143,104.4301671,104,39,96.11624135,129.4956103
68,BN7Lake.Gajewski.1991.lpd.csv,-39,6737,22,308,22,0,308,0
69,BoehnigseeGoldmoos.Markgraf.1969.lpd.csv,247.09,11626.6,94,121.058617,53,41,182.1581132,46.77292683
70,BolshieToroki.Zhilich.2017.lpd.csv,-62,7892.6,84,94.69761905,84,0,94.69761905,0
71,Boone.White.1986.lpd.csv,-28,13668,72,190.2222222,54,18,183.6296296,220.7222222
72,BorderBeacon.Lamb.1985.lpd.csv,45,7732.7,27,284.7296296,27,0,284.7296296,0
73,BoundaryPond.Mott.1977.lpd.csv,0,12784.8,56,228.3,44,12,224.1,264.0083333
74,BrayaSo.vonGunten.2012.lpd.csv,-55,6949,660,10.61212121,660,0,10.61212121,0
75,Breitnau-Neuhof.Roesch.2009.lpd.csv,198.81,13388.92,77,171.3001299,63,14,153.9987302,267.4021429
76,brurskardstjorni.Velle.2005.lpd.csv,-27,10900.42,61,179.1380328,56,5,178.0188929,226.1972
77,BS79-38_shakun.csv,867,24517,71,333.0985915,32,39,281.375,382.1025641
78,BS79_38.Cacho.2001.lpd.csv,867,24517,71,333.0985915,32,39,281.375,382.1025641
79,BuntesMoor.Weirich.1980.lpd.csv,330.41,6521.1,86,71.98476744,86,0,71.98476744,0
80,Burial Lake_shakun.csv,44,39311,86,456.5930233,15,71,637.8,426.7605634
81,Cadagno.Niemann.2012.lpd.csv,-43.5,10942,47,233.7340426,42,5,229.5952381,321.5
82,Camp11.Brubaker.1975.lpd.csv,105,11232,35,317.9142857,32,3,294.71875,733
83,CandelabraLake.Cwynar.1995.lpd.csv,352,12567,56,218.125,50,6,190.4,504.1666667
84,CangoCave.Talma.1992.lpd.csv,11.8,6407.6,104,61.49807692,104,0,61.49807692,0
85,CapeGhir.Kim.2007.lpd.csv,0,1196.37,38,31.48342105,38,0,31.48342105,0
86,Caribou-Qubec.Jett.1992.lpd.csv,74,11025,29,377.6206897,27,2,362.5185185,682.5
87,CaribouHill.Lamb.1985.lpd.csv,46,6871,37,184.4594595,37,0,184.4594595,0
88,CarletonLake.Upiter.2014.lpd.csv,-53.9,5964.2,50,120.362,50,0,120.362,0
89,Carp.Whitlock.1985.lpd.csv,0,34668.7,88,393.9625,39,49,251.1846154,519.5857143
90,CascadeFen.Maher.1963.lpd.csv,0.7,6482.5,66,98.20909091,66,0,98.20909091,0
91,Castor.Larouche.NA.lpd.csv,136,10900,41,262.5365854,35,6,279.4571429,191.8333333
92,CC04.Gibb.2015.lpd.csv,18.882,15598,157,99.23005096,64,93,153.8768438,63.12903226
93,CH07-98-GGC19.csv,520,11900,194,58.65979381,138,56,68.62318841,35
94,CH2.Garralla.1992.lpd.csv,1,8332,89,93.60674157,89,0,93.60674157,0
95,CH69-09_shakun.csv,550,19131,119,156.1428571,56,63,167.4821429,146.7619048
96,ChallaLake.Damst.2012.lpd.csv,-49,24896,229,108.930131,113,116,87.24778761,132.2672414
97,Chaohu.Li.2018.lpd.csv,-55,10465,63,166.984127,62,1,161.0645161,1068
98,Churruca.Caniupan.2014.lpd.csv,170,11570,44,259.0909091,37,7,261.6216216,314.2857143
99,Clapeyret.deBeaulieu.1977.lpd.csv,-17.78,10110.61,45,225.0753333,44,1,226.1868182,352.34
100,ClarksJunction.Wilmshurst.2007.lpd.csv,944.727,16800,28,566.25975,13,15,675.491,516.9026667
101,ClearLakeIA.Baker.1992.lpd.csv,-29,11922,46,259.8043478,43,3,221.8372093,894
102,ClearLakeIN.Bailey.1972.lpd.csv,21.8,16560,57,290.1438596,38,19,259.2184211,369.7526316
103,ClearPond.Hussey.1993.lpd.csv,101,21010,160,130.68125,57,103,172.5789474,108.8737864
104,CN01.Cheung.2017.lpd.csv,243,9921,58,166.862069,58,0,166.862069,0
105,Coghill.King.1986.lpd.csv,-31,6146,21,294.1428571,21,0,294.1428571,0
106,Compass.Macpherson.1986.lpd.csv,-11,11427,63,181.5555556,56,7,174.1071429,294.7142857
107,Copley.Fall.1997.lpd.csv,-27,20060,60,334.7833333,35,25,274.7714286,427
108,CoppermineSaddleback.Nichols.1975.lpd.csv,0,4104.4,47,87.32765957,47,0,87.32765957,0
109,Corser.Nichols.2014.lpd.csv,103,11116,36,305.9166667,31,5,305.9354839,365
110,CottonwoodLake.Grimm.1987.lpd.csv,-155,13141,61,217.9672131,27,34,370.2962963,102.6176471
111,CottonwoodPassPond.Fall.1997.lpd.csv,-28,9437,33,286.8181818,33,0,286.8181818,0
112,Cranberry.McAndrews.NA.lpd.csv,-26,13550,88,154.2727273,79,9,122.9113924,468.3333333
113,D13822.csv,442,11497.7,172,64.27732558,140,32,68.22621429,54.456875
114,D13882.Tierney.lpd.csv,442,13106,293,43.221843,140,153,68.22857143,21.90196078
115,DajiuhuPeatland.Huang.2013.lpd.csv,183.33,12935.56,123,103.6766667,81,42,120.9595062,71.49833333
116,Dalene.Seppa.2009.lpd.csv,-56.87,8940.4,50,179.9454,50,0,179.9454,0
117,DANA12_11_2_GC01.VanNieuwenhove.2018.lpd.csv,-54,11810,80,148.3,66,14,150.7727273,144
118,DarzlubieForest.Polska-JasiewiczOwa.1996.lpd.csv,72.19,11547.44,80,143.440625,64,16,154.2323438,104.8825
119,DavisLake.Barnosky.1981.lpd.csv,-11.2,2413.6,238,10.18823529,238,0,10.18823529,0
120,Decoy.Szeicz.1991.lpd.csv,42,13569,95,142.3894737,52,43,191.2692308,84.76744186
121,Delorme1.Bouchard.1982.lpd.csv,372,6017,18,313.6111111,18,0,313.6111111,0
122,Delorme2.Bouchard.1982.lpd.csv,423,7100,50,133.54,50,0,133.54,0
123,Deltasoe.Axford.2019.lpd.csv,-62,10593.2,33,322.8848485,30,3,327.173,373.3366667
124,Demont.Kapp.NA.lpd.csv,13,13282,73,181.7671233,53,20,185.490566,189.7
