"","time","NH","NM","Tropical","SM","SH","AN","AS"
"1",100,0.243117471454545,0.226783620857143,-0.20007942175,0.0773141780714286,-0.782956952142857,0.233087914070175,-0.209442865333333
"2",200,0.129511929891304,0.367032814379747,0.0464546202592593,0.147185939466667,-1.014797719,0.279625128888,-0.222536133681818
"3",300,0.136120446255319,0.33009046325,0.0983508569666666,0.0523317624666666,-0.721060851428571,0.260498167076336,-0.193747705590909
"4",400,-0.0310754436875,0.276038869741573,0.159739407941176,0.0614615434375,-0.361771124571429,0.168436774525547,-0.067348399
"5",500,0.00625357633999994,0.313089886282608,-0.102140510583333,0.1833361435,-0.400971660428571,0.205048932077465,0.0197299584
"6",600,-0.200198493705882,0.2133445603,0.00570544952777778,0.0736884789444445,-0.127546217714286,0.0736710784834437,0.01734276388
"7",700,-0.088288310745098,0.145668997699029,0.0596493752368421,0.189050554,-0.525932413142857,0.0681896293181818,0.00368459955555552
"8",800,-0.0671614394615385,0.141847920990476,-0.00227250019512192,0.0684457021428571,-0.114765886714286,0.0726218907770701,0.0226428049285714
"9",900,-0.062654345509434,0.206093915981308,-0.0806040368139535,0.104372968571429,-0.34279398,0.1170710543625,-0.0074187685714286
"10",1000,0.00384532637735851,0.250655470605505,-0.103642702136364,-0.15579275326087,-0.795620384125,0.169908941938272,-0.320909561225807
"11",1100,0.00289669247169815,0.290998992099099,-0.0688000924565218,-0.07584014675,-0.523126052625,0.197892761121951,-0.18766162321875
"12",1200,-0.0140155107169811,0.354112416973215,0.026181214125,0.0645260926,-0.524728333333333,0.235865264442424,-0.0914530201470588
"13",1300,-0.0324293060566037,0.217059601078947,0.0788948516530612,0.08284042,-0.432109832777778,0.137880486838323,-0.0495753592857143
"14",1400,-0.00501952520754715,0.0952065729385965,0.07353493582,0.0349506087307692,-0.250895591777778,0.0633982902934132,-0.0385526999714286
"15",1500,-0.0607050584339623,0.168233727605263,0.0585812172941177,0.0233847897692308,-0.624023532333333,0.0955765080838323,-0.143091635914286
"16",1600,-0.0799642847169811,0.183281821710526,0.0729613587647059,0.0256095104444444,-0.621835889555555,0.0997366502095809,-0.136251839555556
"17",1700,-0.142211541433962,0.139678490964912,0.0985769803207547,-0.0227393155185185,-0.953543685333333,0.0502163848742515,-0.255440407972222
"18",1800,-0.0555619797924529,0.187441575377193,0.0485616832075472,0.02786524025,-0.872772696888889,0.110320686610779,-0.191208852567568
"19",1900,-0.0849154152452831,0.191942337657895,0.00458223114545453,0.00871842664285717,-1.06133979911111,0.104077302305389,-0.251566006648649
"20",2000,0.0338862878490566,0.288274556234783,0.0654998987090909,-0.0231517168928571,-1.21021485566667,0.208021114422619,-0.311896804702703
"21",2100,0.0246107628301887,0.387520226591305,0.0367954396545455,-0.04691451225,-1.28118945188889,0.273030931476191,-0.347143551621622
"22",2200,-0.0499454923018868,0.400407034521739,0.0358521589272727,-0.0571037582068966,-0.914316789666667,0.258331534988095,-0.260127897236842
"23",2300,-0.0421935772264151,0.440405776881356,0.041519938625,-0.00869696927586209,-1.20691592744444,0.290828199292397,-0.292485669894737
"24",2400,0.0129930011132076,0.509590310533898,0.00982899550877194,0.0433301300666667,-1.062086379,0.355674185391813,-0.211765987410256
"25",2500,0.0351776336792453,0.417792301601695,-0.00782070754385964,-0.0718406643666667,-0.915132530555556,0.299204129672515,-0.266446479641026
"26",2600,-0.0748414701509433,0.352884202737288,0.0252136106034483,-0.0736401157333333,-0.875917960222222,0.220314257339181,-0.258781156769231
"27",2700,-0.0524618522075471,0.367193703711864,-0.0388430167413793,-6.3457366666649e-05,-1.224176342,0.237125022637427,-0.282551046128205
"28",2800,0.0853524399245283,0.317694605601695,-0.0335172404827586,0.0146675399333333,-0.880846181,0.245682121502924,-0.191989472589744
"29",2900,0.103389379509434,0.282733815347458,0.0169906362413793,0.0718541474333334,-0.859811436111111,0.227147528216374,-0.143145602615385
"30",3000,0.0438961648867924,0.323643641932203,0.0291546870344827,0.0844630049333333,-0.728740257333333,0.236938283549708,-0.103199286358974
"31",3100,0.041925283245283,0.386210791898305,0.015821291,0.0855899155666666,-0.381430232888889,0.279502417871345,-0.0221839648461539
"32",3200,0.145234417377358,0.346534325177966,0.0281561085423729,0.112348394866667,-0.423323308333333,0.284143125684211,-0.011268152025641
"33",3300,0.194484455867925,0.303624471033898,-0.0423534678474576,0.121144036366667,-1.04403757288889,0.269797448789474,-0.147744027307692
"34",3400,0.191056731754717,0.304605703483051,-0.0212808281694915,0.122894356677419,-0.566516641444444,0.269412162538012,-0.0322231179
"35",3500,0.0723883544150943,0.299596341330509,0.00291558044067798,0.154768804193548,-0.374199770333333,0.229175152403509,0.0357508749249999
"36",3600,0.0917049225283019,0.396810937652542,0.0523053165254237,0.189419362354839,0.0690803555555555,0.302245915421053,0.162343085825
"37",3700,0.138172874603774,0.372811765381356,0.0293668727966102,0.106860672225806,0.293196216444444,0.300087430812866,0.148786169675
"38",3800,0.20255150945283,0.396129923516949,-0.0254658144915254,0.146492613483871,-0.629342069888889,0.336131935532164,-0.028070190275
"39",3900,0.261131747037736,0.396079958449153,-0.00468859950847457,0.0949869879354838,-0.312583942,0.354253904619883,0.00328352869999998
"40",4000,0.292133298,0.386994488050847,0.0656727396779661,0.032812257,0.216339192666667,0.357593066573099,0.074105817525
"41",4100,0.294823100528302,0.409747980313559,0.019441189779661,-0.0198261452580645,-0.0991554057777777,0.374127988333333,-0.037675228875
"42",4200,0.299732273886793,0.380902869694915,0.0248665873389831,0.0656333095806452,-0.389989118222222,0.355744731812865,-0.036881736675
"43",4300,0.421434356113207,0.380085470923729,-0.0329773734166667,0.0733543637419354,-0.222230856222222,0.392901207269006,0.00684768924999996
"44",4400,0.433326280207547,0.385011721694915,-0.0773559748032787,0.049985150483871,-0.0167399496666667,0.399986409421053,0.03497200295
"45",4500,0.393292223377359,0.42738401420339,-0.0761378993606557,0.121878847354839,-0.170759576777778,0.416817552719298,0.056035201925
"46",4600,0.420215302509434,0.447136822550847,-0.0571044078688525,0.1640655964375,0.0610603301111111,0.438792725695907,0.141454684317073
"47",4700,0.373207148528302,0.452549093779661,-0.0773072214262295,0.13669959771875,0.429053642555556,0.427957730631579,0.200874875853659
"48",4800,0.413484265245283,0.477332914737288,0.0076508172622951,0.14960829025,-0.273076279888889,0.457543567233918,0.0568238724146341
"49",4900,0.396505010735849,0.497659253864407,0.0315297566557377,0.13380007634375,-0.052772966,0.466307353947368,0.0928450182682927
"50",5000,0.42930571,0.430407427949153,0.0768471742131148,0.1620573185,-0.593562327888889,0.430065959812866,-0.00381040875609761
"51",5100,0.468155107773585,0.501612965177966,0.0839459046721311,0.16128958684375,-0.470804426444444,0.491242985982456,0.0225372424634146
"52",5200,0.466346718981132,0.562166281711865,0.0426142601967213,0.181924225375,-0.147755519555555,0.532467820748538,0.109555500878049
"53",5300,0.469984084188679,0.509840467042373,0.0478909512131147,0.103954232,-0.171647298111111,0.497487319140351,0.0434563351463415
"54",5400,0.403471443320755,0.589100043822034,0.0602713260983606,0.06096189071875,-0.546413316666667,0.531566033140351,-0.0723643743170732
"55",5500,0.400740669679245,0.609901573932203,0.0715238436290322,0.08367615721875,-0.148666690444444,0.545073925245614,0.0326740687073171
"56",5600,0.481101988301887,0.601773557805085,0.106777109387097,0.14931263671875,-0.0326462077777778,0.564372428076023,0.109370451341463
"57",5700,0.448266605037736,0.610219005889831,0.0983133569193549,0.2301287745,-0.292908854777778,0.560023232526316,0.115315636365854
"58",5800,0.418145458,0.602355204647059,0.121909403870968,0.1522411669375,0.0929357784444444,0.545592898994186,0.139222910926829
"59",5900,0.376440697433962,0.561049668483333,0.104303889596774,0.14556348534375,-0.276068075777778,0.504493162901734,0.0530102158292683
"60",6000,0.398142090245283,0.668424850041667,0.0542254440967742,0.1697074214375,-0.473006263,0.585621461202313,0.0286239297317073
"61",6100,0.376670313962264,0.680565358016667,0.111813102532258,0.188061557606061,-0.309511182777778,0.58746456417341,0.0814388275238095
"62",6200,0.395693333962264,0.657536553091666,0.0989542098709678,0.154606954,-0.257032134444444,0.577318688271676,0.0663985779047618
"63",6300,0.462448321301887,0.734246787591667,0.104892709274194,0.264437653878788,0.140691335444444,0.650979049364162,0.237920585642857
"64",6400,0.499781111849056,0.750405931716666,0.149711198629032,0.27861909230303,0.587312489555556,0.673624917537572,0.344767677428572
"65",6500,0.467564358641509,0.680564175416667,0.160235650129032,0.318509086181818,0.0115751638888889,0.615309896289017,0.252737531404762
"66",6600,0.469027117264151,0.635284945366667,0.181988763483871,0.338646181636364,-0.573151879333333,0.584350466236994,0.143260882857143
"67",6700,0.404340734528302,0.624634192208334,0.125085212048387,0.396651550515151,-0.187486554,0.557145445057804,0.271479099547619
"68",6800,0.292101935584906,0.698633927983333,0.116920865080645,0.250611114939394,-0.245371710777778,0.574089444763006,0.144329080857143
"69",6900,0.291419229207547,0.732725578425,0.108084194516129,0.226311361393939,0.0603254367777778,0.597527679531792,0.190742948976191
"70",7000,0.333807883396226,0.6496483971,0.116491189580645,0.260639891757576,0.0642800606666666,0.55288800850867,0.218562785095238
"71",7100,0.417337319320755,0.609652186158333,0.0488094783064517,0.199824400606061,-0.112083113666667,0.550734914815029,0.132987076119048
"72",7200,0.399572796867924,0.569401125616667,0.089952349951613,0.237298599060606,-0.434186611,0.517372793687861,0.0934089111904762
"73",7300,0.431747641207547,0.57005982905,0.0555331122096774,0.230327309727273,-0.240983638444444,0.527686731040462,0.129332106547619
"74",7400,0.345468603207547,0.540624903308333,0.0231938503709677,0.262306927848485,-0.250934205888889,0.480837135069364,0.152326684904762
"75",7500,0.425998565943396,0.53587049795,0.0728535021129033,0.23012296369697,-0.823713540888889,0.502210310687861,0.00430085557142862
"76",7600,0.411950659339623,0.5286529915,0.0336300764516128,0.252756714,-0.268001465,0.492900253901734,0.141165675642857
"77",7700,0.338392035471698,0.571462418866666,0.023719550532258,0.218382727727273,-0.159677109111111,0.500059353433526,0.137369905547619
"78",7800,0.246577705811321,0.591441772625,0.0617334355483871,0.195446270606061,-0.862509415888889,0.485789775277457,-0.0312585193571429
"79",7900,0.174107875773585,0.622071722641667,0.142926315516129,0.255273680454546,-0.288077530111111,0.484834243543353,0.138841278190476
"80",8000,0.21381575909434,0.588108862375,0.173487275064516,0.237956057727273,-0.499970518,0.473441033046242,0.0798289343571428
"81",8100,0.154180398603774,0.579568194075,0.100950772984127,0.177070409121212,-0.238277478555556,0.449247077543352,0.0880672903333334
"82",8200,-0.0421278229056604,0.452299477008333,0.105949418968254,0.280722975878788,-0.882060062333333,0.300827529635838,0.0315551819761905
"83",8300,0.145441295660377,0.387672919966667,0.123741427015873,0.219121501333333,-0.339911549,0.313463231595376,0.0993287048333334
"84",8400,0.135743864113207,0.386783924454546,0.113589281873016,0.227338769727273,-0.579453655,0.310317699178161,0.0544546787142857
"85",8500,0.156292006716981,0.41365157968595,0.124330937174603,0.18148304559375,0.302975271111111,0.335260445390805,0.208152070707317
"86",8600,0.158720012641509,0.358362826694215,0.111906337047619,0.212073904575758,0.185116609777778,0.297552084482759,0.206297341404762
"87",8700,0.200300121018868,0.375810699132231,0.114087449238095,0.264072705787879,-0.349606208888889,0.322350580511494,0.132570081214286
"88",8800,0.212365412490566,0.316466585661157,0.0935515824603174,0.282825438212121,-0.160794230333333,0.284757607626437,0.187764080666667
"89",8900,0.251537225811321,0.22871894147541,0.113080542920635,0.266767880151515,0.104984387222222,0.235629621874286,0.232099988809524
"90",9000,0.145445682320755,0.133119791426229,0.14261469931746,0.242853861151515,-0.302461319111111,0.136852775525714,0.126000608238095
"91",9100,0.193303685490566,0.119699650909091,0.153252864111111,0.282469970333333,0.483796255222222,0.142119270637931,0.325611317095238
"92",9200,0.17141283945283,0.190778777867769,0.11106423084127,0.286596334363636,0.449967164,0.184879957545977,0.321604369285714
"93",9300,0.163892427056604,0.228190932141667,0.0637252971269841,0.256023972,0.483001201444444,0.208492546190751,0.304661949738095
"94",9400,0.270423751113208,0.269800783691667,0.0389940193015873,0.349721496363636,0.477825859666667,0.269991634982659,0.377172431357143
"95",9500,0.289080674307692,0.196491711747899,0.0785301074603174,0.404832728424242,-0.560088173444444,0.224647419660819,0.198063963738095
"96",9600,0.245118019941176,0.153574587579832,0.0827857671904762,0.309460797090909,0.367374347111111,0.181037617288235,0.321870843523809
"97",9700,0.254973189058823,0.124027658313559,0.0950657330952381,0.186004988575758,-0.700077308222222,0.163543765224852,-0.00386978930952383
"98",9800,0.180754387156863,0.1151411025,0.0731040414126985,0.13884979430303,-0.362844649555556,0.13517869242515,0.0313438420476191
"99",9900,0.156580395117647,0.0837477758869565,0.130622868777778,0.0843203716060606,0.158762394666667,0.106124062518072,0.100272233690476
"100",10000,0.115000803613636,0.041788131247619,0.112146230766667,-0.00504551981249999,-0.223138276857143,0.0634079808053691,-0.0441903736410256
"101",10100,0.11425434512766,0.00855014211711712,0.087675822952381,-0.0429074049090909,0.105640719888889,0.039993797443038,-0.0110756638809524
"102",10200,0.092383138744186,-0.209985019916667,0.0506053938888889,0.0149862894848485,-0.117976790333333,-0.123880180033113,-0.013505799047619
"103",10300,0.333333333333333,-0.710526315789474,0.246605547142857,0.333333333333333,2,-0.375,0.888888888888889
"104",10400,0.454545454545455,-0.739130434782609,0.278102508666667,0,-2.66666666666667,-0.352941176470588,-0.888888888888889
"105",10500,-0.80952380952381,-1.0625,0.432512947333333,-0.5,-2.5,-0.985507246376812,-0.9
"106",10600,-1.04761904761905,-1.10909090909091,0.315195343692308,-0.375,-0.25,-1.09210526315789,-0.333333333333333
"107",10700,-1.21052631578947,-1.13725490196078,-0.0752734709230769,-0.5,1.5,-1.15714285714286,0
"108",10800,-1.17647058823529,-0.523809523809524,0.0104054184545455,-0.75,NA,-0.711864406779661,-0.75
"109",10900,-1.375,-0.595238095238095,-0.551479559,-0.75,0.25,-0.810344827586207,-0.416666666666667
"110",11000,-1.28571428571429,-0.688888888888889,-0.419665906133333,-0.818181818181818,2,-0.878787878787879,-0.214285714285714
"111",11100,-1.19047619047619,-0.808510638297872,-0.242075992857143,-0.714285714285714,0,-0.926470588235294,-0.588235294117647
"112",11200,-1.71428571428571,-0.977777777777778,-0.673594554823529,-0.666666666666667,-0.8,-1.21212121212121,-0.7
"113",11300,-1.8,-1.11320754716981,-0.930115238173913,-0.833333333333333,-0.8,-1.3013698630137,-0.823529411764706
"114",11400,-1.94444444444444,-1.69090909090909,-0.793641101962963,-1.06666666666667,-0.833333333333333,-1.75342465753425,-1
"115",11500,-2.93333333333333,-1.76785714285714,-0.983547640458333,-1.13333333333333,-0.571428571428571,-2.01408450704225,-0.954545454545455
"116",11600,-2.55555555555556,-1.81034482758621,-0.948093905178571,-1.13333333333333,-1.33333333333333,-1.98684210526316,-1.19047619047619
"117",11700,-3.11764705882353,-1.98305084745763,-0.947642770375,-1.26666666666667,-1.33333333333333,-2.23684210526316,-1.28571428571429
"118",11800,-3.21428571428571,-2.13333333333333,-1.03941847162857,-1.1875,-1.8,-2.33783783783784,-1.33333333333333
"119",11900,-2.93333333333333,-2.23214285714286,-1.0368997962439,-1.3125,-1.71428571428571,-2.38028169014085,-1.43478260869565
"120",12000,-3.23076923076923,-2.41071428571429,-1.06453992156098,-1,-1.85714285714286,-2.56521739130435,-1.27272727272727
