id,name,all_mean,deg_mean,hol_mean,all_SD,deg_SD,hol_SD,lon,lat
1,ne_labrador,0.474586912,0.18634167,0.711169816,1.065512955,1.341030873,0.558925646,-69.16992188,48.74894534
2,se_usa,0.887573148,0.936141756,0.84019695,0.789426882,0.676192328,0.867993333,-84.7265625,30.44867368
3,midwest,0.809550897,1.331458786,0.475051996,0.846531428,1.022638233,0.566995354,-89.6484375,43.77109382
4,rocky_mt,-0.451375208,-1.022004373,0.02572748,1.566121366,2.095601898,0.339600064,-109.6875,39.436193
5,w_usa,0.677988159,0.200130904,1.072616574,1.037328292,1.037368584,0.871203453,-123.75,38.54816542
6,c_canada,0.60135922,1.392105823,0.523709087,0.591573696,0.668115661,0.540363034,-103.0078125,53.95608553
7,alaska_yukon,-2.215272975,-6.333367011,1.163281624,4.627674106,3.463279842,0.876750421,-142.2070313,63.23362741
8,greenland,0.254421114,0.974682122,-0.319592283,2.111582067,2.807298051,0.763123711,-42.5390625,69.77895178
9,mediterranean,0.950267851,1.476578993,0.525964238,0.734142394,0.443939625,0.603099554,15.64453125,39.77476949
10,scandinavia,2.118823091,4.489129857,0.181458382,2.748743192,2.222738092,0.547958508,15.29296875,61.01572481
11,uk,1.946623397,4.546266218,-0.202217742,3.424975598,3.033691315,1.210393787,-1.7578125,53.64463782
12,c_north_europe,2.750285794,6.299292647,-0.176799944,4.117520825,3.731599808,0.794283529,28.4765625,52.26815737
13,iceland,-1.9160804,-4.364288868,0.109099342,3.29377491,3.17111371,0.617035326,-19.6875,64.47279382
14,siberia,2.530920292,-3.123853862,3.128828657,2.400318744,1.097916608,2.011490584,87.890625,60.9304322
15,e_china_japan,-0.109702725,-0.685662146,0.372676059,0.930511981,0.879774395,0.63847328,124.453125,30.75127778
16,tibet,-0.772910586,-3.559689183,1.128629891,2.768062682,2.566556296,1.297927656,88.59375,31.6533814
17,se_asia,0.249609747,0.282184006,0.220996724,0.282839876,0.332424703,0.214337831,115.3125,0
18,australia,0.5994937,1.466493334,-0.114689691,1.379107895,1.49866275,0.353382109,149.4140625,-35.17380832
19,new_zealand,0.644511194,1.106018606,0.262264181,0.760715845,0.802212208,0.269614301,172.265625,-44.84029065
20,n_indian_ocean,-0.023336874,-0.225572717,0.143659234,0.463085581,0.582713121,0.230936897,64.6875,18.31281085
21,e_africa,0.686971709,1.327315876,0.158275543,0.701633729,0.411321629,0.41891187,38.49609375,-4.740675385
22,s_africa,0.111379415,0.561006862,-0.250281009,0.487442454,0.248887684,0.301937509,23.99414062,-31.05293399
23,w_africa,0.131790068,0.292464778,0.001298519,0.305428464,0.36678103,0.193258702,13.7109375,-6.664607562
24,c_atlantic,0.384758988,0.759917064,0.073675241,0.518920521,0.435796309,0.298158139,-34.8046875,19.97334879
25,s_atlantic,-0.564203243,-2.47628104,1.000720946,2.434743815,2.02362094,0.896628793,-13.0078125,-39.36827915
26,e_pacific,0.378418693,0.249073626,0.482769361,0.355109175,0.214760931,0.417402456,-90.3515625,0.351560294
27,chile,0.233655366,0.539335289,-0.016164719,0.521157256,0.58953336,0.279698151,-73.828125,-47.75409798
28,antarctica,0.368771207,-1.225704715,1.664808586,1.751005026,0.656188627,1.145368373,92.8125,-71.52490904
29,russian_far_east,1.07665357,-1.606024409,3.304984488,3.744882274,3.444075434,2.394942226,168.75,62.26792263
30,carribean,0.487917381,0.683992286,0.331644871,0.501570861,0.478419726,0.44149856,-67.5,12.89748918
31,se_brazil,-1.022097644,-1.843655512,-0.317618116,1.161183034,1.108032968,0.448545841,-49.921875,-28.92163128
