"","time","NH","NM","Tropical","SM","SH","AN","AS","Global","land","sea","all"
"1",100,0.41633229845283,1.51728505237097,0.811922684873016,0.452248215212121,2.24643440488889,1.18762123340113,0.836716684428571,1.11057943770769,1.34922160455932,0.825176305729729,NA
"2",200,0.268068156943396,1.36050987156452,0.681426589634921,0.384045115212121,2.09876896044444,1.03339455588701,0.751485939190476,0.962429519338462,1.19598026874011,0.683115447418919,NA
"3",300,0.171882128641509,1.35264791019355,0.637359732492063,0.315114121272727,2.08640040488889,0.999085275039548,0.694675467761905,0.927458795461539,1.17783729874011,0.628019639513514,NA
"4",400,0.477066930528302,1.46620084514516,0.654548018206349,0.350468657636364,2.122207516,1.17001950348023,0.730126984428571,1.05537411781231,1.30393701763277,0.758106325459459,NA
"5",500,0.410490847509434,1.53523195422581,0.678210049952381,0.327699048545455,2.123015016,1.19844506916384,0.712409613,1.06922737133846,1.32743526631073,0.760424686135135,NA
"6",600,0.468304138075472,1.54526618075806,0.713508795984127,0.319817539454545,2.19576712711111,1.22278602108475,0.721806736809524,1.08894442515385,1.35125840218644,0.775231087756757,NA
"7",700,0.138459109773585,1.28729651648387,0.662255843603174,0.322259548545455,2.12770718266667,0.943294355152542,0.709141184428571,0.895395075092308,1.11304768744068,0.63509431572973,NA
"8",800,0.309585656943396,1.33766467382258,0.682836113444444,0.320203621272727,2.26522929377778,1.02982180436158,0.736994836809524,0.971785610907692,1.20612887817514,0.69152373045946,NA
"9",900,0.283278072037736,1.35852586503226,0.680263542015873,0.302479960666667,2.20181984933333,1.03655901176271,0.709481365380952,0.971973337184616,1.20491503427684,0.693387658905405,NA
"10",1000,0.321121817320755,1.39532525559677,0.645027859476191,0.276942830363636,2.15486023822222,1.07367111871186,0.67935370347619,0.974113147123077,1.20440539811864,0.698696063162162,NA
"11",1100,0.110784751283019,1.30891029543548,0.627689843603174,0.306951854606061,2.05758546044444,0.950149539276836,0.682087627285714,0.888337407061538,1.09661551066102,0.639248053432433,NA
"12",1200,0.323864562603774,1.37420922220968,0.617886716619048,0.265949981878788,2.12380096044444,1.05969923938983,0.664060905857143,0.957935173153846,1.19986090924859,0.668605069851351,NA
"13",1300,0.639770619207547,1.48978671981452,0.620972573761905,0.241838581878788,2.10461229377778,1.23526212471751,0.641004377285714,1.07314153328615,1.33561753768362,0.759234419918919,NA
"14",1400,0.416775487132075,1.3547583235,0.562087303920635,0.265229509151515,2.12215023822222,1.07389340639548,0.663141093952381,0.965493995153846,1.22063971145198,0.660353510121622,NA
"15",1500,0.412505006,1.36898378894355,0.602664494396825,0.251103039454545,2.13527807155556,1.08258053755367,0.654854832047619,0.9784224048,1.22304381560452,0.685868420256757,NA
"16",1600,1.02980752675472,1.58116922619355,0.634694351539683,0.258278994,2.18607123822222,1.41607222014689,0.671377332047619,1.21980109768923,1.51088270859322,0.871683225189189,NA
"17",1700,0.831402939962264,1.53765466991129,0.601748827730159,0.262787487939394,2.208518516,1.32617816320339,0.679729851095238,1.14863731535385,1.42553566057627,0.817481861945946,NA
"18",1800,0.994608875811321,1.57876635121774,0.631359161063492,0.308450321272727,2.16528073822222,1.4038491410678,0.70634255347619,1.22141378688616,1.53731106412429,0.843617718837838,NA
"19",1900,0.761410930528302,1.45212742422581,0.599065256301587,0.312813897030303,2.21991673822222,1.24530271142373,0.721478791571429,1.10083641943077,1.37461810608475,0.773408321202703,NA
"20",2000,0.235133289018868,1.18446705414516,0.54916612931746,0.334076527333333,2.26036812711111,0.900203271367232,0.746853298714286,0.872125572753846,1.09389758145198,0.606898238027027,NA
"21",2100,0.0993882041132075,1.09861204153226,0.542102478523809,0.323776872787879,2.26612373822222,0.799409423548023,0.739994058238095,0.796632148956923,1.00671709453672,0.545381909986486,NA
"22",2200,0.298713638075472,1.24296502745161,0.543160192809524,0.230235627333333,2.221956016,0.960223086,0.65703285347619,0.879100548507692,1.1050337250113,0.608896682013513,NA
"23",2300,0.553815855056604,1.33511346616129,0.583564383285714,0.251624633393939,2.259556516,1.1011655939096,0.681895751095238,0.998078254353846,1.24787394043503,0.699336116270271,NA
"24",2400,0.53128892109434,1.34891795841935,0.564483288047619,0.326992033393939,2.32517129377778,1.10409118453107,0.75517330347619,1.01135469669231,1.28798707557627,0.680517324648649,NA
"25",2500,0.400808128641509,1.2182195535,0.526132034079365,0.244229027333333,2.09367607155556,0.97345794040678,0.640539108238095,0.88852758583077,1.13550125794915,0.593160423905405,NA
"26",2600,0.367287128641509,1.30764874696774,0.534455049952381,0.195998372787879,2.15378384933333,1.02607153922034,0.615523832047619,0.926509609338461,1.1720555349548,0.632849955054054,NA
"27",2700,0.73479249845283,1.31204870930645,0.527610557888889,0.224777190969697,2.15268679377778,1.13919797950283,0.637900677285714,1.01459892103077,1.27356528427684,0.704889148770271,NA
"28",2800,0.55262738335849,1.33157221083871,0.502154732492064,0.213059845515152,2.09559118266667,1.09832884441808,0.616459417761905,0.968196171092307,1.21047302235593,0.678446153027027,NA
"29",2900,1.00598284562264,1.51059826054839,0.539130922968254,0.201301397030303,2.185706516,1.35949872952542,0.626531065380952,1.16169190322769,1.4563670289322,0.80927638127027,NA
"30",3000,1.44529816637736,1.63599665801613,0.549525335666667,0.236664484909091,2.17817329377778,1.57889484978531,0.652702086809524,1.32377390924615,1.65784380936158,0.924244366540541,NA
"31",3100,1.3744949550566,1.5931592968871,0.53765539915873,0.253220887939394,2.284234516,1.52768353351412,0.688438093952381,1.28890819604615,1.62704287924859,0.884517392486486,NA
