time,ne_labrador,se_usa,midwest,rocky_mt,w_usa,c_canada,alaska_yukon,greenland,mediterranean,scandinavia,uk,c_north_europe,iceland,siberia,e_china_japan,tibet,se_asia,australia,new_zealand,n_indian_ocean,e_africa,s_africa,w_africa,c_atlantic,s_atlantic,e_pacific,chile,antarctica,russian_far_east,carribean,se_brazil
100,-0.440053502,-1.140579433,0.073498189,1.190163027,-0.866174765,-0.21077769,1.0654935,0.760678169,-0.779112347,0.638892443,3.576964807,0.62781279,-0.301322511,-1.059024857,-0.858159087,-0.051675793,0.210141416,-0.084370786,-0.002196147,0.167190835,-0.76129302,0.935963519,0.327620604,2.749735275,-1.361435818,-0.675542521,-0.816993033,-0.172970134,NA,1.391813781,NA
200,-0.580694444,-0.383190546,0.066240161,1.721741531,-0.512768365,-0.142767709,1.014197214,0.907098153,-0.290806471,0.174262492,3.58844073,0.741184444,-0.304511898,-0.915633256,0.159626605,0.037557851,0.222211155,0.107745408,-0.050725943,-0.235716548,-0.166847165,0.80435506,0.374086006,0.606251406,-2.16011818,-0.119234571,-0.468693398,-0.321798712,NA,1.268274117,NA
300,-1.004086528,-0.518585978,0.08500859,1.725911319,-0.570937552,-0.155644862,1.10509711,0.407802618,0.142181836,0.182355931,2.381281955,0.569448431,0.112110808,-0.730747649,-0.122036993,0.349631382,0.14489158,0.147981968,-0.140609509,0.165558194,-0.262190571,0.596224484,0.482418188,0.19940623,-1.441272685,0.264809324,-0.57745492,-0.198084718,NA,1.144734455,NA
400,-0.755445727,-0.166469163,0.094341379,1.484705049,-0.479926819,-0.190922404,0.506367628,0.292269538,0.388772697,-0.007073717,2.428013329,0.391654831,-0.130321782,-0.557978574,-0.072873952,-0.310328012,0.595668508,-0.022369694,-0.205105219,0.22128579,-0.24548669,0.554128761,0.010529019,0.197055473,-1.137141253,0.36686386,-0.287583858,-0.004979797,NA,0.149998279,NA
500,-0.910283621,-0.325335223,0.071774541,1.631840834,-0.53661168,-0.198286492,0.40610923,0.143909539,0.479247009,0.093329823,2.008961187,0.792302772,0.515187329,-0.628873903,-0.015834949,-0.762894626,0.150484797,-0.311632041,-0.126970589,0.231798729,-0.793626381,0.710586235,-0.033970039,0.52175364,0.494008384,0.21698673,-0.212647726,-0.455195788,-0.389000722,-0.011890943,-0.045373145
600,-0.848066774,-1.176013033,0.090185199,1.556776798,-0.89676689,-0.400719047,0.441760473,0.422919002,0.224485872,-0.527337963,1.989002182,0.685543145,0.758109015,-0.749695201,0.007493359,-0.4887463,0.291227492,-0.184067347,-0.055571223,0.100007587,-0.591288093,0.73899613,0.140337381,0.612408548,-0.536969635,0.110629984,-0.258467679,-0.209467495,-0.279307752,0.495778599,-0.045373145
700,-0.805521493,-0.734348786,0.168176625,1.739247313,-0.57145277,-0.426082293,0.307202601,0.443287213,0.117025876,-0.109277047,2.056019717,0.481633011,-0.052872259,-0.717041584,-0.093503291,-0.455691513,0.29294451,-0.489418015,0.369297496,0.199847882,-0.195154838,0.660546529,0.223060278,0.628192851,-0.958525628,-0.203968788,-0.260819145,-0.286046505,-0.396957256,0.613613939,0.434578444
800,-0.803387544,-0.75081863,0.143369205,1.967898647,-0.205851815,-0.502589928,0.459138825,0.532322717,0.084840614,-0.169699566,1.82285321,0.425766379,-0.167452665,-0.682039532,-0.249152014,-0.320777411,0.40966925,-0.378339787,0.120467791,0.158421535,-0.387320685,0.786226813,0.12241845,0.306569005,-0.865179374,-0.326925728,-0.345142181,0.002842297,-0.249730519,0.50662337,-0.577276037
900,-0.69077312,-0.634408072,0.186423578,2.052094009,0.317931083,-0.424348091,0.475886131,0.729863413,0.272014021,-0.234668683,0.825989278,0.416292008,0.218082768,-0.658130067,-0.223128781,-0.222700723,0.345938799,-0.290159087,-0.051904119,0.097589875,-0.608588122,0.663367884,0.128712747,0.503714834,-1.180196955,-0.36803515,0.033944166,-0.061576226,-0.260142206,0.514937461,-0.411956252
1000,-0.6148776,-0.882912537,0.264222947,1.871197683,0.359566104,-0.249453963,0.503042471,1.097181186,0.288122023,-0.21816258,1.400446769,0.441392266,0.002896392,-0.57285932,-0.178181126,-0.136822571,0.315079491,-0.266982766,-0.468568093,0.062370986,-0.717809845,0.563056598,0.1376883,0.779088162,-1.243457932,-0.337248001,-0.083277802,-0.71926181,-0.344457843,0.460979215,-0.147293367
1100,-0.572699739,-1.101520564,0.259075938,1.896099279,0.450267,-0.352721592,0.53644074,0.629163674,0.383726699,-0.09571346,1.395898672,0.582425175,0.145222737,-0.584291689,0.049558753,-0.159880523,0.213361637,-0.112315813,-0.471092224,0.334712732,-0.616919357,0.441635736,0.14623246,0.858131696,0.309895775,-0.274096711,-0.147852123,-0.782189368,-0.648711098,0.527457531,0.264505508
