time,ne_labrador,se_usa,midwest,rocky_mt,w_usa,c_canada,alaska_yukon,greenland,mediterranean,scandinavia,uk,c_north_europe,iceland,siberia,e_china_japan,tibet,se_asia,australia,new_zealand,n_indian_ocean,e_africa,s_africa,w_africa,c_atlantic,s_atlantic,e_pacific,chile,antarctica,russian_far_east,carribean,se_brazil
1100,0.743784505,1.449272384,1.367939338,1.489213711,1.471262242,0.371621612,1.704782975,-0.770975113,1.316831577,-0.730163644,0.498389743,0.386328853,-0.882937152,3.678897385,0.940827083,1.178622671,0.704278087,0.25454215,0.382400911,0.653602162,0.383560397,0.311194153,0.360739122,0.391359451,0.472462382,0.784878307,0.263094921,2.376178442,4.266412582,1.258948325,0.108297805
1200,0.851517994,1.482531144,1.295904111,1.492942831,1.543399608,0.462961679,2.01712574,-0.597075542,1.430516934,-0.521253087,0.55586893,0.539013687,-0.91466358,3.804489725,1.026691083,1.152835671,0.675327087,0.230205117,0.357994236,0.624804162,0.42755667,0.287892582,0.378316922,0.388317451,0.419112144,0.763357407,0.179067249,2.420288403,4.407439307,1.239130325,0.097042305
1300,0.777712571,1.451183051,1.31512275,1.686425831,1.703201492,0.442047306,2.027855613,-0.365663256,1.452657534,-0.077818811,0.859992993,0.8643576,-0.49666658,4.469045142,1.010138352,1.026260796,0.67046995,0.161219117,0.266380898,0.724750412,0.382952852,0.28117401,0.362576122,0.403076951,0.469134657,0.786407607,0.173095021,2.380292865,5.236869457,1.210393325,0.370302805
1400,0.790250853,1.302348518,1.157686505,1.322515631,1.454173425,0.637500979,2.095220977,-0.537672113,1.409457896,-0.491963606,0.564359318,0.574422917,-0.826803152,4.053009224,1.044015236,1.097984983,0.577713632,0.215145884,0.317523273,0.657954787,0.391817761,0.32207201,0.333007522,0.329611451,0.445953657,0.740646207,0.198730478,2.436069442,4.657012507,1.179428992,0.082522805
1500,0.806332801,1.459250201,1.315964713,1.516167771,1.497728275,0.696320679,1.936809685,-0.42096747,1.378707972,-0.495179144,0.692488655,0.595436503,-0.633095223,3.89473044,0.991596883,1.099870046,0.641699996,0.206173484,0.358027698,0.644196662,0.412930761,0.236763725,0.365257122,0.347035618,0.509873769,0.765092707,0.152624592,2.414274249,4.457365594,1.197273325,0.196967805
1600,0.977583084,1.61968054,1.424679982,1.702381271,1.764778875,0.849458406,2.734547712,0.141868101,1.368602343,0.102042889,0.980694105,0.859963349,-0.187592295,4.582468006,1.109788852,1.165809858,0.704654223,0.180270317,0.387973873,0.718549787,0.438447852,0.250957439,0.389027922,0.396086618,0.422686332,0.715365607,0.188816521,2.478045942,5.704527894,1.222191992,0.100950805
1700,1.025719015,1.540073151,1.415047233,1.619652831,1.697791042,0.805253679,2.366234915,-0.011608685,1.333642043,0.041139932,0.931297955,0.783472787,-0.328732866,4.337230289,1.078257236,1.189738546,0.63725745,0.17963215,0.359203986,0.699901912,0.399419942,0.283124439,0.375986322,0.396368451,0.480749857,0.700406807,0.190126564,2.467910018,5.403253832,1.238764992,0.121967805
1800,1.130292619,1.448086006,1.508450189,1.739104911,1.774793408,1.100035366,2.650542529,0.068352244,1.4158071,0.076547813,0.92143908,0.85988051,-0.392952152,4.578076679,1.069486044,1.197512421,0.701930359,0.248285984,0.419194748,0.661831912,0.429750397,0.302984868,0.386771722,0.423418951,0.491960532,0.740039407,0.245456492,2.43444448,5.333908519,1.197309992,0.183720805
1900,0.911710811,1.377659206,1.289500776,1.520131291,1.523749058,0.759359906,2.149456209,-0.059334256,1.4271451,-0.001751921,0.793596043,0.817526995,-0.49692958,4.317640174,1.027225821,1.117192108,0.659673177,0.252416117,0.361876511,0.664527662,0.40484167,0.34632901,0.363367522,0.375905951,0.486904157,0.719099407,0.260365878,2.481196403,4.920228982,1.191445992,0.208020305
2000,0.753112248,1.28734074,1.175216308,1.336773791,1.434148158,0.574465706,1.817233004,-0.463696828,1.132646129,-0.801161649,0.318501993,0.195585373,-0.921653009,3.795668733,0.929702798,1.036453608,0.572919541,0.239839817,0.451929448,0.594012662,0.383373033,0.316356725,0.320923922,0.315291951,0.548385232,0.716246407,0.283928364,2.540356518,4.345576032,1.162687992,0.270282305
2100,0.668083346,1.261714406,1.028634126,1.191880591,1.215969058,0.424201639,1.699393174,-0.666076042,1.182635858,-0.853979406,0.291539543,0.191671201,-0.95152958,3.488226428,0.898106967,1.140507546,0.587818541,0.244016317,0.423006936,0.511528787,0.387434852,0.326898725,0.305126122,0.312532618,0.572597857,0.693011007,0.300526749,2.542669249,3.594637407,1.143558658,0.074393305
2200,0.743204971,1.302147062,1.176674032,1.210012451,1.305901825,0.396099646,1.501370695,-0.418090685,1.29277571,-0.24428664,0.63727283,0.574621471,-0.767320366,3.607615463,0.90416289,1.046263296,0.575859677,0.16776445,0.274955786,0.596774412,0.389203579,0.249051439,0.340966522,0.345911951,0.464827657,0.662867207,0.217239878,2.479055672,3.853648319,1.068052658,0.133825305
2300,0.78261898,1.297774501,1.180850564,1.343980531,1.486113075,0.668934752,2.140689838,-0.213130685,1.245168981,-0.314650444,0.660975643,0.585666192,-0.586178723,3.99447502,1.025082729,1.091430546,0.626872859,0.177433184,0.273782686,0.646564162,0.417842852,0.26463101,0.358117722,0.372790618,0.511668557,0.727186807,0.219762592,2.525624326,4.656081332,1.071303325,0.195529305
2400,0.948670895,1.34907184,1.293843738,1.405581251,1.414942325,0.872353992,2.058437553,-0.193334828,1.347803405,-0.360972216,0.54264983,0.544018282,-0.768875723,3.936776693,0.991840298,1.130133983,0.635319632,0.25046195,0.407150411,0.591249787,0.404785033,0.35081901,0.349055122,0.343335285,0.606286657,0.688966607,0.262903278,2.575913095,4.359622369,1.016329325,0.327426305
2500,0.62128584,1.285251018,1.150814672,1.350741571,1.433376775,0.562684266,1.786241049,-0.505785685,1.098570815,-0.274838121,0.474522405,0.475653295,-0.761779009,3.980119763,0.888035983,0.995294733,0.555533359,0.24389165,0.308993311,0.558677412,0.387263761,0.278794868,0.322011322,0.314653118,0.443224032,0.658618307,0.190483949,2.363347403,4.149554457,1.074644992,0.032675805
2600,0.861218426,1.248635073,1.201256357,1.305493271,1.364391658,0.668318339,1.925025837,-0.358881756,1.458418858,-0.561501654,0.61932468,0.441885402,-0.762499437,3.884823767,1.001605467,1.080980796,0.55511545,0.11269265,0.134998036,0.610980912,0.364087761,0.283920153,0.310822522,0.312885285,0.417327019,0.664221407,0.148763092,2.394804634,4.213526469,1.098600658,0.377805805
2700,0.932850122,1.190306529,1.12856016,1.293404591,1.460193908,0.859029646,2.513601006,-0.076438613,1.173275986,-0.311430078,0.667242605,0.414274983,-0.435602866,4.104319572,0.96242539,1.091790796,0.564298905,0.203582984,0.292288786,0.581984537,0.361213397,0.243626725,0.302325722,0.303849285,0.485219632,0.652618907,0.152526621,2.40984898,4.894964969,1.096077992,0.108389305
2800,0.879755187,1.303493595,1.243037311,1.338908151,1.436584408,0.618799032,2.277550952,-0.082580185,1.3829678,-0.510941378,0.65006658,0.406598267,-0.553113152,3.906713113,0.951141136,1.081852171,0.557228768,0.175109217,0.266020786,0.552077037,0.301588488,0.254373439,0.250276322,0.271922785,0.421342457,0.632115907,0.155502292,2.381956557,4.678940019,1.074575658,0.059956805
2900,1.003374756,1.307621754,1.226091769,1.390122711,1.525640308,0.965854099,2.824948795,0.21352003,1.465416972,0.02934427,1.097229493,0.883057977,-0.198143009,4.231127255,1.03782039,1.207158733,0.565195587,0.097298317,0.257459723,0.636207162,0.358341124,0.229631725,0.312357522,0.305748285,0.475645619,0.663218107,0.172861906,2.440307711,5.259266007,1.134309992,0.111431805
3000,1.166358705,1.393132969,1.350847431,1.496612471,1.711034775,1.249614926,3.098333806,0.718483887,1.487640234,0.55229056,1.274746005,1.010490048,0.125732134,4.736081517,1.11147659,1.220300858,0.593024177,0.16590365,0.317567423,0.621250037,0.364296852,0.276646868,0.297185322,0.316892451,0.418392769,0.652034207,0.160037135,2.471175095,5.780221719,1.147462325,0.087997305
3100,1.123044607,1.387790173,1.394513236,1.610814931,1.679750408,1.162517786,2.55876036,0.68921203,1.308911839,0.607741284,1.254781343,1.096197079,0.244064991,4.93229014,1.010131506,1.123522421,0.570469859,0.193063984,0.346494798,0.554990912,0.347796761,0.258953153,0.296323922,0.312923785,0.510724132,0.691544107,0.202496378,2.526280865,5.568632957,1.103879658,0.030968305
3200,0.887869963,1.306008045,1.060605564,1.157486551,1.270112825,0.809736279,2.401653479,0.63725103,1.385940829,0.287204732,1.05186518,0.865637928,0.358313134,4.090284,0.957649813,1.031571921,0.477526905,0.15719745,0.278452161,0.591402287,0.350294306,0.231707296,0.280065122,0.300567618,0.541710732,0.620048507,0.179333649,2.451824788,4.544835607,1.009307992,0.292831805
3300,0.89055064,1.12143314,1.083104534,1.351567211,1.460043158,0.949441106,2.463244131,0.73994753,1.303079977,0.211261403,1.014064418,0.730905975,0.434026491,4.33957919,0.982888744,1.122846421,0.531952541,0.18466455,0.300743261,0.549431787,0.290196033,0.254754725,0.244046522,0.292516451,0.418845132,0.639344807,0.170190164,2.40620648,4.916574082,0.978849658,-0.065942195
3400,1.018358365,1.04354089,1.068137975,1.290312231,1.239434125,0.670282992,1.941626617,0.534301315,1.36238642,0.09179267,0.937021343,0.782683985,0.426270991,4.126714322,0.908954367,1.033148546,0.441587496,0.201395117,0.265728198,0.556740912,0.312457306,0.241702296,0.258281722,0.272734951,0.465061807,0.595631307,0.187498806,2.424604942,4.543510207,0.961159658,0.261917805
3500,1.004953894,1.156654059,1.038034707,1.244903951,1.395910158,1.124466779,2.580756094,0.821065315,1.204158824,0.575379394,1.03957478,0.876450621,0.574777705,4.344557551,0.988009006,1.053089421,0.456131541,0.17685065,0.313615623,0.515634912,0.313857761,0.238477296,0.258072322,0.300702618,0.445074944,0.603009307,0.185235306,2.517510557,4.722948419,0.977585992,-0.054716695
3600,1.094201635,1.210769384,1.103184101,1.206429931,1.359406158,1.147382086,2.62687599,0.860770315,1.278666196,0.19334166,0.989410893,0.631443196,0.669664991,4.355207924,1.013285536,1.070197421,0.536360905,0.125325784,0.225242336,0.536611412,0.334740942,0.249712868,0.274058322,0.282656451,0.520069032,0.594092307,0.164114135,2.50542498,4.954101382,0.983386325,0.213039805
