"","time","NH","Tropical","SH","Global"
"1",100,1.16462314354884,0.807604076858783,1.05311274720452,1.0463006784171
"2",200,0.908293338344177,0.500553485857509,0.929691119779169,0.799330299565076
"3",300,0.855300980539552,0.459836248307826,0.851613237142973,0.743775087292188
"4",400,1.05357589478191,0.505743488300107,0.810224175149089,0.863449861312719
"5",500,1.05762315860444,0.649285073157076,0.695952612990439,0.885970968699272
"6",600,1.16047713469498,0.600289215977339,0.744132872985306,0.946348897708231
"7",700,0.887785534584777,0.570133728546852,0.690808052107778,0.775184847648471
"8",800,0.975461615151434,0.644330414734997,0.776388422622742,0.852143807686004
"9",900,0.961961043012705,0.683800871912685,0.715391762694249,0.847022281053578
"10",1000,0.96527656412669,0.665409990342497,0.891104215844404,0.85753852811215
"11",1100,0.802933855838257,0.58368878628176,0.867412895748657,0.738279005396491
"12",1200,0.886504425133976,0.51700408716571,0.80121912044036,0.759258851394537
"13",1300,1.13499527739604,0.55096796542537,0.754970465543135,0.907529478532135
"14",1400,1.00468194480445,0.520402261279546,0.806164978801248,0.830016150937016
"15",1500,0.996864280182737,0.572030870539668,0.840301472828505,0.844370539822014
"16",1600,1.35885754444461,0.568084918565947,0.816872225715119,1.04847203672224
"17",1700,1.29895557148961,0.492127252473028,0.898231727472006,1.00024907228864
"18",1800,1.38985641227251,0.490341610876875,0.911682916774767,1.05431984484837
"19",1900,1.22024905585275,0.486079115414324,0.97000714415846,0.96192261007
"20",2000,0.80019409724803,0.383560034998393,1.02718585254954,0.696848250478397
"21",2100,0.659368824107795,0.380315638001963,1.03167506447054,0.615216478292787
"22",2200,0.847072635904389,0.408237951325414,0.893118243804926,0.715675290018106
"23",2300,0.959474538508319,0.444749995758347,0.938833647322058,0.795072682860334
"24",2400,0.955655501263192,0.414787911224811,0.93504110625896,0.784059218492216
"25",2500,0.844534988185819,0.383878527182009,0.916508965680939,0.708923264544847
"26",2600,0.931749564761627,0.388021636509985,0.837759011407927,0.750888143618419
"27",2700,1.01581326076158,0.42759136933478,0.906440777238356,0.818271206498171
"28",2800,0.960114493994928,0.3957420072761,0.848147980250523,0.769798187493542
"29",2900,1.26901324994139,0.400728067881783,0.806980107204976,0.943326460854277
"30",3000,1.48174492492156,0.429131802630531,0.815568669885576,1.07404601121112
"31",3100,1.42208750893438,0.418641400388666,0.831075194485807,1.03836084692615
"32",3200,1.18599106324998,0.385492642401365,0.749648490850753,0.884054726525822
"33",3300,1.24741529493007,0.377836253706241,0.810831983969377,0.923711298344322
"34",3400,1.14995620495709,0.290055149086579,0.826115138454261,0.843708146729843
"35",3500,1.32205898760741,0.254829834348072,0.809925166666802,0.929126261672655
"36",3600,1.26415806580578,0.23045617804904,0.685816169376054,0.87416642501315
"37",3700,1.30959121230152,0.24113413639074,0.712680553913776,0.906218530751721
"38",3800,1.26001388122066,0.271866154935887,0.819477632177725,0.899637320196011
"39",3900,1.24487405339699,0.307381273389639,0.743802475667598,0.893230136017281
"40",4000,1.44313022512012,0.222603888660086,0.708326461635156,0.975894123778685
"41",4100,1.00455858064387,0.244867874894232,0.762642139658485,0.73904095979037
"42",4200,1.12564781845014,0.297527949684722,0.720914851079536,0.819537371877978
"43",4300,1.08671204072045,0.284417800954815,0.767863460492864,0.798276593637473
"44",4400,1.17576917902236,0.324105789619135,0.756477639129568,0.859956678310742
"45",4500,1.1843443061505,0.297404838106748,0.738631627458882,0.854437229096936
"46",4600,1.38749381469416,0.28073295533993,0.639404477683744,0.953389985799291
"47",4700,1.56866550591092,0.33525783900088,0.522990358113818,1.06010403110428
"48",4800,1.22857982221933,0.223696888940618,0.717376870301798,0.854098646277783
"49",4900,1.28705377132367,0.192051640662895,0.635144572909693,0.867893986039181
"50",5000,1.22604478616909,0.142080939122644,0.735001578757416,0.82926359435682
"51",5100,0.954386576160921,0.0778776259305187,0.521450828284407,0.629439211215682
"52",5200,0.892572394060498,0.0916011841188061,0.406331334349011,0.584867214568056
"53",5300,1.0185227165844,0.103198052996906,0.461932360248475,0.666722421022674
"54",5400,0.905628416722298,0.0654685383567903,0.501103636935864,0.595151174228468
"55",5500,0.892699869404872,0.0825663158233036,0.405469812367537,0.581798866918993
"56",5600,1.10265650369642,0.0352537938722642,0.457332601679193,0.692672930936411
"57",5700,1.05191685755946,0.0493037626395182,0.440849601937642,0.666223690097962
"58",5800,1.04206451531728,0.0637896017184834,0.368309339510848,0.656637576344325
"59",5900,1.28118170827377,0.0472820938093813,0.407902095458955,0.79242795346865
"60",6000,1.19162785740654,0.0799652074684732,0.443917151143544,0.755527277970057
"61",6100,0.814053102468836,-0.0120946897400228,0.440741266423274,0.511140910963372
"62",6200,0.725968872209398,-0.0322965967837307,0.408698905010466,0.450798137682042
"63",6300,0.591863742247904,-0.103893226629515,0.256335102673378,0.334231253999584
"64",6400,0.815740365936504,-0.127746565988581,0.193783862323804,0.44718254805005
"65",6500,0.887681401534118,-0.0992957681981154,0.200885886060194,0.497925095956476
"66",6600,0.974087288948893,-0.126145192973669,0.334174163935013,0.554352790477712
"67",6700,1.08275112976582,-0.106356665337636,0.307191475632093,0.619419500626656
"68",6800,0.784966299090579,-0.0480923899850934,0.323967149112978,0.469910222591627
"69",6900,0.647139153703089,-0.0956882574412768,0.278548993469921,0.371100981942096
"70",7000,0.543736938437107,-0.145225491382256,0.340040810518542,0.303882471341342
"71",7100,0.671683961657545,-0.100388361168404,0.348917187895729,0.391696893862093
"72",7200,0.709624348371977,-0.117364180764972,0.386861695171736,0.412566058679728
"73",7300,0.469797976330571,-0.115595882941699,0.392516287897413,0.277080397196028
"74",7400,0.433749189191146,-0.0907321453987353,0.338409690852732,0.257935763396219
"75",7500,0.63770562441977,-0.0704435637869022,0.371777739808341,0.384252054481457
"76",7600,0.744527306652384,-0.0696498725449051,0.277743722078637,0.434430737910635
"77",7700,0.580552827684606,-0.00502368520322541,0.298741754250522,0.36364106948065
"78",7800,0.468656868887451,-0.0487888391200534,0.360141682667642,0.293211942274596
"79",7900,0.410627333668562,-0.15309137640183,0.309596338582293,0.221907649068927
"80",8000,0.203702199355733,-0.206597110650508,0.35871713148308,0.0939493425935372
"81",8100,-0.274666186570331,-0.215204069461728,0.309707730879204,-0.187390487883306
"82",8200,-0.208264554681373,-0.217598519122803,0.277011658919137,-0.154204302168881
"83",8300,0.00624758830134242,-0.204482742681032,0.264539555900456,-0.0293585522305483
"84",8400,-0.195598311221891,-0.182636467750759,0.280448197849175,-0.135617761643288
"85",8500,-0.203680836394561,-0.15285053422616,0.250771401816491,-0.134460226630541
"86",8600,-0.107752389701037,-0.163498281781096,0.213623972932573,-0.0875494894435056
"87",8700,-0.0875480610174771,-0.143594970385761,0.317613158017495,-0.0575647471364704
"88",8800,0.100341043269325,-0.130387131462035,0.233899051347699,0.0437479994946181
"89",8900,0.101785778335696,-0.17550523791558,0.165288609878979,0.0225362360423884
"90",9000,0.47961135338085,-0.109079387524134,0.1954589512291,0.261513582571069
"91",9100,0.41700250774803,-0.141090771794683,-0.0124779853021969,0.191011455779437
"92",9200,0.56279022937014,-0.0673168341468123,0.0604601634077236,0.305854187085385
"93",9300,0.449121944457227,0.00961341406114768,0.0488535844237682,0.264260252664003
"94",9400,0.264138815121833,-0.0342232991556266,0.0546733207244954,0.145891555789321
"95",9500,0.518180433319083,-0.043712643490261,0.0382623812773825,0.285438175624884
"96",9600,0.345562171780654,-0.0137699232730811,0.0259925692335736,0.19495321464754
"97",9700,0.212867743300709,0.0397939316699506,0.106528325520747,0.146566512970441
"98",9800,0.477587148155941,0.0208910912254153,0.120054418020299,0.292517584101649
"99",9900,0.362259201523001,-0.0116641963003981,0.0972634197842639,0.212998556553593
"100",10000,0.459118919297312,0.0348082172599361,0.169145972200899,0.290659384516193
"101",10100,0.340734236763159,0.0755391724887999,0.146519376803545,0.234418902760364
"102",10200,0.496274306218147,0.0354096185391531,0.0882342224886007,0.298622974431484
"103",10300,0.0563111296554998,0.00691794889465017,-0.047418527094644,0.0234623770658824
"104",10400,0.083369945785262,0.0468706884279433,0.0441927176569379,0.0641241152149543
"105",10500,0.19184557948606,0.0663824531736198,0.0720889871397117,0.133660610541741
"106",10600,0.15011407391099,0.0481946833030154,0.0370158214566041,0.0977370200675375
"107",10700,-0.00322893372759622,0.0463783282584689,0.0330096489152958,0.0113508107882346
"108",10800,0.0277319557137585,-0.000647901895487919,-0.149374787046736,-0.0153605315071521
"109",10900,0.127163813175932,0.0658614124132615,-0.167161378755849,0.0621838483516834
"110",11000,-0.121899156932371,0.0471345311349886,-0.059602816260832,-0.0634216421900231
"111",11100,-0.089482529643077,0.086756738812488,-0.23434882746127,-0.0501897388658606
"112",11200,-0.15966736243439,0.0835166388619819,-0.252932129636455,-0.0957890634156876
"113",11300,-0.0862426496778625,0.0781946781753154,-0.317360902341602,-0.0644042675076793
"114",11400,0.0954992508158631,0.169261001871578,-0.389056037293161,0.0584030336963087
"115",11500,-0.0595005449557964,0.177958550120515,-0.45067299793461,-0.0425025958516708
"116",11600,0.0109288730013734,0.235278366122098,-0.331274184021327,0.011480427895871
"117",11700,-0.402200595840461,0.223240378671684,-0.396834171638273,-0.235565039456568
"118",11800,-0.489852844437122,0.222132227000493,-0.31122353094726,-0.255402219791894
"119",11900,-0.744315258350542,0.241164540519417,-0.315540714353264,-0.399135357123926
"120",12000,-0.779419096573196,0.201215686769329,-0.39229082554334,-0.448273868196632
"121",12100,-1.09584910578787,0.179485360646692,-0.368311618568314,-0.639330352579945
"122",12200,-1.30964713042833,0.158936448763613,-0.388669218415037,-0.784261184439624
"123",12300,-1.13369858913114,0.222010212456888,-0.428703073670033,-0.675414128635573
"124",12400,-1.01431201538147,0.215107999030181,-0.438110247075495,-0.613621293254686
"125",12500,-0.855279409022128,0.236788979682111,-0.414088497182867,-0.510226973599019
"126",12600,-0.42472237425785,0.342983890253916,-0.390207837133632,-0.225544614416899
"127",12700,-0.551069234539449,0.373894019894061,-0.413134232765734,-0.271456737256103
"128",12800,-0.282434428463283,0.333561590322527,-0.360724788338655,-0.139743332641036
"129",12900,-0.125008809338321,0.341801596944117,-0.538780596061494,-0.0705648045135309
"130",13000,-0.0949492573494841,0.413545775757332,-0.677874350648364,-0.0518736993568703
"131",13100,-0.00421561774081403,0.456681976257106,-0.800999259987484,0.0247632017788139
"132",13200,-0.00802882112254244,0.455908183498069,-0.800462791424108,0.0176556862290963
"133",13300,-0.147522459028854,0.418853385786574,-0.79146847163814,-0.0520493367882271
"134",13400,-0.186496125860304,0.503533984649605,-0.752586243097308,-0.0215151281275467
"135",13500,-0.265956190288958,0.490778068849946,-0.744272057778369,-0.0660660261922834
"136",13600,-0.295907535986193,0.518976109139689,-0.821608951345944,-0.0817876723922744
"137",13700,-0.499256198751109,0.520222772402235,-0.836672999277559,-0.172315766408581
"138",13800,-0.819235397944764,0.508019867187611,-0.926495893707156,-0.33443608953092
"139",13900,-1.0698440231686,0.325850076382091,-0.959504353602701,-0.555690691713226
"140",14000,-0.869461888675442,0.153005498558802,-1.95477075193404,-0.611229113255377
"141",14100,-0.39705066720566,0.0677237733911265,-2.690304520428,-0.47492670772641
"142",14200,0.587573636614932,0.186973254414732,-2.71019333079769,0.129234413521085
"143",14300,2.06102015192521,0.431329011777388,-1.93794521043033,1.11352871860013
"144",14400,2.08554407778476,0.585071399229038,-0.956528382083598,1.30429193353421
"145",14500,1.47631015324473,0.538878759762059,-0.922530614740782,0.932327628825694
"146",14600,0.380492081418552,0.464716448615928,-0.832259287008518,0.292615441722584
"147",14700,-1.05879518537199,0.306433231501557,-0.654933201679886,-0.572107553377745
"148",14800,-1.66977117764198,0.24897113733356,-0.671721205592795,-0.975090135232302
"149",14900,-1.84535537608595,0.314018825274929,-0.73690600544492,-1.05731732373117
"150",15000,-1.98529298753824,0.413155682611376,-0.787935275601402,-1.07435943951309
"151",15100,-1.42004251045736,0.478796807832062,-0.790682008212608,-0.77233283567825
"152",15200,-1.59198353578278,0.427321894242784,-0.893983200810311,-0.911096547810401
"153",15300,-1.76279185573969,0.366389804164282,-0.910163045952013,-1.04046621984968
"154",15400,-1.96268477633362,0.334282414236912,-0.957766166053404,-1.17253373397785
"155",15500,-2.05356673617814,0.289023076126126,-0.985617129476357,-1.26870711096945
"156",15600,-2.47405948806477,0.246795195872737,-1.14462384315038,-1.49090757967659
"157",15700,-2.59690219943016,0.259565999176073,-1.17089377952477,-1.56428444142466
"158",15800,-2.58610259172741,0.344464894067651,-1.27170589823187,-1.55417643021094
"159",15900,-2.63602855081485,0.322941277606696,-1.3031817484968,-1.62081646298052
"160",16000,-2.83032648084484,0.298217561061912,-1.28842767707698,-1.73206656619282
"161",16100,-2.9942998963722,0.227652775214634,-1.43590062607931,-1.84627756397654
"162",16200,-3.17999286034092,0.23907085951968,-1.53729063925995,-1.93060960694127
"163",16300,-3.27190954001186,0.249275121006455,-1.56575069609453,-1.96454368852579
"164",16400,-3.42674283925703,0.208736067047829,-1.72534206598272,-2.07854306600781
"165",16500,-3.60278360828017,0.129855810788916,-1.70694106855585,-2.22295488609158
"166",16600,-3.81054556158243,0.210834605310988,-1.71251721285075,-2.2857836431335
"167",16700,-3.92695674889611,0.275109919699509,-1.82220406889117,-2.31644279264339
"168",16800,-4.05336371371635,0.254714021836676,-1.8965675093434,-2.40965782004194
"169",16900,-4.23705784449268,0.247727801019099,-1.95387073505185,-2.51829591741428
"170",17000,-4.19183491503381,0.288916581405085,-2.04695599114786,-2.45036770857836
"171",17100,-4.4155832199616,0.259493468790491,-2.18737179015708,-2.58372414027512
"172",17200,-4.39991377608043,0.257448019344299,-2.24231505302612,-2.58541579747263
"173",17300,-4.15729660141248,0.294428189376997,-2.39806274613137,-2.44583763614541
"174",17400,-4.00762150603384,0.408504817073435,-2.50477072829397,-2.31107947139278
"175",17500,-3.71854080211599,0.445120741259683,-2.54785652704645,-2.12114023411223
"176",17600,-3.78655305166613,0.452848143454757,-2.55180901067513,-2.14560122850279
"177",17700,-3.55037717459979,0.405638741043145,-2.49465641895486,-2.02492621357139
"178",17800,-3.47934600218549,0.394456037791426,-2.62940423221341,-2.00971008863754
"179",17900,-3.26096072508337,0.392662496898742,-2.80767956155212,-1.92519758613975
"180",18000,-3.02659242660826,0.394596899882324,-2.76976932518492,-1.78718899579442
"181",18100,-2.87290431353516,0.404428285356712,-2.84904662141919,-1.71624373243826
"182",18200,-2.768976091242,0.428569280535463,-2.98337065562037,-1.65939576447216
"183",18300,-2.62423065537446,0.464816676259684,-2.83912391538637,-1.548399185529
"184",18400,-2.44234886823663,0.509066045934603,-2.70834359787634,-1.40366144395883
"185",18500,-2.83511572456542,0.443667381348959,-2.65888990178247,-1.60870232813745
"186",18600,-3.15420159373219,0.418676880649674,-2.88544800013285,-1.78712866651482
"187",18700,-3.012501482186,0.453907283466158,-2.62377405762607,-1.69595313664075
