u_id,group_id,lat,lon,sitename,filename,elevation,country,gcmd_location,author,pub_year,title,journal,archive_type,min_yr,max_yr,proxy,num_record,num_control,url,process_group,resolution,collected,shakun,marcott,new,filename,uploader,source,proxy_category
17,17,-7.1383,39.8408,GeoB12615_4,GeoB12615_4.Romahn.2014.lpd,-446,Indian Ocean,Indian Ocean,"Romahn, S.; Mackensen, A.; Groeneveld, J.; P _tzold, J.",2014,Deglacial intermediate water reorganization: New evidence from the Indian Ocean,Climate of the Past,MarineSediment,766,37604,Mg/Ca,139,5,10.1594/PANGAEA.829471,wave3,265.0215827,NA,NA,NA,NA,GeoB12615_4.Romahn.2014.lpd.csv,LipD,LipD,Mg/Ca
18,18,-23.315,12.3767,GeoB1711_4,GeoB1711_4.Kirst.1999.lpd,-1967,Atlantic Ocean>South Atlantic Ocean,Atlantic Ocean>South Atlantic Ocean,"Kirst, Georg J.; Schneider, Ralph R.; M _ller, Peter J.; von Storch, Isabel; Wefer, Gerold",1999,Late Quaternary temperature variability in the Benguela Current system derived from alkenones,Quaternary Research,MarineSediment,400,135000,alkenone,213,5,10.1594/PANGAEA.58042,wave3,631.9248826,NA,NA,NA,NA,GeoB1711_4.Kirst.1999.lpd.csv,LipD,LipD,alkenone
19,19,-2.8147,144.4997,GeoB17419_1,GeoB17419_1.Hollstein.2018.lpd,-1883,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Hollstein, Martina; Mohtadi, Mahyar; Rosenthal, Yair; Prange, Matthias; Oppo, Delia W.; Mart _nez Mendez, Gema; Tachikawa, Kazuyo; Moffa Sanchez, Paola; Steinke, Stephan; Hebbeln, Dierk",2018,"Variations in Western Pacific Warm Pool surface and thermocline conditions over the past 110,000 years: Forcing mechanisms and implications for the glacial Walker circulation",Quaternary Science Reviews,MarineSediment,801.8,111350,d18O,217,5,10.1594/PANGAEA.899182,wave3,509.4387097,NA,NA,NA,NA,GeoB17419_1.Hollstein.2018.lpd.csv,LipD,LipD,d18O
20,20,-3.6667,-37.7167,GeoB3104_1,GeoB3104_1.Arz.1998.lpd,-767,Atlantic Ocean>South Atlantic Ocean,Atlantic Ocean>South Atlantic Ocean,"Arz, Helge W.; P _tzold, J _rgen; Wefer, Gerold",1998,Correlated millennial-scale changes in surface hydrography and terrigenous sediment yield inferred from Last-Glacial marine deposits off northeastern Brazil,Quaternary Research,MarineSediment,1390,48170,d18O,201,5,10.1594/PANGAEA.81649,wave3,232.7363184,NA,NA,NA,NA,GeoB3104_1.Arz.1998.lpd.csv,LipD,LipD,d18O
26,26,20.2133,-18.4517,GeoB7926_2,GeoB7926_2.Kim.2012.lpd,-2500,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Kim, Jung-Hyun; Romero, Oscar E.; Lohmann, Gerrit; Donner, Barbara; Laepple, Thomas; Haam, Eddie; Sinninghe Damste, Jaap S.",2012,Pronounced subsurface cooling of North Atlantic waters off northwest Africa during Dansgaard   Oeschger interstadials,Earth and Planetary Science Letters,MarineSediment,226.61,48493.28,alkenone,274,5,10.1594/PANGAEA.861253,wave3,176.1557299,NA,NA,NA,NA,GeoB7926_2.Kim.2012.lpd.csv,LipD,LipD,alkenone
29,29,55.26,-26.725,GIK17049_6,GIK17049_6.Jung.1996.lpd,-3331,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Jung, Simon J.A.",1996,Wassermassenaustausch zwischen NE-Atlantik und Nordmeer w _hrend der letzten 300.000/80.000 Jahre im Abbild stabiler 0- und C-isotope,"Berichte aus dem Sonderforschungsbereich 313, Ver _nderungen der Umwelt - Der Nordliche Nordatlantik",MarineSediment,776,141157,d18O,230,5,10.1594/PANGAEA.136418,wave3,610.3521739,NA,NA,NA,NA,GIK17049_6.Jung.1996.lpd.csv,LipD,LipD,d18O
30,30,56.1633,-31.99,GIK17051_3,GIK17051_3.Jung.1996.lpd,-2295,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Jung, Simon J.A.",1996,Wassermassenaustausch zwischen NE-Atlantik und Nordmeer w _hrend der letzten 300.000/80.000 Jahre im Abbild stabiler 0- und C-isotope,"Berichte aus dem Sonderforschungsbereich 313, Ver _nderungen der Umwelt - Der Nordliche Nordatlantik",MarineSediment,859,84220,d18O,217,5,10.1594/PANGAEA.136420,wave3,384.1520737,NA,NA,NA,NA,GIK17051_3.Jung.1996.lpd.csv,LipD,LipD,d18O
32,32,-3.6298,119.36,GiK18515_3,GiK18515_3.lpd,-688,Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas,Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas,"Schroder, Jan F.; Holbourn, Ann; Kuhnt, Wolfgang; K _ssner, Kevin",2016,Variations in sea surface hydrology in the southern Makassar Strait over the past 26 kyr,Quaternary Science Reviews,MarineSediment,214,26421,Mg/Ca,335,10,10.1594/PANGAEA.868615,wave3,78.22985075,NA,NA,NA,NA,GiK18515_3.lpd.csv,LipD,LipD,Mg/Ca
33,33,74.9981,13.9685,GIK23258_2,GIK23258_2.Martrat.2003.lpd,-1768,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,"Martrat, Belen; Grimalt, Joan O.; Villanueva, Joan; van Kreveld, Shirley; Sarnthein, Michael",2003,"Climatic dependence of the organic matter contributions in the north eastern Norwegian Sea over the last 15,000 years",Organic Geochemistry,MarineSediment,760,14120,alkenone,387,5,10.1594/PANGAEA.780465,wave3,34.52196382,NA,NA,NA,NA,GIK23258_2.Martrat.2003.lpd.csv,LipD,LipD,alkenone
34,34,58.53,7.73,Grostjorn,Grostjorn.Eide.2009.lpd,180,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-47,8914,pollen,57,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,157.2105263,NA,NA,NA,NA,Grostjorn.Eide.2009.lpd.csv,LipD,LipD,pollen
35,35,72.6947,-157.52,HLY0501,HLY0501.deVernal.2013.lpd,415,Arctic Ocean,Arctic Ocean,"de Vernal, Anne; Hillaire-Marcel, Claude; Rochon, Andre; Frechette, Bianca; Henry, Maryse; Solignac, Sandrine; Bonnet, Sophie",2013,"Dinocyst-based reconstructions of sea ice cover concentration during the Holocene in the Arctic Ocean, the northern North Atlantic Ocean and its adjacent seas",Quaternary Science Reviews,MarineSediment,225.35,8209.4,dinocyst,73,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,109.3705479,NA,NA,NA,NA,HLY0501.deVernal.2013.lpd.csv,LipD,LipD,dinocyst
36,36,58.3677,-57.507,HU84,HU84.deVernal.2013.lpd,-2853,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"de Vernal, Anne; Hillaire-Marcel, Claude; Rochon, Andre; Frechette, Bianca; Henry, Maryse; Solignac, Sandrine; Bonnet, Sophie",2013,"Dinocyst-based reconstructions of sea ice cover concentration during the Holocene in the Arctic Ocean, the northern North Atlantic Ocean and its adjacent seas",Quaternary Science Reviews,MarineSediment,1968.1,8296.5,dinocyst,93,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,68.04731183,NA,NA,NA,NA,HU84.deVernal.2013.lpd.csv,LipD,LipD,dinocyst
37,37,58.2098,-48.3733,HU90,HU90.deVernal.2013.lpd,-3380,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"de Vernal, Anne; Hillaire-Marcel, Claude; Rochon, Andre; Frechette, Bianca; Henry, Maryse; Solignac, Sandrine; Bonnet, Sophie",2013,"Dinocyst-based reconstructions of sea ice cover concentration during the Holocene in the Arctic Ocean, the northern North Atlantic Ocean and its adjacent seas",Quaternary Science Reviews,MarineSediment,1361.5,11918.6,dinocyst,231,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,45.7017316,NA,NA,NA,NA,HU90.deVernal.2013.lpd.csv,LipD,LipD,dinocyst
38,38,77.2667,-74.3317,HU91-039-008,HU91-039-008.Levac.2001.lpd,-663,Arctic Ocean,Arctic Ocean,"Levac, Elisabeth; Vernal, Anne De; Blake Jr., Weston",2001,Sea-surface conditions in northernmost Baffin Bay during the Holocene: palynological evidence,Journal of Quaternary Science,MarineSediment,1548.8,6755.8,dinocyst,41,17,www.ncdc.noaa.gov/paleo/study/15444,wave3,127,NA,NA,NA,NA,HU91-039-008.Levac.2001.lpd.csv,LipD,LipD,dinocyst
39,39,61.9,-145.6667,Hudson-AK,Hudson.Clegg.2011.lpd,657,North America>United States Of America>Alaska,North America>United States Of America>Alaska,"Clegg, B. F.; Kelly, R.; Clarke, G. H.; Walker, I. R.; Hu, F. S.",2011,Nonlinear response of summer temperature to Holocene insolation forcing in Alaska,Proceedings of the National Academy of Sciences,LakeSediment,-27.942,9574,chironomid,83,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,115.6860482,NA,NA,NA,NA,Hudson.Clegg.2011.lpd.csv,LipD,LipD,chironomid
40,40,71.99,14.36,JM01-1199 and T88-2 splice,JM01-1199.Hald.2007.lpd,-1500,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,"Hald, Morten; Andersson, Carin; Ebbesen, Hanne; Jansen, Eystein; Klitgaard-Kristensen, Dorthe; Risebrobakken, Bj  rg; Salomonsen, Gaute R.; Sarnthein, Michael; Sejrup, Hans Petter; Telford, Richard J.",2007,Variations in temperature and extent of Atlantic Water in the northern North Atlantic during the Holocene,Quaternary Science Reviews,MarineSediment,-50.1,13354.931,foraminifera,178,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,75.30916292,NA,NA,NA,NA,JM01-1199.Hald.2007.lpd.csv,LipD,LipD,foraminifera
41,41,68.1,-29.35,JM96-1207,JM96-1207.Solignac.2013.lpd,-404,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Solignac, Sandrine; Giraudeau, Jacques; de Vernal, Anne",2006,Holocene sea surface conditions in the western North Atlantic: Spatial and temporal heterogeneities,Paleoceanography,MarineSediment,456.93,10589,dinocyst,101,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,100.3175248,NA,NA,NA,NA,JM96-1207.Solignac.2013.lpd.csv,LipD,LipD,dinocyst
42,42,62.02,10.37,Kinnshaugen,Kinnshaugen.Seppa.2009.lpd,591,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-23,8829,pollen,48,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,184.4166667,NA,NA,NA,NA,Kinnshaugen.Seppa.2009.lpd.csv,LipD,LipD,pollen
43,43,26.374,-92.027,KNR159_JPC26,KNR159_JPC26.Antonarakou.2015.lpd,-1995,Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico,Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico,"Antonarakou, A.; Kontakiotis, G.; Mortyn, P.G.; Drinia, H.; Sprovieri, M.; Besiou, E.; Tripsanas, E.",2015,"Biotic and geochemical (   18 O,    13 C, Mg/Ca, Ba/Ca) responses of Globigerinoides ruber morphotypes to upper water column variations during the last deglaciation, Gulf of Mexico",Geochimica et Cosmochimica Acta,MarineSediment,510,21130,Mg/Ca,64,5,this compilation,wave3,322.1875,NA,NA,NA,NA,KNR159_JPC26.Antonarakou.2015.lpd.csv,LipD,LipD,Mg/Ca
45,45,24.4117,-83.219,KNR166_JPC51,KNR166_JPC51.Schmidt.2012.lpd,-198,Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico,Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico,"Schmidt, Matthew W.; Weinlein, William A.; Marcantonio, Franco; Lynch-Stieglitz, Jean",2012,Solar forcing of Florida Straits surface salinity during the early Holocene,Paleoceanography,MarineSediment,1488,9149,Mg/Ca,164,5,www.ncdc.noaa.gov/paleo/study/13608,wave3,46.71341463,NA,NA,NA,NA,KNR166_JPC51.Schmidt.2012.lpd.csv,LipD,LipD,Mg/Ca
46,46,-3.7492,-81.1342,KNR195_5_CDH23,KNR195_5_CDH23.Bova.2015.lpd,-370,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Bova, Samantha C.; Herbert, Timothy; Rosenthal, Yair; Kalansky, Julie; Altabet, Mark; Chazen, Caitlin; Mojarro, Angel; Zech, Jana",2015,Links between eastern equatorial Pacific stratification and atmospheric CO2 rise during the last deglaciation,Paleoceanography,MarineSediment,1273.14,14093.53,alkenone,570,5,www.ncdc.noaa.gov/paleo/study/19684,wave3,22.49191228,NA,NA,NA,NA,KNR195_5_CDH23.Bova.2015.lpd.csv,LipD,LipD,alkenone
