u_id,group_id,lat,lon,sitename,filename,elevation,country,gcmd_location,author,pub_year,title,journal,archive_type,min_yr,max_yr,proxy,num_record,num_control,url,process_group,resolution,collected,shakun,marcott,new,filename,uploader,source,proxy_category
139,17,-77.3167,39.67,Dome Fuji,DomeF.Uemura.2018.lpd,3810,Antarctica,Antarctica,"Parrenin, F.; Dreyfus, G.; Durand, G.; Fujita, S.; Gagliardini, O.; Gillet, F.; Jouzel, J.; Kawamura, K.; Lhomme, N.; Masson-Delmotte, V.; Ritz, C.; Schwander, J.; Shoji, H.; Uemura, R.; Watanabe, O.; Yoshida, N.",2007,"1-D-ice flow modelling at EPICA Dome C and Dome Fuji, East Antarctica",Climate of the Past,GlacierIce,-45,129960.07,d18O,7536,NA,www.ncdc.noaa.gov/paleo/study/23371,wave2,17.25120356,NA,NA,NA,NA,DomeF.Uemura.2018.lpd.csv,LipD,LipD,d18O
141,19,-2.225,156.998,ERDC_092BX,ERDC_092BX.Palmer.2003.lpd,-1598,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Palmer, M. R.",2003,"A 23,000-year record of surface water pH and PCO2 in the western equatorial Pacific Ocean",Science,MarineSediment,1100,23200,Mg/Ca,28,5,this compilation,wave2,789.2857143,NA,NA,NA,NA,ERDC_092BX.Palmer.2003.lpd.csv,LipD,LipD,Mg/Ca
142,20,62.55,-153.63,Farewell Lake,Farewell.Hu.1998.lpd,230,North America>United States Of America>Alaska,North America>United States Of America>Alaska,"Hu, Feng Sheng; Ito, Emi; Brubaker, Linda B.; Anderson, Patricia M.",1998,Ostracode geochemical record of Holocene climatic change and implications for vegetational response in the northwestern Alaska Range,Quaternary Research,LakeSediment,-49.971,12517.308,NA,0,15,www.ncdc.noaa.gov/paleo/study/15444,wave2,#DIV/0!,NA,NA,NA,NA,Farewell.Hu.1998.lpd.csv,LipD,LipD,others
143,21,59.67,7.55,Flotatjonn,Flotatjonn.Seppa.2009.lpd,890,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-43.5,9020.71,pollen,43,15,www.ncdc.noaa.gov/paleo/study/15444,wave2,210.7955814,NA,NA,NA,NA,Flotatjonn.Seppa.2009.lpd.csv,LipD,LipD,pollen
144,22,68.47,17.75,Gammelheimvatnet,Gammelheimvatnet.Seppa.2009.lpd,290,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-42.16,8968.1,pollen,74,15,www.ncdc.noaa.gov/paleo/study/15444,wave2,121.7602703,NA,NA,NA,NA,Gammelheimvatnet.Seppa.2009.lpd.csv,LipD,LipD,pollen
150,28,37.999,-31.1283,GEOFAR_KF22,GEOFAR_KF16_MgCa.Repschlager.2016.lpd,-3050,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Schwab, C.; Kinkel, H.; Weinelt, M.; Repschl _ger, J.",2012,Coccolithophore paleoproductivity and ecology response to deglacial and Holocene changes in the Azores Current system,Paleoceanography,MarineSediment,524,11258,Mg/Ca,98,8,10.1594/PANGAEA.824858;10.1594/PANGAEA.868105,wave2,109.5306122,NA,NA,NA,NA,GEOFAR_KF16_MgCa.Repschlager.2016.lpd.csv,LipD,LipD,Mg/Ca
151,29,72.16,-155.51,GGC19,GGC19.Farmer.2011.lpd,-369,Arctic Ocean,Arctic Ocean,"Farmer, Jesse R.; Cronin, Thomas M.; de Vernal, Anne; Dwyer, Gary S.; Keigwin, Lloyd D.; Thunell, Robert C.",2011,Western Arctic Ocean temperature variability during the last 8000 years,Geophysical Research Letters,MarineSediment,52,6660,NA,88,17,www.ncdc.noaa.gov/paleo/study/15444,wave2,75.09090909,NA,NA,NA,NA,GGC19.Farmer.2011.lpd.csv,LipD,LipD,others
152,30,-32.75,-72.0333,GIK17748,GIK17748-2.Kim.2002.lpd,-2545,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Kim, Jung-Hyun; Schneider, Ralph R.; Hebbeln, Dierk; M _ller, Peter J.; Wefer, Gerold",2002,Last deglacial sea-surface temperature evolution in the Southeast Pacific compared to climate changes on the South American continent,Quaternary Science Reviews,MarineSediment,1080,16070,alkenone,54,13,this compilation,wave2,277.5925926,NA,NA,NA,NA,GIK17748-2.Kim.2002.lpd.csv,LipD,LipD,alkenone
155,33,60.08,15.83,Gilltjarnen,Gilltjarnen.Antonsson.2006.lpd,172,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Antonsson, Karin; Brooks, Stephen J.; Sepp _, Heikki; Telford, Richard J.; Birks, H. John B.",2006,"Quantitative palaeotemperature records inferred from fossil pollen and chironomid assemblages from Lake Gilltj _rnen, northern central Sweden",Journal of Quaternary Science,LakeSediment,-49.974,10706.78,chironomid,57,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,188.7149825,NA,NA,NA,NA,Gilltjarnen.Antonsson.2006.lpd.csv,LipD,LipD,chironomid
156,34,72.6,-38.5,GISP2,GISP2.Kobashi.2017.lpd,3200,North America>Greenland,North America>Greenland,"Kobashi, Takuro; Severinghaus, Jeffrey P.; Kawamura, Kenji",2008,"Argon and nitrogen isotopes of trapped air in the GISP2 ice core during the Holocene epoch (0   11,500 B.P.): Methodology and implications for gas loss processes",Geochimica et Cosmochimica Acta,GlacierIce,-43,11512,gas,11556,NA,www.ncdc.noaa.gov/paleo/study/22057,wave2,0.999913465,NA,NA,NA,NA,GISP2.Kobashi.2017.lpd.csv,LipD,LipD,gas
157,35,59.83,16.53,Gloppsjon,Gloppsjon.Seppa.2009.lpd,198,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,0,8971.748,pollen,73,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,122.9006575,NA,NA,NA,NA,Gloppsjon.Seppa.2009.lpd.csv,LipD,LipD,pollen
158,36,71.04,28.17,Gunnarsfjorden,Gunnarsfjorden.Allen.2007.lpd,78,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Allen, Judy R.M.; Long, Antony J.; Ottley, Chris J.; Graham Pearson, D.; Huntley, Brian",2007,Holocene climate variability in northernmost Europe,Quaternary Science Reviews,LakeSediment,-39.756,9124.107,pollen,104,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,88.11406731,NA,NA,NA,NA,Gunnarsfjorden.Allen.2007.lpd.csv,LipD,LipD,pollen
159,37,60.03,-129.02,Hail Lake,Hail.Cwynar.1995.lpd,690,North America>Canada>Yukon Territory,North America>Canada>Yukon Territory,"Cwynar, Les C.; Spear, Ray W.",1995,Paleovegetation and paleoclimatic changes in the Yukon at 6 ka BP,Geographie physique et Quaternaire,LakeSediment,67,11334,pollen,84,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,134.1309524,NA,NA,NA,NA,Hail.Cwynar.1995.lpd.csv,LipD,LipD,pollen
160,38,61.5,-146.2,Hallet Lake,Hallet.McKay.2009.lpd,1128,North America>United States Of America>Alaska,North America>United States Of America>Alaska,"McKay, Nicholas P.; Kaufman, Darrell S.",2009,"Holocene climate and glacier variability at Hallet and Greyling Lakes, Chugach Mountains, south-central Alaska",Journal of Paleolimnology,LakeSediment,-52,7913,NA,NA,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,#VALUE!,NA,NA,NA,NA,Hallet.McKay.2009.lpd.csv,LipD,LipD,others
161,39,60.83,10.88,Haugtjern,Haugtjern.Eide.2009.lpd,338,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-23,8959,pollen,67,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,134.0597015,NA,NA,NA,NA,Haugtjern.Eide.2009.lpd.csv,LipD,LipD,pollen
162,40,76.433,-18.767,Hjort,Hjort.Schmidt.2011.lpd,114,North America>Greenland,North America>Greenland,"Schmidt, Steffi; Wagner, Bernd; Heiri, Oliver; Klug, Martin; Bennike, Ole; Melles, Martin",2011,chironomid as indicators of the Holocene climatic and environmental history of two lakes in northeast Greenland,Boreas,LakeSediment,488,9773,NA,0,16,www.ncdc.noaa.gov/paleo/study/15444,wave2,#DIV/0!,NA,NA,NA,NA,Hjort.Schmidt.2011.lpd.csv,LipD,LipD,others
163,41,81.6214,-63.2578,HLY03_05GC,HLY03_05GC.Mohtadi.2008.lpd,-797,Arctic Ocean,Arctic Ocean,"Mohtadi, Mahyar; Rossel, Pamela; Lange, Carina B.; Pantoja, Silvio; Boning, Philipp; Repeta, Daniel J.; Grunwald, Maik; Lamy, Frank; Hebbeln, Dierk; Brumsack, Hans-J _rgen",2008,Deglacial pattern of circulation and marine productivity in the upwelling region off central-south Chile,Earth and Planetary Science Letters,MarineSediment,-10.563,10277,d18O,38,5,10.1594/PANGAEA.733242,wave2,270.7253421,NA,NA,NA,NA,HLY03_05GC.Mohtadi.2008.lpd.csv,LipD,LipD,d18O
164,42,59.83,6.98,Holebudalen,Holebudalen.Seppa.2009.lpd,1144,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-9.54,8928.89,NA,66,19,www.ncdc.noaa.gov/paleo/study/15444,wave2,135.4307576,NA,NA,NA,NA,Holebudalen.Seppa.2009.lpd.csv,LipD,LipD,others
165,43,64.63,-138.4,Honeymoon,Honeymoon.Cwynar.1991.lpd,1160,North America>Canada>Yukon Territory,North America>Canada>Yukon Territory,"Cwynar, Les C.; Spear, Ray W.",1991,Reversion of forest to tundra in the central Yukon,Ecology,LakeSediment,17,10795,pollen,71,17,10.21233/N33Q7V,wave2,151.8028169,NA,NA,NA,NA,Honeymoon.Cwynar.1991.lpd.csv,LipD,LipD,pollen
166,44,42.9783,-55.2483,HU73_031_7,HU73_031_7.Keigwin.1995.lpd,-4055,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Keigwin, L. D.; Jones, G. A.",1995,The marine record of deglaciation from the continental margin off Nova Scotia,Paleoceanography,MarineSediment,770,12400,d18O,60,5,10.1594/PANGAEA.51942,wave2,193.8333333,NA,NA,NA,NA,HU73_031_7.Keigwin.1995.lpd.csv,LipD,LipD,d18O
167,45,54.6165,-56.1767,HU87033_87017PC,HU87033_87017PC.Andrews.1999.lpd,-514,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Andrews, J. T.; Keigwin, L.; Hall, F.; Jennings, Anne E.",1999,"Abrupt deglaciation events and Holocene palaeoceanography from high-resolution cores, Cartwright Saddle, Labrador Shelf, Canada",Journal of Quaternary Science,MarineSediment,340,11522,d18O,52,5,www.ncdc.noaa.gov/paleo/study/5919,wave2,215.0384615,NA,NA,NA,NA,HU87033_87017PC.Andrews.1999.lpd.csv,LipD,LipD,d18O
168,46,54.7952,-56.0583,HU87033_87018PC,HU87033_87018PC.Andrews.1999.lpd,-460,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Andrews, J. T.; Keigwin, L.; Hall, F.; Jennings, Anne E.",1999,"Abrupt deglaciation events and Holocene palaeoceanography from high-resolution cores, Cartwright Saddle, Labrador Shelf, Canada",Journal of Quaternary Science,MarineSediment,280,9008,d18O,19,5,www.ncdc.noaa.gov/paleo/study/5919,wave2,459.3684211,NA,NA,NA,NA,HU87033_87018PC.Andrews.1999.lpd.csv,LipD,LipD,d18O
169,47,58.2098,-48.3733,HU90_013_013,HU90_013_013.Hillaire-Marcel.1994.lpd,-3380,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Hillaire-Marcel, C.; Vernal, A. de; Bilodeau, G.; Wu, G.",1994,"Isotope stratigraphy, sedimentation rates, deep circulation, and carbonate events in the Labrador Sea during the last \textbackslashtextbackslashtextasciitilde 200 ka",Canadian Journal of Earth Sciences,MarineSediment,1782,50174,d18O,168,5,10.1594/PANGAEA.106533,wave2,288.047619,NA,NA,NA,NA,HU90_013_013.Hillaire-Marcel.1994.lpd.csv,LipD,LipD,d18O
170,48,61,-45.43,Igaliku,Igaliku.Massa.2012.lpd,30,North America>Greenland,North America>Greenland,"Massa, Charly; Perren, Bianca B.; Gauthier,   milie; Bichet, Vincent; Petit, Christophe; Richard, Herve",2012,"A multiproxy evaluation of Holocene environmental change from Lake Igaliku, south Greenland",Journal of Paleolimnology,LakeSediment,-51.2,9527,NA,0,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,#DIV/0!,NA,NA,NA,NA,Igaliku.Massa.2012.lpd.csv,LipD,LipD,others
173,51,59.77,7.43,Isbenttjonn,Isbenttjonn.Seppa.2009.lpd,787,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-43.5,8890.1,pollen,58,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,154.0275862,NA,NA,NA,NA,Isbenttjonn.Seppa.2009.lpd.csv,LipD,LipD,pollen
174,52,69.9,-95.07,JR01,JR01.Fortin.2017.lpd,120,North America>Canada>Nunavut,North America>Canada>Nunavut,"Zabenskie, Susan; Gajewski, Konrad",2007,"Post-glacial climatic change on Boothia Peninsula, Nunavut, Canada",Quaternary Research,LakeSediment,-49,6956,pollen,57,7,www.ncdc.noaa.gov/paleo/study/15444,wave2,122.8947368,NA,NA,NA,NA,JR01.Fortin.2017.lpd.csv,LipD,LipD,pollen
175,53,-53.013,-58.0405,JR244_GC528,JR244_GC528.Roberts.2016.lpd,-598,Atlantic Ocean>South Atlantic Ocean,Atlantic Ocean>South Atlantic Ocean,"Roberts, Jenny; Gottschalk, Julia; Skinner, Luke C.; Peck, Victoria L.; Kender, Sev; Elderfield, Henry; Waelbroeck, Claire; V  zquez Riveiros, Natalia; Hodell, David A.",2016,Evolution of South Atlantic density and chemical stratification across the last deglaciation,Proceedings of the National Academy of Sciences,MarineSediment,1000,25440,alkenone,87,5,www.ncdc.noaa.gov/paleo/study/2569,wave2,280.9195402,NA,NA,NA,NA,JR244_GC528.Roberts.2016.lpd.csv,LipD,LipD,alkenone
177,55,58.7347,-65.9342,K2,K2.Fallu.2005.lpd,167,North America>Canada>Quebec,North America>Canada>Quebec,"Fallu, Marie-Andree; Pienitz, Reinhard; Walker, Ian R.; Lavoie, Martin",2005,"Paleolimnology of a shrub-tundra lake and response of aquatic and terrestrial indicators to climatic change in arctic Quebec, Canada","Palaeogeography, Palaeoclimatology, Palaeoecology",LakeSediment,-48,6717.176,chironomid,99,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,68.33511111,NA,NA,NA,NA,K2.Fallu.2005.lpd.csv,LipD,LipD,chironomid
178,56,61.8211,16.4044,Klotjaernen,klotjarnen.Seppa.2009.lpd,235,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-48.188,8942.028,pollen,104,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,86.44438462,NA,NA,NA,NA,klotjarnen.Seppa.2009.lpd.csv,LipD,LipD,pollen
180,58,56.2333,-27.65,KNR166_14_11JPC,KNR166_14_11JPC.Elmore.2015.lpd,-2707,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Elmore, A.C.; Wright, J.D.; Southon, J.",2015,Continued meltwater influence on North Atlantic Deep Water instabilities during the early Holocene,Marine Geology,MarineSediment,665,13397,d18O,122,5,www.ncdc.noaa.gov/paleo/study/17536,wave2,104.3606557,NA,NA,NA,NA,KNR166_14_11JPC.Elmore.2015.lpd.csv,LipD,LipD,d18O
181,59,68.8,35.32,KP2,KP2.Seppa.2009.lpd,131,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,0,8997,pollen,62,15,this compilation,wave2,145.1129032,NA,NA,NA,NA,KP2.Seppa.2009.lpd.csv,LipD,LipD,pollen
182,60,41,140.7667,KT05_7_PC_02,KT05_7_PC_02.Kawahata.2009.lpd,-61,Pacific Ocean>North Pacific Ocean>Sea Of Japan,Pacific Ocean>North Pacific Ocean>Sea Of Japan,"Kawahata, Hodaka; Yamamoto, Hisashi; Ohkushi, Ken'ichi; Yokoyama, Yusuke; Kimoto, Katsunori; Ohshima, Hideki; Matsuzaki, Hiroyuki",2009,Changes of environments and human activity at the Sannai-Maruyama ruins in Japan during the mid-Holocene Hypsithermal climatic interval,Quaternary Science Reviews,MarineSediment,914,10280,alkenone,83,10,10.1594/PANGAEA.705420,wave2,112.8433735,NA,NA,NA,NA,KT05_7_PC_02.Kawahata.2009.lpd.csv,LipD,LipD,alkenone
183,61,60.275,-136.182,Kusawa,Kusawa.Chakraborty.2010.lpd,671,North America>Canada>Yukon Territory,North America>Canada>Yukon Territory,"Chakraborty, Krish; Finkelstein, Sarah A.; Desloges, Joseph R.; Chow, Nicole A.",2010,"Holocene paleoenvironmental changes inferred from diatom assemblages in sediments of Kusawa Lake, Yukon Territory, Canada",Quaternary Research,LakeSediment,76.54,12298.4,NA,0,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,#DIV/0!,NA,NA,NA,NA,Kusawa.Chakraborty.2010.lpd.csv,LipD,LipD,others
184,62,61.48,26.07,Laihalampi,Laihalampi.Heikkila.2003.lpd,136.6,Europe>Northern Europe>Scandinavia>Finland,Europe>Northern Europe>Scandinavia>Finland,"Heikkil _, Maija; Sepp _, Heikki",2003,"A 11,000 yr palaeotemperature reconstruction from the southern boreal zone in Finland",Quaternary Science Reviews,LakeSediment,49.043,8995.364,pollen,122,15,www.ncdc.noaa.gov/paleo/study/15444,wave2,73.3305,NA,NA,NA,NA,Laihalampi.Heikkila.2003.lpd.csv,LipD,LipD,pollen
185,63,60.007,-159.143,Lonespruce,Lonespruce.Kaufman.2012.lpd,135,North America>United States Of America>Alaska,North America>United States Of America>Alaska,"Kaufman, Darrell S.; Axford, Yarrow; Anderson, R. Scott; Lamoureux, Scott F.; Schindler, Daniel E.; Walker, Ian R.; Werner, Al",2012,"A multi-proxy record of the Last Glacial Maximum and last 14,500 years of paleoenvironmental change at Lone Spruce Pond, southwestern Alaska",Journal of Paleolimnology,LakeSediment,-4.623,14523.661,NA,0,15,www.ncdc.noaa.gov/paleo/study/15444,wave2,#DIV/0!,NA,NA,NA,NA,Lonespruce.Kaufman.2012.lpd.csv,LipD,LipD,others
186,64,58.58,-75.25,LR01,LR01.Gajewski.1993.lpd,170,North America>Canada>Quebec,North America>Canada>Quebec,"Gajewski, K.; Payette, S.; Ritchie, J. C.",1993,Holocene vegetation history at the boreal-forest-shrub-tundra transition in northwestern Quebec,The Journal of Ecology,LakeSediment,88,7562,pollen,21,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,355.9047619,NA,NA,NA,NA,LR01.Gajewski.1993.lpd.csv,LipD,LipD,pollen
187,65,-17.41,-71.7403,M135_004_3,M135_004_3.Salvatteci.2019.lpd,-229,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Salvatteci, Renato; Schneider, Ralph R.; Blanz, Thomas; Molliera芒____ogel, Elfi",2019,Deglacial to Holocene ocean temperatures in the Humboldt Current system as indicated by alkenone paleothermometry,Geophysical Research Letters,MarineSediment,64,9294.875,alkenone,146,5,10.1594/PANGAEA.897235,wave2,63.22517123,NA,NA,NA,NA,M135_004_3.Salvatteci.2019.lpd.csv,LipD,LipD,alkenone
190,68,-11.0835,-78.0152,M77_2_024_5,M77_2_024_5.Salvatteci.2019.lpd,-210,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Salvatteci, Renato; Schneider, Ralph R.; Blanz, Thomas; Molliera芒____ogel, Elfi",2019,Deglacial to Holocene ocean temperatures in the Humboldt Current system as indicated by alkenone paleothermometry,Geophysical Research Letters,MarineSediment,650.734,11333.05,alkenone,68,5,10.1594/PANGAEA.897235,wave2,157.0928824,NA,NA,NA,NA,M77_2_024_5.Salvatteci.2019.lpd.csv,LipD,LipD,alkenone
192,70,39.0367,-10.6605,MD03_2699,MD03_2699.Rodrigues.2010.lpd,-1865,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Rodrigues, Teresa; Grimalt, Joan O.; Abrantes, F  tima; Naughton, Filipa; Flores, Jose-Abel",2010,The last glacial   interglacial transition (LGIT) in the western mid-latitudes of the North Atlantic: Abrupt sea surface temperature change and sea level implications,Quaternary Science Reviews,MarineSediment,932,23368,alkenone,148,5,10.1594/PANGAEA.761812,wave2,151.5945946,NA,NA,NA,NA,MD03_2699.Rodrigues.2010.lpd.csv,LipD,LipD,alkenone
194,72,-43.8217,51.3183,MD84_527,MD84_527.Labracherie.1989.lpd,-3262,Indian Ocean,Indian Ocean,"Labracherie, Monique; Labeyrie, Laurent D.; Duprat, Josette; Bard, Edouard; Arnold, Maurice; Pichon, Jean-Jacques; Duplessy, Jean-Claude",1989,The Last Deglaciation in the Southern Ocean,Paleoceanography,MarineSediment,1750,27190,d18O,40,5,10.1594/PANGAEA.727005,wave2,636,NA,NA,NA,NA,MD84_527.Labracherie.1989.lpd.csv,LipD,LipD,d18O
196,74,20.117,117.384,MD97_2146,MD97_2146.Shintani.2011.lpd,-1720,Pacific Ocean>Western Pacific Ocean>South China Sea,Pacific Ocean>Western Pacific Ocean>South China Sea,"Shintani, Tomoya; Yamamoto, Masanobu; Chen, Min-Te",2011,"Paleoenvironmental changes in the northern South China Sea over the past 28,000 years: A study of TEX86-derived sea surface temperatures and terrestrial biomarkers",Journal of Asian Earth Sciences,MarineSediment,192.324,28021.75,GDGT,82,5,10.1594/PANGAEA.861254,wave2,339.3832439,NA,NA,NA,NA,MD97_2146.Shintani.2011.lpd.csv,LipD,LipD,GDGT
198,76,-0.6938,-85.3333,MV1014_09MC,MV1014_09MC.Hertzberg.2016.lpd,-2452,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Hertzberg, Jennifer E.; Schmidt, Matthew W.; Bianchi, Thomas S.; Smith, Richard W.; Shields, Michael R.; Marcantonio, Franco",2016,Comparison of eastern tropical Pacific TEX86 and Globigerinoides ruber Mg/Ca derived sea surface temperatures: Insights from the Holocene and Last Glacial Maximum,Earth and Planetary Science Letters,MarineSediment,2275.052,6935.548,GDGT,19,5,this compilation,wave2,245.2892632,NA,NA,NA,NA,MV1014_09MC.Hertzberg.2016.lpd.csv,LipD,LipD,GDGT
199,77,68.65,16.38,Myrvatn,Myrvatn.Seppa.2009.lpd,200,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-42.4,8893.76,pollen,48,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,186.17,NA,NA,NA,NA,Myrvatn.Seppa.2009.lpd.csv,LipD,LipD,pollen
200,78,55.5,-14.5833,NA87_22,NA87_22.Duplessy.1992.lpd,-2161,Atlantic; North Atlantic Ocean,Atlantic; North Atlantic Ocean,"Duplessy, J. C.; Labeyrie, L.; Arnold, M.; Paterne, M.; Duprat, J.; van Weering, T. C. E.",1992,Changes in surface salinity of the North Atlantic Ocean during the last deglaciation,Nature,MarineSediment,9550,30813,d18O,95,12,"10.1594/PANGAEA.54411,10.1594/PANGAEA.266942,10.1594/PANGAEA.107121",wave2,223.8210526,NA,NA,NA,NA,NA87_22.Duplessy.1992.lpd.csv,LipD,LipD,d18O
202,80,68.33,18.78,Njakajaure,Njakajaure.Bigler.2006.lpd,409,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Bigler, Christian; Barnekow, Lena; Heinrichs, Markus L.; Hall, Roland I.",2006,"Holocene environmental history of Lake Vuolep Njakajaure (Abisko National Park, northern Sweden) reconstructed using biological proxy indicators",Vegetation History and Archaeobotany,LakeSediment,111,8855,diatom,41,13,www.ncdc.noaa.gov/paleo/study/15444,wave2,213.2682927,NA,NA,NA,NA,Njakajaure.Bigler.2006.lpd.csv,LipD,LipD,diatom
203,81,69.2417,-50.0267,North Lake,NorthLake.Axford.2013.lpd,190,North America>Greenland,North America>Greenland,"Axford, Yarrow; Losee, Shanna; Briner, Jason P.; Francis, Donna R.; Langdon, Peter G.; Walker, Ian R.",2013,Holocene temperature history at the western Greenland Ice Sheet margin reconstructed from lake sediments,Quaternary Science Reviews,LakeSediment,-52,7271,NA,0,17,www.ncdc.noaa.gov/paleo/study/15444,wave2,#DIV/0!,NA,NA,NA,NA,NorthLake.Axford.2013.lpd.csv,LipD,LipD,others
204,82,41.6829,-124.932,ODP_167_1019C,ODP_167_1019C.Barron.2003.lpd,-946,Pacific Ocean>North Pacific Ocean,Pacific Ocean>North Pacific Ocean,"Barron, John A.; Heusser, Linda; Herbert, Timothy; Lyle, Mitch",2003,"High-resolution climatic evolution of coastal northern California during the past 16,000 years",Paleoceanography,MarineSediment,160,14940,alkenone,116,5,10.1594/PANGAEA.841946,wave2,127.4137931,NA,NA,NA,NA,ODP_167_1019C.Barron.2003.lpd.csv,LipD,LipD,alkenone
205,83,-11.921,13.4,ODP_175_1078C,ODP_175_1078C.Kim.2003.lpd,-426,Atlantic Ocean>South Atlantic Ocean,Atlantic Ocean>South Atlantic Ocean,"Kim, Jung-Hyun; Schneider, Ralph R.; Mulitza, Stefan; M _ller, Peter J.",2003,Reconstruction of SE trade-wind intensity based on sea-surface temperature gradients in the southeast Atlantic over the last 25 kyr,Geophysical Research Letters,MarineSediment,20,24740,alkenone,103,5,www.ncdc.noaa.gov/paleo/study/22400,wave2,240,NA,NA,NA,NA,ODP_175_1078C.Kim.2003.lpd.csv,LipD,LipD,alkenone
206,84,-64.8619,-64.208,ODP_178_1098B,ODP_178_1098B.Shevenell.2011.lpd,-1010,Southern Ocean,Southern Ocean,"Shevenell, A. E.; Ingalls, A. E.; Domack, E. W.; Kelly, C.",2011,Holocene Southern Ocean surface temperature variability west of the Antarctic Peninsula,Nature,MarineSediment,79.55,11768.52,GDGT,125,5,10.1594/PANGAEA.769707,wave2,93.51176,NA,NA,NA,NA,ODP_178_1098B.Shevenell.2011.lpd.csv,LipD,LipD,GDGT
